name,pred,d7ft_0,d7ft_1,d7ft_2,d7ft_3,d7ft_4,d7ft_5,d7ft_6,d7ft_7,d7ft_8,true
ISIC_0028498,0.3951361284982889,0.004676021,0.1571514,0.45734945,0.004924118,0.0049781413,0.078014635,0.04391041,0.1433762,0.105619624,0
ISIC_0027859,0.2967784921720815,0.0041210684,0.028383616,0.71507514,0.0044247345,0.0048247785,0.047294684,0.015713898,0.012010703,0.16815154,0
ISIC_0030591,0.4459848778736509,0.003084809,0.09491753,0.257349,0.0028261198,0.0033210346,0.009579855,0.06756493,0.040176753,0.5211801,0
ISIC_0031366,0.17483466744805812,0.0006231786,0.00029667417,0.00093875517,0.00067721854,0.00065611553,0.0005591639,0.0017566776,0.99368936,0.00080281665,0
ISIC_0025396,0.4056402677666575,0.0015335408,0.0012501216,0.0120202,0.00148516,0.0013595826,0.002828635,0.048197936,0.929944,0.0013807198,0
ISIC_0031922,0.28289497531392704,0.001974928,0.020453874,0.5030742,0.0021578043,0.0021659955,0.007299973,0.013161512,0.063951336,0.3857604,0
ISIC_0031377,0.2957398392225595,0.0031876639,0.01376876,0.2989184,0.0037281406,0.003216839,0.012980876,0.015512607,0.63290256,0.015784282,1
ISIC_0026103,0.5997007057503574,0.0016719429,0.0035268236,0.07162047,0.0016886787,0.001614259,0.0030838146,0.2007668,0.71384025,0.0021869738,0
ISIC_0027190,0.3247574475513794,0.0038623137,0.009462251,0.3628852,0.0045928815,0.0040154424,0.014007136,0.021809591,0.53943926,0.039926093,1
ISIC_0032126,0.40709975178779373,0.00585157,0.012932906,0.49737892,0.006128243,0.0055646626,0.0064183557,0.0488168,0.08767315,0.3292354,0
ISIC_0031394,0.28853077256584175,0.0029253818,0.011146693,0.12062018,0.0028855966,0.002730768,0.003986956,0.014161996,0.79407734,0.04746511,0
ISIC_0028878,0.2575726091168334,0.002036048,0.007282074,0.5026891,0.0019388124,0.0019532058,0.0027524603,0.009230457,0.44502732,0.02709055,1
ISIC_0031306,0.12409733528354153,0.00026519276,0.0001075625,0.0002761865,0.00026538037,0.00025747935,0.00029754732,0.00022672457,0.9979788,0.00032525408,0
ISIC_0030817,0.7415717351860539,0.0011118123,0.00067045266,0.0023906277,0.0012263141,0.0010876565,0.00071809127,0.45647964,0.5355405,0.0007749097,0
ISIC_0025651,0.6041243603293864,0.0022374222,0.027730757,0.42012706,0.00231264,0.0021969227,0.0042418204,0.2064689,0.26036748,0.07431695,1
ISIC_0031698,0.3131492304275367,0.0065915096,0.40244552,0.09567426,0.0066730096,0.0072482238,0.23929822,0.019118486,0.047501087,0.17544961,0
ISIC_0028964,0.2983173594382177,0.003244099,0.35803953,0.21985589,0.0031324115,0.0036297727,0.060883325,0.016015282,0.31318527,0.022014467,0
ISIC_0032186,0.45504206239300493,0.002131904,0.018560663,0.69525576,0.002062766,0.0021234218,0.0040559294,0.07260939,0.11127577,0.09192442,0
ISIC_0025703,0.611780030130446,0.0016948788,0.024424834,0.72027105,0.0017693177,0.0017049828,0.0030687253,0.2166436,0.021151321,0.009271327,0
ISIC_0028354,0.3796464849812924,0.0014535876,0.041985314,0.89013475,0.0015243752,0.0011703826,0.014178986,0.038098406,0.0019282497,0.009526016,0
ISIC_0032372,0.8642521014291213,0.0018059384,0.18028168,0.017334657,0.002084835,0.0017736728,0.008788513,0.7854661,0.00016233014,0.002302266,1
ISIC_0027486,0.13946635918678377,0.00044047085,0.0003012667,0.0013976198,0.0004450158,0.0004405336,0.0003913534,0.0005056996,0.9955411,0.00053689996,0
ISIC_0028548,0.29733609740299255,0.0051963567,0.024585225,0.5629277,0.0050567123,0.005083019,0.0068125054,0.015822668,0.32267132,0.051844563,1
