name,pred,d7ft_0,d7ft_1,d7ft_2,d7ft_3,d7ft_4,d7ft_5,d7ft_6,d7ft_7,d7ft_8,true
ISIC_0028498,0.020252064,0.003951025,0.24255614,0.46137705,0.003196106,0.0037576314,0.033380665,0.020252064,0.14967488,0.081854515,0
ISIC_0027859,0.0077277324,0.0030324205,0.05024093,0.6571131,0.0026521285,0.0031762153,0.025643004,0.0077277324,0.0066273822,0.24378708,0
ISIC_0030591,0.06988516,0.004240527,0.18792088,0.34219497,0.0035948053,0.0036724538,0.015219497,0.06988516,0.10329985,0.26997194,0
ISIC_0031366,0.072387524,0.004228755,0.0024736505,0.01435519,0.00454874,0.0043912623,0.004523703,0.072387524,0.8812484,0.011842797,0
ISIC_0025396,0.16678523,0.0047127283,0.008700218,0.08737333,0.004638719,0.004813334,0.010142785,0.16678523,0.7086968,0.004136794,0
ISIC_0031922,0.045544572,0.0027052371,0.033006925,0.6184563,0.0033657742,0.0029419896,0.008275853,0.045544572,0.044664275,0.24103914,0
ISIC_0031377,0.006969414,0.0028894488,0.01129182,0.3260348,0.0025383956,0.00272993,0.0038418632,0.006969414,0.6354963,0.0082079675,1
ISIC_0026103,0.26129657,0.0030447487,0.009966368,0.30457744,0.0030561218,0.003230488,0.006196879,0.26129657,0.40355822,0.005073219,0
ISIC_0027190,0.09971322,0.010046506,0.07337901,0.4052709,0.0095161935,0.010618046,0.039374005,0.09971322,0.27647355,0.07560846,1
ISIC_0032126,0.12698182,0.0037543175,0.015995363,0.48596558,0.0035573093,0.0035415457,0.0033919325,0.12698182,0.13662188,0.22019027,0
ISIC_0031394,0.04356005,0.0048167333,0.02317742,0.34834436,0.0046935217,0.004363282,0.0076566073,0.04356005,0.5149243,0.048463676,0
ISIC_0028878,0.03931464,0.00402127,0.017473323,0.47010612,0.0046756123,0.0034935065,0.008135582,0.03931464,0.41116372,0.041616287,1
ISIC_0031306,0.0005191151,0.00048028654,0.00018287609,0.00075619423,0.00044336208,0.0004557755,0.00037786632,0.0005191151,0.99631065,0.00047368088,0
ISIC_0030817,0.4423389,0.0014072864,0.0008350084,0.0032735958,0.0014617684,0.0014057583,0.0011923927,0.4423389,0.5469534,0.0011319256,0
ISIC_0025651,0.4485632,0.002014262,0.06542312,0.36285195,0.0020755772,0.0020936655,0.0053862277,0.4485632,0.05217379,0.05941829,1
ISIC_0031698,0.014109485,0.005140023,0.4931259,0.080349766,0.00426846,0.0049164505,0.20531824,0.014109485,0.05839612,0.13437557,0
ISIC_0028964,0.068709485,0.008158936,0.34791788,0.18953423,0.0075521893,0.00781018,0.07700039,0.068709485,0.25389922,0.03941754,0
ISIC_0032186,0.027391389,0.0026221313,0.0926931,0.69685596,0.0025816762,0.0021563098,0.012442738,0.027391389,0.033274572,0.1299821,0
ISIC_0025703,0.26523423,0.001744088,0.025557721,0.6820086,0.0017751912,0.0015021863,0.0030946345,0.26523423,0.012260272,0.0068229795,0
ISIC_0028354,0.021901898,0.0014058014,0.042438436,0.9030588,0.0016013755,0.0016411223,0.016470587,0.021901898,0.0010036065,0.010478203,0
ISIC_0032372,0.61265844,0.0011463873,0.31125483,0.066724114,0.001215625,0.0012240063,0.0028583687,0.61265844,0.0006092349,0.0023090835,1
ISIC_0027486,0.010074446,0.0009560412,0.0016228724,0.010276657,0.0009513716,0.0009670532,0.0007811992,0.010074446,0.9732887,0.0010817011,0
ISIC_0028548,0.032687705,0.00509029,0.023191646,0.55583256,0.0052554053,0.004557503,0.0063051106,0.032687705,0.33404395,0.03303587,1
ISIC_0031915,0.06147014,0.006219708,0.033803362,0.22234093,0.006392116,0.0069899596,0.00968563,0.06147014,0.6030722,0.050025847,1
ISIC_0031519,0.11824864,0.0063771517,0.083832465,0.18532686,0.006020866,0.0059001166,0.09071279,0.11824864,0.20998387,0.2935973,0
ISIC_0031311,0.0064971126,0.0007137466,0.00032629722,0.0013875436,0.00071853487,0.00066284486,0.00041569374,0.0064971126,0.9887854,0.0004929229,0
ISIC_0031007,0.04306906,0.0030497585,0.29087177,0.4669567,0.00248574,0.002750388,0.17070463,0.04306906,0.0013732738,0.01873873,0
ISIC_0031353,0.025246263,0.0059871464,0.058021635,0.6671452,0.005120645,0.0053535416,0.032737885,0.025246263,0.17930894,0.021078749,0
ISIC_0029080,0.03695393,0.008008859,0.1304296,0.51673627,0.0070385323,0.007568156,0.025050541,0.03695393,0.1382217,0.12999251,0
ISIC_0026260,0.07238915,0.004585031,0.034331314,0.2439531,0.004629219,0.004631638,0.013849126,0.07238915,0.59358615,0.028045252,0
ISIC_0030877,0.0015463697,0.0006071799,0.08863405,0.8330466,0.00055781106,0.00058674783,0.012359485,0.0015463697,0.00058282487,0.06207887,0
ISIC_0030942,0.022888955,0.006711622,0.014832099,0.030608285,0.0064459513,0.007512162,0.08284856,0.022888955,0.81049246,0.017659985,0
ISIC_0026923,0.110015094,0.006564977,0.20148821,0.28947115,0.0066067786,0.006546199,0.0967974,0.110015094,0.011465359,0.27104485,0
ISIC_0027219,0.07317933,0.007795546,0.07160478,0.41643548,0.0077613997,0.00729633,0.043069907,0.07317933,0.23316073,0.13969645,0
ISIC_0031314,0.07442185,0.006109673,0.15583284,0.28109124,0.006475478,0.006593345,0.02174033,0.07442185,0.30699423,0.14074098,0
ISIC_0027451,0.49940488,0.004466658,0.04371532,0.07789818,0.0045764414,0.004450875,0.01097486,0.49940488,0.31888893,0.035623897,0
ISIC_0028871,0.008853021,0.002288207,0.635853,0.14868174,0.0020837751,0.0018523325,0.010572925,0.008853021,0.007951841,0.18186313,0
ISIC_0031115,0.09412273,0.0015372032,0.0011471965,0.005626903,0.0015008341,0.0014738194,0.0013707211,0.09412273,0.89061785,0.0026025928,0
ISIC_0030360,0.12790833,0.0026633795,0.039617866,0.7132449,0.0028639906,0.0027246482,0.0024799865,0.12790833,0.090789996,0.017706856,1
ISIC_0029645,0.006160399,0.0024588055,0.0025882667,0.11308279,0.0024476363,0.0027112428,0.009962412,0.006160399,0.8521191,0.00846959,0
ISIC_0024592,0.048312694,0.0084456215,0.16688792,0.4990573,0.008136521,0.008019651,0.23869784,0.048312694,0.0022694538,0.020173011,0
ISIC_0032040,0.14699249,0.00347748,0.013464999,0.025046676,0.0032949557,0.003267283,0.046690475,0.14699249,0.745249,0.012516724,0
ISIC_0024910,0.04201812,0.0012826637,0.00379471,0.22276478,0.0014392765,0.0011841359,0.0016843494,0.04201812,0.7099298,0.01590215,0
ISIC_0030932,0.16692008,0.0030682662,0.01426785,0.3891368,0.003339883,0.003311278,0.0036667797,0.16692008,0.4063004,0.009988688,1
ISIC_0024445,0.052055713,0.0025481214,0.005496001,0.005013781,0.0027052008,0.0028173795,0.019425083,0.052055713,0.9037933,0.006145546,0
ISIC_0027454,0.048655793,0.0066445083,0.088187195,0.24234071,0.0068705142,0.0069683823,0.020193214,0.048655793,0.5358935,0.044246145,0
ISIC_0025132,0.060267903,0.0052997055,0.0794321,0.42729506,0.005109493,0.0053115156,0.011168754,0.060267903,0.3096493,0.096466266,1
