name,pred,d7ft_0,d7ft_1,d7ft_2,d7ft_3,d7ft_4,d7ft_5,d7ft_6,d7ft_7,d7ft_8,true
ISIC_0034246,0.7724350349807622,0.0065944525,0.00572836,0.03882463,0.0064231767,0.0066880076,0.13821413,0.49978548,0.29505643,0.0026854423,1
ISIC_0034162,0.292995537693382,0.0055047055,0.056058448,0.618177,0.004737809,0.004682956,0.015995907,0.011593603,0.20349371,0.079755805,1
ISIC_0033879,0.13753349533624357,0.00033948323,0.00011365787,0.00031481677,0.00030945803,0.00031566137,0.00028037498,0.00024446676,0.9978332,0.00024897204,0
ISIC_0029779,0.22386272676197264,0.0035824166,0.07649181,0.121738315,0.0032213647,0.0033252523,0.7720576,0.003800053,0.009260281,0.0065229177,0
ISIC_0030085,0.4277346924576345,0.008949611,0.109208815,0.21150596,0.007837965,0.008175856,0.09567957,0.048324965,0.49926686,0.011050421,0
ISIC_0029752,0.28612751279334464,0.0071270294,0.008892878,0.20096461,0.0064130626,0.0072953315,0.14451797,0.01056236,0.5862981,0.027928714,0
ISIC_0034048,0.46708359081092554,0.008220333,0.056334246,0.25320143,0.007703133,0.0088137835,0.02961728,0.06718287,0.34060693,0.22832005,1
ISIC_0025152,0.1997203198825431,0.0022202195,0.0017567547,0.0075594196,0.0020276196,0.0021902851,0.018323736,0.0022403134,0.96047115,0.0032105856,0
ISIC_0033902,0.6528873161888176,0.003541014,0.014891008,0.16769896,0.0029970198,0.0029736694,0.031529512,0.24947385,0.5184688,0.008426252,1
ISIC_0033546,0.606206029544957,0.0129166115,0.05528112,0.12738553,0.011701494,0.011949495,0.09433178,0.18455496,0.3275644,0.17431472,1
ISIC_0026391,0.22839919275103118,0.0021064081,0.002780692,0.08566775,0.0020838876,0.002315149,0.005809908,0.004152426,0.8923836,0.0027002443,0
ISIC_0027822,0.27531559563610974,0.0011796643,0.0019495257,0.46592593,0.0011885469,0.0010641771,0.003284165,0.009064231,0.5072658,0.009077839,1
ISIC_0031953,0.254254915798886,0.0029353183,0.0022336857,0.02801166,0.0028152014,0.0033912093,0.013651277,0.0065575405,0.93576634,0.004637633,1
ISIC_0033871,0.197054299360066,0.0019483453,0.000632626,0.0023349312,0.0018725827,0.0019012317,0.001662547,0.0020986912,0.9864494,0.0010995948,1
ISIC_0028085,0.23689791956479297,0.010180861,0.032225322,0.24408929,0.0093951365,0.010373841,0.32096332,0.0048667244,0.15366128,0.21424417,0
ISIC_0034153,0.33801563478709784,0.0011594923,0.46256647,0.32508284,0.0011850422,0.0011701651,0.072661914,0.020062044,0.000584306,0.11552779,0
ISIC_0031160,0.42338068765433784,0.00063156354,0.00027751966,0.0018355796,0.0006090339,0.0006152897,0.0006523188,0.046516865,0.9485435,0.000318303,0
ISIC_0031474,0.74798456038945,0.0065633617,0.079240635,0.2524903,0.0061554983,0.005976471,0.13012354,0.43808505,0.04620108,0.03516408,0
ISIC_0030851,0.35660888821015196,0.013203456,0.029418591,0.19436675,0.012540628,0.0129236085,0.3831565,0.024536688,0.30091295,0.02894083,0
ISIC_0033752,0.533110156274529,0.0066202986,0.15360717,0.33221897,0.0055067097,0.005762504,0.027005196,0.11121187,0.05944494,0.2986223,1
ISIC_0033865,0.5427990354975752,0.0060311886,0.070387,0.4872404,0.0060463157,0.0062179216,0.05324117,0.11926001,0.12247521,0.1291009,0
ISIC_0031872,0.294613190947798,0.010080837,0.0970925,0.58742636,0.008160059,0.008757277,0.116695836,0.011845797,0.041223258,0.11871803,0
