name,pred,d7ft_0,d7ft_1,d7ft_2,d7ft_3,d7ft_4,d7ft_5,d7ft_6,d7ft_7,d7ft_8,true
derm-0001,0.08868429,0.3285546,0.027171899,0.34813592,0.02722686,0.009010274,0.008863898,0.08868429,0.15346436,0.008887912,0
derm-0002,0.0076866657,0.0015795777,0.011720913,0.37382442,0.002205686,0.004153989,0.0060981796,0.0076866657,0.5882658,0.0044648917,0
derm-0003,0.066345505,0.00047825905,0.0062968507,0.4876097,0.00014541372,0.0009018303,0.0011160466,0.066345505,0.4362052,0.0009010834,0
derm-0004,0.043229334,0.0032320097,0.00065674033,0.53218657,0.0021362982,0.0026946305,0.0045189536,0.043229334,0.40834966,0.0029959285,0
derm-0005,0.0019813927,0.00022033365,0.0003653475,0.024840986,0.00045395107,0.0014119567,0.0038438544,0.0019813927,0.9655455,0.0013365143,0
derm-0006,0.001203615,0.00034191503,0.0017880002,0.0027148596,0.00047624158,0.0013262865,0.0035753108,0.001203615,0.98729384,0.0012800907,0
derm-0007,0.0032179866,0.0018691383,0.08830542,0.06802596,0.004818152,0.004574951,0.011642027,0.0032179866,0.812986,0.00456038,0
derm-0008,0.008802759,0.0006171835,0.00033978498,0.727279,0.00039215182,0.001578486,0.0030366105,0.008802759,0.25621584,0.0017381648,0
derm-0009,0.002302807,0.005001237,0.0030223026,0.1790023,0.0026884126,0.0016522391,0.0025494336,0.002302807,0.8021275,0.0016538876,0
derm-0010,0.029404102,0.0018642143,0.00062246306,0.5214569,0.00045803082,0.0013180439,0.0018835458,0.029404102,0.44170243,0.001290344,0
derm-0011,0.0008135426,5.9706417e-05,8.6183856e-05,0.038188428,4.0536062e-05,0.00025821803,0.001008863,0.0008135426,0.95926136,0.00028344494,0
derm-0012,0.2792011,0.0010033798,0.012861261,0.4260501,0.00052059174,0.001644614,0.0022908123,0.2792011,0.27479538,0.0016327364,0
derm-0013,0.029540587,0.0019835492,0.0023556603,0.17858157,0.002102985,0.006127751,0.018136492,0.029540587,0.7550426,0.0061288225,0
derm-0014,0.00038094027,0.00039825085,0.00033600684,0.9925405,3.36104e-05,7.543057e-05,8.0095095e-05,0.00038094027,0.006058244,9.6879194e-05,0
derm-0015,0.045067206,0.00063697284,0.0026346461,0.41614446,0.00021031786,0.0010615751,0.002062377,0.045067206,0.53106165,0.001120746,0
derm-0016,0.02902588,0.014114708,0.0022218914,0.26761273,0.0005821505,0.0015645247,0.001869656,0.02902588,0.68139976,0.0016086557,0
derm-0017,0.08370971,0.00063212885,0.0005693745,0.25825474,0.0009286065,0.003750594,0.009017387,0.08370971,0.63921326,0.003924239,0
derm-0018,0.17623024,0.017086703,0.003605282,0.712249,0.0014619161,0.002442928,0.0027556901,0.17623024,0.081632905,0.0025353488,0
derm-0019,0.0060397238,0.0002222939,0.0018636826,0.035862688,0.000483441,0.0012095573,0.0026017453,0.0060397238,0.9505027,0.0012141302,0
derm-0020,0.26862645,0.0013011206,0.010163545,0.4135475,0.000410208,0.0020327645,0.003737989,0.26862645,0.29802698,0.0021534797,0
derm-0021,0.0051544285,0.00031415644,0.067034714,0.12864067,0.00012339382,0.0007939981,0.0009787186,0.0051544285,0.7962261,0.00073382695,0
derm-0022,0.016369661,0.00049645954,0.00036798572,0.009180303,0.00073175144,0.00226036,0.004216514,0.016369661,0.9640395,0.0023374602,0
derm-0023,0.0059062657,0.0023864312,0.008030958,0.1864878,0.0043552103,0.0050746105,0.008349412,0.0059062657,0.7742159,0.0051935823,0
derm-0024,0.0060093612,0.0112957675,0.03446777,0.389536,0.0038242997,0.0035956264,0.0042350804,0.0060093612,0.54309976,0.003936469,0
derm-0025,0.22210173,0.002798795,0.000100688914,0.77405524,0.00011872385,0.00026843333,0.00017266253,0.22210173,7.668934e-05,0.0003070783,0
derm-0026,0.044107076,0.1117244,0.026148314,0.68880314,0.0063290605,0.006139656,0.004632005,0.044107076,0.10590001,0.006216419,0
derm-0027,0.77536863,0.014694824,0.02098585,0.14754616,0.0037111845,0.0035498661,0.0045610317,0.77536863,0.026046261,0.0035362553,0
derm-0028,0.15896748,0.06313088,0.022871837,0.5523723,0.015358142,0.010631454,0.011697052,0.15896748,0.15443006,0.010540827,0
derm-0029,0.22706012,0.0023097435,0.5750991,0.09772929,0.0012135899,0.0016948137,0.0022707526,0.22706012,0.09090858,0.0017139312,0
derm-0030,0.30145404,0.015950752,0.0469972,0.6277582,0.0006852976,0.0012632819,0.0010259526,0.30145404,0.0036772664,0.001188111,0
derm-0031,0.01169205,0.004313447,0.5736606,0.10842868,0.006231187,0.0019354786,0.0021132706,0.01169205,0.2897792,0.0018460626,0
derm-0032,0.1075873,0.011666224,0.040370446,0.8227537,0.002903871,0.0023316785,0.0023908308,0.1075873,0.007350976,0.0026448953,0
derm-0033,0.01689052,0.10800377,0.039987605,0.8246522,0.00081397657,0.00087165367,0.0006796971,0.01689052,0.0071262433,0.00097431283,0
derm-0034,0.012133883,0.015455245,0.000985882,0.95033276,0.0006650015,0.00095948967,0.0008558527,0.012133883,0.017603604,0.001008338,0
derm-0035,0.24168988,0.0054194517,0.009672789,0.47100812,0.0006982219,0.001774586,0.0015758298,0.24168988,0.26633456,0.0018265875,0
derm-0036,0.038448244,0.13627936,0.013402419,0.8015117,0.0006519535,0.00086698355,0.0006540047,0.038448244,0.007323614,0.00086173444,0
derm-0037,0.024752157,0.20455992,0.64201593,0.1148,0.007657294,0.0018252407,0.0017926209,0.024752157,0.0007645441,0.0018322644,0
derm-0038,0.23156773,0.0027618464,0.41141412,0.34952766,0.00062320934,0.0010447125,0.00086288137,0.23156773,0.001114468,0.001083495,0
derm-0039,0.042040855,0.0016779663,0.037932646,0.88689214,0.00038924915,0.00092389307,0.001008217,0.042040855,0.028102873,0.0010321324,0
derm-0040,0.25792083,0.01109799,0.0017074951,0.6548825,0.0012054603,0.0037225701,0.0069884504,0.25792083,0.058384426,0.0040901564,0
derm-0041,0.006650191,0.0015498407,0.22255014,0.5921639,0.0019959263,0.0026275336,0.0039738547,0.006650191,0.16568749,0.0028010667,0
derm-0042,0.015039473,0.008129902,0.10031903,0.44567496,0.0091013415,0.0072113685,0.009395613,0.015039473,0.39751643,0.0076118424,0
