name,pred,d7ft_0,d7ft_1,d7ft_2,d7ft_3,d7ft_4,d7ft_5,d7ft_6,d7ft_7,d7ft_8,true
derm-0001,0.07548257,0.040518608,0.4782425,0.28499618,0.0496043,0.0050301207,0.0089370115,0.07548257,0.051386237,0.0058025266,0
derm-0002,0.13520323,0.006443812,0.16549239,0.0781246,0.0056270915,0.0069342004,0.009033068,0.13520323,0.5862245,0.0069172084,0
derm-0003,0.25389013,0.0013997667,0.07395237,0.20951729,0.0013833024,0.0015632866,0.0030066594,0.25389013,0.45357084,0.0017163241,0
derm-0004,0.75067896,0.00096120377,0.0013974165,0.16598845,0.0005362224,0.0008516674,0.0006267289,0.75067896,0.07803521,0.00092418364,0
derm-0005,0.010913275,0.0037535843,0.013412748,0.0109496135,0.009807746,0.0042102174,0.10082666,0.010913275,0.8416945,0.004431617,0
derm-0006,0.0063984017,0.0012424117,0.0021708168,0.0076118535,0.0027319195,0.0016907532,0.5811798,0.0063984017,0.39505967,0.0019143624,0
derm-0007,0.013890716,0.0052993298,0.31064102,0.21817906,0.008804096,0.0037045577,0.15157616,0.013890716,0.28378096,0.004124123,0
derm-0008,0.37758753,0.0028529135,0.003783283,0.5879024,0.0016084763,0.0016106665,0.0055028317,0.37758753,0.01724029,0.001911648,0
derm-0009,0.017536012,0.014030876,0.19298516,0.41474113,0.008828897,0.0028763253,0.00980137,0.017536012,0.33584198,0.0033582344,0
derm-0010,0.33542955,0.0042636837,0.010445105,0.17442538,0.0019761533,0.0028061683,0.0024015517,0.33542955,0.4651838,0.0030686131,0
derm-0011,0.02265002,0.0017003277,0.003825292,0.5279009,0.0015232558,0.001558492,0.00327457,0.02265002,0.43574157,0.0018255499,0
derm-0012,0.6746587,0.0007398256,0.040990192,0.035460066,0.0012706683,0.0009419252,0.0022336438,0.6746587,0.24274866,0.00095641194,0
derm-0013,0.644434,0.0033325981,0.0490126,0.05801655,0.007341021,0.0030161645,0.013348463,0.644434,0.21827231,0.0032262926,0
derm-0014,0.3131988,0.0012005172,0.6294922,0.05080392,0.0006498942,0.00026339,0.0003402696,0.3131988,0.0037726609,0.0002782567,0
derm-0015,0.030239174,0.0011604846,0.15835392,0.0065745176,0.0020908744,0.0012774611,0.0078002936,0.030239174,0.79124266,0.0012606195,0
derm-0016,0.0962594,0.00061698654,0.028140679,0.015110642,0.0009951721,0.00078751025,0.003445885,0.0962594,0.85381836,0.0008254467,0
derm-0017,0.075709514,0.004225625,0.0046837027,0.07663776,0.00628428,0.005199685,0.024635756,0.075709514,0.7966629,0.005960725,0
derm-0018,0.36355183,0.0024317286,0.05919386,0.5599699,0.002099488,0.0013220612,0.004006428,0.36355183,0.005976232,0.0014485561,0
derm-0019,0.2055904,0.002666525,0.02633218,0.026139671,0.004535596,0.0030828693,0.042130977,0.2055904,0.6863486,0.003173227,0
derm-0020,0.5839953,0.002176238,0.12678646,0.15729736,0.0026046361,0.0013151232,0.02043847,0.5839953,0.10396751,0.0014189134,0
derm-0021,0.0059257774,0.00093058124,0.0072462927,0.14490889,0.0011297296,0.000986675,0.002021032,0.0059257774,0.83580035,0.0010505927,0
derm-0022,0.19845562,0.0064187497,0.008203261,0.12702115,0.013865548,0.00702648,0.022608895,0.19845562,0.60870916,0.00769127,0
derm-0023,0.06902736,0.037972685,0.30166197,0.18240304,0.03202351,0.010730675,0.035364892,0.06902736,0.3193228,0.011493113,0
derm-0024,0.11800734,0.07031023,0.16012959,0.40490648,0.027301237,0.011668003,0.025372798,0.11800734,0.1703385,0.011965824,0
derm-0025,0.99255306,2.8228158e-05,0.00057909044,0.006737862,2.4427382e-05,2.0612046e-05,2.1542308e-05,0.99255306,1.2961541e-05,2.2198765e-05,0
derm-0026,0.009709941,0.028588546,0.038437985,0.9087802,0.0025319043,0.0020419508,0.0020448272,0.009709941,0.005678474,0.0021863037,0
derm-0027,0.5933628,0.0066092806,0.13934982,0.009485757,0.012890326,0.0069784345,0.023375904,0.5933628,0.20127097,0.0066767293,0
derm-0028,0.24793711,0.038491935,0.41273615,0.22709684,0.021165786,0.0064657815,0.021238308,0.24793711,0.017882708,0.0069854516,0
derm-0029,0.5766589,0.00057432376,0.28242785,0.0046126125,0.0009446709,0.0009708007,0.004184123,0.5766589,0.12875411,0.000872616,0
derm-0030,0.8660022,0.0013444577,0.0625471,0.019401107,0.002007579,0.0016965558,0.012534939,0.8660022,0.0326597,0.0018064259,0
derm-0031,0.1096411,0.0013628745,0.15134035,0.01586139,0.0024827241,0.0024464373,0.08748364,0.1096411,0.6268872,0.002494305,0
derm-0032,0.57118076,0.005902213,0.09280277,0.052602213,0.0052404813,0.003920413,0.023099536,0.57118076,0.2411129,0.004138738,0
derm-0033,0.5542238,0.0024325026,0.38234693,0.028892988,0.0019209735,0.0008591685,0.0011375753,0.5542238,0.02738735,0.0007987769,0
derm-0034,0.8574629,0.0005866035,0.01843856,0.019597655,0.0009003187,0.000834737,0.0007370968,0.8574629,0.10057153,0.0008706807,0
derm-0035,0.79826474,0.0028952304,0.1353711,0.0012386894,0.0073986324,0.0022627271,0.0027321237,0.79826474,0.047547605,0.0022891674,0
derm-0036,0.8960552,0.00067022856,0.062190354,0.0028816403,0.001199989,0.00045619367,0.008522549,0.8960552,0.027506698,0.0005171098,0
derm-0037,0.23300135,0.013076517,0.5888368,0.039759602,0.0077011487,0.004352117,0.013173471,0.23300135,0.09510323,0.0049958685,0
derm-0038,0.69903964,0.0036641662,0.22379267,0.04335467,0.0027299148,0.002602926,0.0061275135,0.69903964,0.01607429,0.0026142313,0
derm-0039,0.6411433,0.001209743,0.101634495,0.17619428,0.0011490039,0.0009267178,0.0016941602,0.6411433,0.07507732,0.0009709286,0
derm-0040,0.71271265,0.0012853614,0.054063853,0.22858559,0.0006098039,0.00047969093,0.0005850547,0.71271265,0.0011463099,0.0005316986,0
derm-0041,0.044378,0.011143911,0.25321305,0.2326058,0.006854314,0.0050877226,0.023189643,0.044378,0.41830403,0.00522355,0
derm-0042,0.024575725,0.021713698,0.11701293,0.7964442,0.0054875086,0.0026451473,0.015284672,0.024575725,0.013881284,0.0029548067,0
derm-0043,0.0005950415,0.0005070599,0.0003472471,0.0017798711,0.0009735754,0.0006698869,0.00200898,0.0005950415,0.9924399,0.0006783666,0
derm-0044,0.0026286177,0.0027066942,0.0037167843,0.1318091,0.0029046743,0.0023122977,0.0049714544,0.0026286177,0.84656996,0.0023804398,0
derm-0045,0.0011755418,0.0013212407,0.0014443313,0.0015509333,0.004445536,0.001693019,0.0056375447,0.0011755418,0.98097384,0.0017580325,0
derm-0046,0.011069963,0.010300879,0.0065482794,0.04718354,0.01208822,0.0075285607,0.018541956,0.011069963,0.87897366,0.007764881,0
derm-0047,0.03998488,0.0004095119,0.00074029015,0.0012724185,0.0010684793,0.0009363914,0.0019783129,0.03998488,0.9526195,0.0009904121,0
derm-0048,0.094286524,0.01528948,0.030463252,0.06484573,0.02173585,0.0119799,0.09350174,0.094286524,0.6549175,0.012980026,0
derm-0049,0.0030522617,0.0001596214,0.00019930796,0.0004601691,0.0002868379,0.00033859117,0.0013011777,0.0030522617,0.99383396,0.0003680262,0
derm-0050,0.038836997,0.00085325557,0.0010036281,0.005684036,0.003126543,0.0017201897,0.0038061724,0.038836997,0.94316167,0.001807549,0
derm-0051,0.0050180233,0.0024096188,0.0014861453,0.0075686886,0.0036076312,0.0031390265,0.016846988,0.0050180233,0.9568588,0.0030649912,0
derm-0052,0.0011833626,0.0002048959,0.00051212654,0.0003982266,0.0008599646,0.0005305958,0.025802022,0.0011833626,0.9699236,0.00058525655,0
derm-0053,0.04198259,0.007085389,0.042646658,0.028414002,0.01444409,0.0070697158,0.06591565,0.04198259,0.78433836,0.008103511,0
derm-0054,0.0011580571,6.916532e-05,0.00014328447,0.0006582994,0.00016631866,0.00018046524,0.0003892265,0.0011580571,0.99703944,0.00019575364,0
derm-0055,0.001635922,0.00028116957,0.00042435798,0.0014437084,0.0009134452,0.0004613324,0.0009966808,0.001635922,0.9933254,0.0005179769,0
derm-0056,0.028086355,0.002548412,0.016879989,0.037894,0.0030294906,0.00259817,0.0041191936,0.028086355,0.9021179,0.0027265516,0
derm-0057,0.018287627,0.0043083793,0.0036824879,0.0130815385,0.008545065,0.004854991,0.02255126,0.018287627,0.9196895,0.00499914,0
derm-0058,0.14531137,0.009010882,0.006936981,0.052075505,0.022615243,0.008538009,0.0325221,0.14531137,0.7135505,0.0094394125,0
derm-0059,0.0020226305,0.00014321414,0.0002526936,0.0003582843,0.0004863094,0.00042987076,0.0011849756,0.0020226305,0.99466926,0.00045278022,0
derm-0060,0.0019870468,4.459274e-05,9.2519855e-05,0.00013293013,0.0001787345,0.0002510871,0.00091949676,0.0019870468,0.9961502,0.000243436,0
derm-0061,0.009079803,0.00020329491,0.00075724535,0.00089087145,0.0010409968,0.00074904645,0.0070880353,0.009079803,0.97946644,0.00072439533,0
derm-0062,0.003959385,0.00052530685,0.019229999,0.00088530703,0.0019306164,0.00094395486,0.010649875,0.003959385,0.9609834,0.0008923866,0
derm-0063,0.023044,0.00060386537,0.0015899526,0.028818524,0.0010515983,0.001367542,0.0030537262,0.023044,0.9391753,0.0012955284,0
derm-0064,0.15240014,0.0028317512,0.0041770106,0.058529347,0.0049587158,0.0052583194,0.013150224,0.15240014,0.7531525,0.005542023,0
derm-0065,0.006902569,0.00026306373,0.0011015374,0.0059733684,0.0007741182,0.0005941796,0.0063491366,0.006902569,0.97742856,0.00061345496,0
derm-0066,0.20662542,0.0030444914,0.014165376,0.052395053,0.006204046,0.004472015,0.02658308,0.20662542,0.68118846,0.0053220754,0
derm-0067,0.0010288431,9.466454e-05,0.0003969917,0.00021237296,0.00039318143,0.00027064054,0.0010474276,0.0010288431,0.9962679,0.00028803604,0
derm-0068,0.045834966,0.00023007275,0.0008090806,0.0012669399,0.0010738185,0.0008911296,0.017834155,0.045834966,0.93116325,0.0008966773,0
derm-0069,0.01049627,0.002199792,0.005222301,0.009888342,0.0054371897,0.002995721,0.029178401,0.01049627,0.9314408,0.0031412237,0
derm-0070,0.034367036,0.0056957062,0.003624477,0.05509934,0.011137103,0.005210922,0.21443963,0.034367036,0.66480273,0.0056230533,0
derm-0071,0.37013894,0.0012029932,0.0015038674,0.10148394,0.0018925151,0.00256508,0.0013767506,0.37013894,0.51716185,0.0026740094,0
derm-0072,0.0015770532,7.536256e-05,0.000103384446,0.00025452368,0.00020274313,0.00021863566,0.00025778214,0.0015770532,0.9970898,0.00022069679,0
derm-0073,0.5112795,0.0007228513,0.0023084537,0.10786223,0.0015365772,0.0016557875,0.0017622404,0.5112795,0.37119183,0.0016805098,0
derm-0074,0.014327342,0.00038502974,0.00047835658,0.0013434453,0.0013705248,0.00077158626,0.001455305,0.014327342,0.97900933,0.00085902767,0
derm-0075,0.0074834214,0.00055109116,0.0011776732,0.032610502,0.0009203216,0.000942755,0.0009453506,0.0074834214,0.9544178,0.00095093105,0
derm-0076,0.006534768,0.0029224358,0.0021404906,0.022713324,0.008056504,0.0028231405,0.0049688043,0.006534768,0.9468364,0.003004185,0
derm-0077,0.0026300338,0.0068446086,0.004143774,0.0051529505,0.012757442,0.0056303735,0.013690499,0.0026300338,0.94371617,0.0054342505,0
derm-0078,0.00865164,0.0012928934,0.0014588282,0.002560987,0.003175806,0.0019095449,0.0054567126,0.00865164,0.9736309,0.0018625467,0
derm-0079,0.101499595,0.011873378,0.010005439,0.1026121,0.012384061,0.007940907,0.011727162,0.101499595,0.73386765,0.0080896625,0
