name,pred,d7ft_0,d7ft_1,d7ft_2,d7ft_3,d7ft_4,d7ft_5,d7ft_6,d7ft_7,d7ft_8,true
derm-0001,0.5550409763110894,0.27537853,0.031351283,0.43259364,0.016962657,0.008175501,0.009326863,0.050578117,0.16811126,0.0075221793,0
derm-0002,0.28224407309869654,0.0008374019,0.0098552955,0.45480695,0.0014981334,0.0025774075,0.0046157553,0.0034970976,0.51988095,0.0024310236,0
derm-0003,0.5560369783193362,0.0011679641,0.0025751793,0.53300405,0.00033525092,0.0016272747,0.0019361507,0.050952233,0.4069035,0.0014984786,0
derm-0004,0.6193505771736385,0.00084136036,0.0009586082,0.5916071,0.00074374897,0.0025696347,0.0039616874,0.080508135,0.31629255,0.0025170736,0
derm-0005,0.2671603869670556,0.0005303487,0.0012609963,0.03281116,0.0012812591,0.0027511965,0.008365757,0.002762797,0.9474703,0.002766194,0
derm-0006,0.2340735592650771,0.00012728582,0.0004592689,0.0008125662,0.00032861094,0.00062019355,0.0009139276,0.0015146666,0.9946046,0.0006186617,0
derm-0007,0.32645097683756563,0.0032979387,0.109807454,0.06677252,0.0067193112,0.005423145,0.012260573,0.0063486644,0.7844421,0.0049283537,0
derm-0008,0.4997842414675981,0.0012142224,0.00086956314,0.600891,0.00085189455,0.0043337564,0.006383305,0.033184018,0.34814158,0.004130745,0
derm-0009,0.25219543757362606,0.0025531882,0.008821334,0.2157936,0.003472725,0.003358477,0.004893999,0.0021397795,0.75596136,0.0030055873,0
derm-0010,0.5466060199684373,0.002763974,0.002939547,0.39213252,0.0013874097,0.003052225,0.0035844587,0.047504812,0.5436619,0.0029732343,0
derm-0011,0.25088025030462324,0.00033406654,0.0014225406,0.04059157,0.0004079292,0.0009683856,0.0016856991,0.0020897817,0.95166034,0.0008395983,0
derm-0012,0.8103198636916952,0.0009636776,0.0035230685,0.42673236,0.0009316873,0.0034137552,0.0042305584,0.31100306,0.24605918,0.0031426009,0
derm-0013,0.46108573569758815,0.00143615,0.0021431034,0.29475552,0.0012548955,0.0028076197,0.005278006,0.024223642,0.66540116,0.002699952,0
derm-0014,0.1686993513933873,0.0003164751,0.0010521411,0.9968886,7.2133575e-05,0.00018197662,0.00022713836,0.00023997667,0.0008259754,0.00019590207,0
derm-0015,0.2734254198843795,0.00029137693,0.030779138,0.57294124,0.0010041822,0.0021000307,0.0043338775,0.003054349,0.383679,0.0018167535,0
derm-0016,0.5767057853604131,0.074870944,0.0070905522,0.33643043,0.0015952295,0.0025063406,0.0037349903,0.05928845,0.5118817,0.0026014408,0
derm-0017,0.7450278944256389,0.00038565553,0.0006279053,0.19285442,0.0012831708,0.004525491,0.010274821,0.19481058,0.59038776,0.004850156,0
derm-0018,0.7278085819915248,0.032796517,0.013343205,0.6265644,0.0042219716,0.0054490045,0.007855087,0.1725112,0.13248153,0.0047771945,0
derm-0019,0.28178639599004335,0.0006459983,0.004716692,0.08436518,0.0017387791,0.0022266675,0.0043863575,0.003473165,0.896225,0.0022220926,0
derm-0020,0.6913698336036549,0.003711108,0.066049986,0.5005017,0.0031821467,0.0050091757,0.0075332383,0.13357317,0.2756736,0.0047659157,0
derm-0021,0.30716165755765074,0.0004969255,0.009327565,0.08698088,0.00046898532,0.001239079,0.0016732289,0.0049672094,0.89379513,0.0010511037,0
derm-0022,0.36932605586338707,0.00039701836,0.00087352283,0.019987,0.001659726,0.0021125635,0.0039057655,0.010304223,0.95833695,0.0024232226,0
derm-0023,0.34503534308490774,0.0059032184,0.01754067,0.23676482,0.01181421,0.0064442954,0.008948027,0.007903331,0.6986254,0.006055985,0
derm-0024,0.3804761892639373,0.009488112,0.07324243,0.5678262,0.006096607,0.006186461,0.008157896,0.011560221,0.31227812,0.005163904,0
derm-0025,0.8037551721986241,0.0035864196,0.000121082485,0.6975402,0.00018795203,0.0005878406,0.00043480223,0.29655015,0.00037332874,0.0006182908,0
derm-0026,0.4562224156540446,0.081769556,0.036740508,0.64473116,0.008584212,0.0059049944,0.0052887495,0.02324964,0.18867882,0.005052383,0
derm-0027,0.9548742577655874,0.014007187,0.013477947,0.06850439,0.010080603,0.004122872,0.004812626,0.8588012,0.022497216,0.0036959404,0
derm-0028,0.5659927249760902,0.24219082,0.07645686,0.44753924,0.031475782,0.014747733,0.016086554,0.054827817,0.10311004,0.0135651175,0
derm-0029,0.7678966409485698,0.0008393961,0.5379771,0.19739877,0.00073879375,0.0028216925,0.0040060678,0.22918169,0.02457397,0.002462468,0
derm-0030,0.8011788879255145,0.031506944,0.10291629,0.55650455,0.0019857574,0.0046811923,0.0050341575,0.29107335,0.001730773,0.0045670844,0
derm-0031,0.5373788796362432,0.00400839,0.63299656,0.10164239,0.0046618697,0.0053735343,0.007633272,0.044329643,0.19443838,0.0049158684,0
derm-0032,0.6293966707248235,0.019593833,0.08189013,0.7685136,0.0060364786,0.006828155,0.009363309,0.086443335,0.014841414,0.0064895465,0
derm-0033,0.48860971490939736,0.05971093,0.0113504,0.851285,0.013990511,0.003479924,0.0027960562,0.030360997,0.023778569,0.0032475994,0
derm-0034,0.4699210548921639,0.012759223,0.0024268085,0.85243624,0.00087292603,0.0019301026,0.001662949,0.0260748,0.1000119,0.001825006,0
derm-0035,0.8037522609145648,0.002919047,0.009598513,0.443408,0.0021132464,0.0019015461,0.002094857,0.2965439,0.23956369,0.001857286,0
derm-0036,0.618091416320416,0.036273535,0.05556838,0.81136954,0.0012688386,0.0027228186,0.0025443125,0.07979196,0.007923509,0.0025370114,0
derm-0037,0.33671400299577636,0.09331009,0.77585965,0.111940995,0.004238716,0.0023343172,0.0022597918,0.0071786665,0.0004439832,0.0024337692,0
derm-0038,0.8093066266285298,0.009407318,0.3325522,0.3241081,0.0048207184,0.0061306474,0.006792601,0.3087247,0.0009351312,0.006528658,0
derm-0039,0.5745294100885668,0.0010149046,0.0043110577,0.9125225,0.0003765567,0.0009828549,0.0012798136,0.05835687,0.02019917,0.0009561364,0
derm-0040,0.7553640077016124,0.014412083,0.0026191866,0.705584,0.0019018209,0.004550369,0.0050692772,0.20962201,0.05186866,0.0043725874,0
derm-0041,0.3917936805224462,0.0017533897,0.39095187,0.40772724,0.0032418154,0.0036469132,0.004694347,0.012942726,0.17163302,0.0034087521,0
derm-0042,0.5491801996253176,0.0070283297,0.05414784,0.51560235,0.008144389,0.008976615,0.0120674595,0.048424978,0.33657238,0.009035687,0
