name,pred,d7ft_0,d7ft_1,d7ft_2,d7ft_3,d7ft_4,d7ft_5,d7ft_6,d7ft_7,d7ft_8,true
derm-0001,0.39437494,0.0012382268,0.26544067,0.064245366,0.0023041812,0.03343044,0.0006146259,0.39437494,0.16732675,0.07102475,0
derm-0002,0.04733932,0.0001999551,0.32064041,0.25910076,4.505354e-05,0.0002997273,5.43335e-05,0.04733932,0.3581762,0.014144227,0
derm-0003,0.09516513,1.6098142e-05,0.16030207,0.35203907,0.0001382738,6.726852e-05,7.873564e-06,0.09516513,0.3887586,0.0035055976,0
derm-0004,0.93884087,3.6415056e-06,0.04166065,0.007616315,1.533039e-05,2.1721433e-05,0.00082192913,0.93884087,0.009844009,0.0011756144,0
derm-0005,0.093117006,0.00011150199,0.112701826,0.15835725,0.00080648734,0.0005740875,0.14666848,0.093117006,0.45114133,0.036522053,0
derm-0006,0.0597485,0.024233004,0.008561297,0.06436781,0.0005549034,0.00014258192,0.045387674,0.0597485,0.5756056,0.22139867,0
derm-0007,0.05841477,1.7697505e-05,0.036304787,0.041967656,0.004276223,0.00012887274,0.5190919,0.05841477,0.26478988,0.07500817,0
derm-0008,0.06933305,4.4546683e-05,0.028929887,0.84764624,2.4013245e-05,0.00013757008,0.0002989856,0.06933305,0.038328998,0.015256737,0
derm-0009,0.005025209,0.0010731104,0.91314125,0.008435665,0.00010829077,0.00029839712,2.4192346e-05,0.005025209,0.020985235,0.050908692,0
derm-0010,0.49493486,0.000114069866,0.40158805,0.07840528,4.121633e-05,0.000387787,1.6542872e-05,0.49493486,0.0060503324,0.01846187,0
derm-0011,0.08938619,6.3805506e-05,0.16446523,0.38616616,7.494824e-05,0.0001034913,0.0004842104,0.08938619,0.29106137,0.06819466,0
derm-0012,0.09426493,0.00018350028,0.8589147,0.009994098,4.955154e-05,0.00027439988,4.8318525e-05,0.09426493,0.0023846254,0.03388598,0
derm-0013,0.6237754,0.0017698122,0.23384945,0.005565068,0.0013369228,0.013416189,0.009950083,0.6237754,0.10404765,0.0062894956,0
derm-0014,0.16605158,0.0046556713,0.09210517,0.6961634,2.4706618e-05,0.016759144,2.4619496e-05,0.16605158,0.0155038135,0.008711766,0
derm-0015,0.005467274,8.028789e-06,0.9863879,0.0036171637,2.8654167e-06,5.1464664e-05,7.754061e-05,0.005467274,0.003781388,0.0006064027,0
derm-0016,0.07759181,0.017453665,0.49188223,0.3312316,0.0003798687,0.008579969,0.00010753134,0.07759181,0.0088576665,0.063915685,0
derm-0017,0.10743381,2.039656e-05,0.19106911,0.0075243944,0.0004609889,2.1549049e-05,0.15153125,0.10743381,0.5333715,0.008566848,0
derm-0018,0.46746063,5.3852855e-05,0.33087435,0.0069811353,0.00041785208,0.003026654,0.00014225638,0.46746063,0.025607351,0.16543613,0
derm-0019,0.4993587,0.00025475575,0.27637425,0.08638448,0.00018076459,0.0069610337,3.9936607e-05,0.4993587,0.09061098,0.03983511,0
derm-0020,0.1045192,1.1016638e-05,0.6970503,0.1688956,0.00037950955,5.79478e-05,4.308473e-05,0.1045192,0.02770038,0.0013429833,0
derm-0021,0.012507464,4.4343597e-05,0.40180382,0.022476982,0.00016577826,1.372712e-05,4.534184e-06,0.012507464,0.51150626,0.05147704,0
derm-0022,0.08071721,0.0003428214,0.07840552,0.38506323,0.00012903693,0.0005411118,0.000108208405,0.08071721,0.17665198,0.27804092,0
derm-0023,0.00698661,3.2354365e-05,0.81328595,0.032813422,1.5778049e-05,6.689254e-05,1.3992435e-05,0.00698661,0.13252714,0.01425787,0
