name,pred,d7ft_0,d7ft_1,d7ft_2,d7ft_3,d7ft_4,d7ft_5,d7ft_6,d7ft_7,d7ft_8,true
IMD003,0.070142046,0.000195096,0.0009296432,0.06432744,0.0003044303,0.00038635588,0.00027095203,0.070142046,0.8513284,0.012115557,0
IMD009,0.001976157,7.620314e-06,0.009481059,0.013356358,5.8058155e-05,1.40782495e-05,5.5919513e-06,0.001976157,0.962235,0.012866084,0
IMD016,0.07215731,2.7090766e-06,1.6753022e-06,0.0005667165,1.2656771e-05,2.228656e-06,7.105645e-06,0.07215731,0.90891296,0.018336674,0
IMD022,0.064593606,0.0031244375,8.035195e-05,0.040071588,0.00021383527,6.7457295e-06,1.6083519e-05,0.064593606,0.8667267,0.025166525,0
IMD024,0.016477643,0.0003291739,0.0005273266,0.051108014,0.00023284915,3.8041821e-06,2.6210537e-05,0.016477643,0.90209836,0.02919655,0
IMD025,0.06758671,1.4115153e-06,1.6509206e-06,0.00016401129,0.000171895,1.0288471e-06,7.654242e-06,0.06758671,0.9280214,0.0040443144,0
IMD035,0.058093768,0.07542311,0.022828866,0.017261937,0.0012914527,0.00046227136,0.0002604936,0.058093768,0.76015776,0.064220384,0
IMD038,0.21753216,3.5189238e-05,7.6791905e-05,0.003694857,0.00016225039,1.4158318e-05,3.8388138e-05,0.21753216,0.75297666,0.025469586,0
IMD042,0.08416822,1.0650418e-05,1.0233223e-05,0.041018125,3.3089305e-05,7.1314014e-07,1.1601472e-06,0.08416822,0.87399596,0.0007617185,0
IMD044,0.030094206,0.0026288573,1.3884967e-05,0.11167323,3.887899e-06,1.8334533e-06,6.224281e-06,0.030094206,0.8527705,0.0028073916,0
IMD045,0.09335641,0.00092386577,4.4046737e-05,0.026983408,8.9370595e-05,3.4626246e-05,0.00014929629,0.09335641,0.79999745,0.078421555,0
IMD050,0.03866876,7.088437e-05,1.986139e-05,0.0012479558,4.0467603e-05,2.8018835e-06,8.644703e-05,0.03866876,0.94170475,0.01815818,0
IMD092,0.13199888,0.00014978522,0.0047482303,0.08687692,0.00030795042,0.0001880186,9.5154835e-05,0.13199888,0.7722952,0.003339861,0
IMD101,0.19201167,0.021175748,1.7256765e-05,0.012742794,9.977424e-05,0.0001557599,4.6467223e-05,0.19201167,0.43695045,0.33680016,0
IMD103,0.29565343,0.00014714927,2.4190738e-05,0.0031927016,5.2782096e-05,1.9638246e-05,8.843716e-05,0.29565343,0.64512,0.055701654,0
IMD112,0.117268555,0.00026568945,0.000163788,0.027791658,9.699739e-05,0.001832087,6.050532e-05,0.117268555,0.7295042,0.12301653,0
IMD118,0.06683432,5.3411677e-06,2.9438336e-06,0.004973525,0.0004085685,8.8111113e-07,8.033341e-06,0.06683432,0.91724443,0.010521987,0
IMD125,0.13495472,0.0005631496,5.224097e-05,0.01726354,0.00020729192,2.6741965e-05,6.958575e-05,0.13495472,0.7885729,0.058289792,0
IMD132,0.25986242,2.0370974e-06,2.602886e-05,0.0072226757,2.5887683e-05,4.2170386e-06,8.865757e-06,0.25986242,0.7159862,0.01686172,0
IMD134,0.07933365,8.236866e-06,1.1546757e-05,0.0010237381,6.369388e-05,1.900473e-05,2.0635669e-05,0.07933365,0.83096313,0.08855645,0
IMD135,0.007448246,1.2210301e-05,0.00025027615,0.000116542644,1.3520958e-05,7.6476945e-06,1.2459864e-05,0.007448246,0.9198832,0.07225599,0
IMD144,0.012230394,1.5745878e-06,1.9670844e-05,0.0047949213,3.2826072e-05,2.9089517e-07,5.0447616e-06,0.012230394,0.98192185,0.0009935965,0
IMD146,0.07339739,0.00022953392,8.64386e-05,0.013444359,0.032172076,9.05262e-06,7.0095724e-05,0.07339739,0.8717925,0.0087985275,0
IMD147,0.11070553,2.7642689e-06,6.554068e-05,0.00076350535,2.2969585e-05,2.6166099e-05,4.9205682e-06,0.11070553,0.8798944,0.008514202,0
IMD150,0.13616364,5.0272124e-06,0.00022603486,0.0070708464,3.0434587e-05,9.954891e-05,8.329934e-05,0.13616364,0.7535747,0.102746464,0
IMD152,0.020513473,8.9708556e-07,0.0048587504,0.31366277,7.60093e-05,3.475793e-06,0.00020307764,0.020513473,0.5816013,0.079080276,0
IMD156,0.14550515,0.00041157688,0.010528362,0.031352323,0.0008144667,0.006734212,0.00020567005,0.14550515,0.7605289,0.04391935,0
IMD159,0.49521595,0.00021977171,1.9657866e-06,0.0025539142,4.310881e-05,0.00014261939,1.8951112e-05,0.49521595,0.4726081,0.02919571,0
IMD161,0.13035598,6.6668103e-06,2.916015e-06,0.0030409624,0.00016046084,0.00014477488,1.5926631e-05,0.13035598,0.7491777,0.11709465,0
IMD162,0.2528642,0.011884386,0.00088461174,0.26083413,0.00016763818,0.00043920256,2.822907e-05,0.2528642,0.2819717,0.190926,0
IMD175,0.02485892,2.3192431e-05,2.5966654e-05,0.00037622283,4.2781612e-05,2.210613e-05,2.613502e-05,0.02485892,0.82096577,0.15365882,0
IMD177,0.08835802,0.00087352033,1.8238467e-05,0.0046816133,0.0002056352,3.0015071e-06,2.320213e-05,0.08835802,0.87283593,0.03300074,0
IMD182,0.05415479,3.1504944e-06,9.373525e-07,5.281153e-05,3.2729367e-06,3.265204e-06,1.5540381e-05,0.05415479,0.9306477,0.015118402,0
IMD198,0.07900655,7.122745e-05,3.95597e-05,0.009009251,0.00012844724,1.2863762e-05,0.00014523916,0.07900655,0.72829884,0.18328807,0
IMD200,0.01928767,2.6456792e-05,0.00021574894,0.017460626,5.6872123e-05,1.7080823e-05,8.853216e-05,0.01928767,0.82012045,0.14272664,0
IMD010,0.0049680066,0.00043743593,0.5838496,0.060844626,9.993564e-05,0.00062560715,0.0001300217,0.0049680066,0.19415127,0.15489347,0
IMD017,0.39386448,5.377584e-06,1.5260603e-07,7.4367665e-05,5.0857612e-05,1.9310103e-06,3.267755e-05,0.39386448,0.5984391,0.007530983,0
IMD020,0.01927098,2.0052712e-05,0.0019707608,0.12683848,8.179617e-05,2.498312e-05,0.00012824993,0.01927098,0.81749535,0.03416938,0
IMD039,0.03942168,3.7718713e-05,0.0003029914,0.0041154954,0.03615318,1.9522566e-05,0.00010128989,0.03942168,0.89163506,0.02821297,0
IMD041,0.014479126,2.3814098e-06,1.7140692e-06,0.00063084153,9.704209e-06,2.0276605e-07,1.3237355e-06,0.014479126,0.9846613,0.00021331504,0
IMD105,0.10555657,2.4512545e-05,0.00018177491,0.012469489,4.7799425e-05,5.3950016e-06,7.520368e-05,0.10555657,0.8226973,0.058942147,0
IMD107,0.17359547,2.6539643e-05,7.574456e-06,0.0007645997,3.101739e-05,1.5822905e-05,4.828045e-05,0.17359547,0.72491926,0.100591555,0
IMD108,0.013483648,1.4458797e-05,4.961874e-06,0.0004929031,9.812704e-06,2.4163899e-06,3.1237665e-05,0.013483648,0.8821766,0.10378408,0
IMD133,0.06070122,0.0010004345,0.00041534222,0.028954769,0.00031858915,5.3187297e-05,0.00011069593,0.06070122,0.7364227,0.17202309,0
IMD142,0.095166825,4.402603e-06,2.227255e-06,0.00014881043,1.7533412e-05,7.481803e-06,3.3215554e-05,0.095166825,0.7772436,0.12737592,0
IMD143,0.017022058,6.5153195e-05,0.0056253257,0.011649501,0.00043012,0.00017846948,0.00060324307,0.017022058,0.9192587,0.045167588,0
IMD160,0.30642173,3.6287132e-05,5.3795054e-07,0.0001105816,6.631552e-05,1.3879287e-05,1.1480523e-05,0.30642173,0.6621294,0.0312098,0
IMD173,0.0406737,4.777042e-06,2.6425369e-07,0.00016211152,8.78171e-06,3.946358e-06,6.951589e-06,0.0406737,0.9514357,0.00770395,0
IMD176,0.20982519,0.00014539078,0.00032810736,0.0076201456,4.2091688e-05,0.00011164328,1.509816e-05,0.20982519,0.7280498,0.05386255,0
IMD196,0.035573594,0.12390441,4.5204277e-05,0.16261955,9.9507335e-05,8.086411e-05,5.4689393e-05,0.035573594,0.5495767,0.12804548,0
IMD197,0.2934382,2.0318972e-05,0.00013095936,0.01016209,5.600576e-05,1.5578384e-05,4.491125e-05,0.2934382,0.6429939,0.053137936,0
IMD199,0.00627646,2.090629e-06,6.8096204e-05,0.0012758914,1.2425175e-05,5.6292106e-06,0.000925474,0.00627646,0.90513796,0.086296074,0
IMD203,0.13597524,6.3402804e-06,1.7086635e-06,0.00060018216,2.7552042e-05,1.5256565e-05,0.00010228244,0.13597524,0.7142647,0.14900683,0
IMD204,0.06898968,8.2805185e-05,0.0008044787,0.030775497,0.0006605147,0.00015707496,0.00013839704,0.06898968,0.8274463,0.07094545,0
IMD206,0.050851136,2.1150501e-05,0.0010479512,0.20987228,0.00031756493,4.528662e-05,9.721394e-06,0.050851136,0.73063445,0.007200394,0
IMD207,0.07351222,8.840267e-06,4.2282513e-06,0.0026863012,2.4274455e-05,8.599286e-06,3.2294276e-06,0.07351222,0.8573152,0.066437304,0
IMD208,0.062421866,1.6039032e-05,2.9003993e-06,0.0022365404,9.892676e-06,5.336003e-06,9.891585e-06,0.062421866,0.91763985,0.017657766,0
IMD364,0.046875842,0.0057351966,0.0005351951,0.045990493,0.0015552408,1.2236279e-05,0.00014646434,0.046875842,0.7548533,0.14429604,0
IMD365,0.17750418,0.0002324587,0.0017914687,0.052928198,0.00050589663,0.0023061917,8.055881e-05,0.17750418,0.7232571,0.04139395,0
IMD367,0.07725417,0.00032200073,0.00014296734,0.0024176382,6.950503e-05,0.00013835738,8.996594e-06,0.07725417,0.79751456,0.1221319,0
IMD371,0.025893038,6.395342e-06,1.3649262e-05,0.0021439174,0.0001236798,4.9582786e-06,1.6739517e-05,0.025893038,0.75891155,0.21288617,0
IMD372,0.07624053,0.001640119,2.957323e-05,0.031011699,0.0001424541,1.1451482e-05,4.301552e-05,0.07624053,0.75503707,0.13584416,0
IMD374,0.019139992,0.0029140625,0.0076531596,0.044122886,0.009434245,1.4359327e-05,6.920717e-05,0.019139992,0.87213784,0.04451437,0
IMD375,0.21395622,0.00023563823,9.282756e-05,0.032817855,0.00031203736,4.482633e-05,4.873663e-05,0.21395622,0.55827564,0.19421624,0
IMD378,0.0048224214,0.00034508287,1.0679751e-05,0.005079947,3.722077e-05,1.8771913e-06,3.3936835e-06,0.0048224214,0.9597052,0.029994218,0
IMD379,0.027910253,0.00017762175,5.0446374e-06,0.09864253,0.0009867287,1.7945634e-06,9.008189e-06,0.027910253,0.8456788,0.026588082,0
IMD380,0.01037555,2.0931136e-06,3.268713e-06,0.00079776766,3.76146e-05,3.5791265e-07,8.815861e-06,0.01037555,0.9589731,0.029801318,0
IMD381,0.07558326,7.520266e-06,1.4944252e-06,0.00029944384,4.1936764e-05,2.8641102e-06,9.1384645e-06,0.07558326,0.8391577,0.08489675,0
