name,pred,d7ft_0,d7ft_1,d7ft_2,d7ft_3,d7ft_4,d7ft_5,d7ft_6,d7ft_7,d7ft_8,true
derm-0001,0.004189296,0.23363851,0.67714286,0.033477686,0.021367023,0.0014452258,0.005284253,0.004189296,0.022056526,0.0013987905,0
derm-0002,0.033692595,0.015608633,0.5581328,0.22984354,0.013688685,0.0005175632,0.0024790633,0.033692595,0.1455066,0.000530306,0
derm-0003,0.04205774,0.10062157,0.22679189,0.5252263,0.009271889,0.00096678844,0.0024476757,0.04205774,0.091474354,0.0011417824,0
derm-0004,0.025863996,0.010237846,0.010974133,0.92583084,0.007114503,0.00031211507,0.0084533105,0.025863996,0.010877416,0.00033593606,0
derm-0005,0.048407104,0.002793413,0.052016776,0.17497407,0.009667199,0.0010804568,0.38103637,0.048407104,0.32900771,0.0010168715,0
derm-0006,0.023668675,0.010663977,0.1874309,0.019707946,0.034247614,0.0012617515,0.02841547,0.023668675,0.6934073,0.0011964013,0
derm-0007,0.011990391,0.08374387,0.65977895,0.07302321,0.14464748,0.0013875706,0.012612276,0.011990391,0.01155614,0.0012601949,0
derm-0008,0.03530855,0.024083165,0.013966383,0.8220124,0.0075639645,0.00050315907,0.01261194,0.03530855,0.0834792,0.00047121366,0
derm-0009,0.0014902734,0.15545993,0.76172876,0.03744107,0.026551707,0.0007873093,0.004136506,0.0014902734,0.011574428,0.00082998554,0
derm-0010,0.07342923,0.12867944,0.23153742,0.35327858,0.03624125,0.0008140337,0.006475419,0.07342923,0.16875605,0.0007885105,0
derm-0011,0.02109577,0.029773587,0.30243745,0.13309269,0.04188182,0.0023579418,0.045139354,0.02109577,0.42221305,0.0020083848,0
derm-0012,0.06385701,0.010520233,0.06778739,0.7815087,0.0111185815,0.0005880931,0.0064979917,0.06385701,0.05750509,0.00061688543,0
derm-0013,0.087942824,0.028537465,0.08427705,0.13710722,0.116635256,0.0030830926,0.3499464,0.087942824,0.1895607,0.0029099665,0
derm-0014,0.04440562,0.10005324,0.054983318,0.7599394,0.0039662905,0.0007521401,0.0014181662,0.04440562,0.033717465,0.00076438516,0
derm-0015,0.020046912,0.0029483559,0.5894589,0.18548459,0.0077886493,0.00048281872,0.011475724,0.020046912,0.1818444,0.0004698543,0
derm-0016,0.34927925,0.16800863,0.19739918,0.14393467,0.009522293,0.001310527,0.0030610885,0.34927925,0.12616251,0.0013218612,0
derm-0017,0.041886263,0.0019385305,0.0051624947,0.15455359,0.010447721,0.0015212838,0.4400799,0.041886263,0.34294912,0.0014610774,0
derm-0018,0.062244434,0.38513428,0.16078046,0.27263007,0.039813824,0.0012066806,0.009537111,0.062244434,0.06739159,0.0012615651,0
derm-0019,0.22631557,0.036374625,0.24633491,0.24272065,0.0049925926,0.00060843857,0.0058922684,0.22631557,0.23609594,0.0006650141,0
derm-0020,0.19946292,0.23286223,0.42020574,0.09667977,0.023187384,0.000849925,0.0020031533,0.19946292,0.023771716,0.0009770769,0
derm-0021,0.02765946,0.0049421354,0.7076151,0.03156909,0.0034298038,0.0005201099,0.001903279,0.02765946,0.22180176,0.0005593443,0
derm-0022,0.10412663,0.0067007127,0.017863756,0.12159299,0.008219699,0.002210157,0.26153466,0.10412663,0.47568256,0.0020688716,0
derm-0023,0.0040580635,0.051683135,0.85258466,0.061808355,0.010577861,0.0013204433,0.00977924,0.0040580635,0.0069270106,0.0012611642,0
derm-0024,0.0015074105,0.15797535,0.73746705,0.060386937,0.040058948,0.00047174445,0.0007898654,0.0015074105,0.00090623315,0.00043652244,0
derm-0025,0.039673373,0.15758789,0.011575584,0.7754509,0.0035054858,0.0010135478,0.0016407585,0.039673373,0.0085336575,0.0010188019,0
derm-0026,0.0032598116,0.06358439,0.77138275,0.14599323,0.0072541917,0.0007586859,0.002509141,0.0032598116,0.0045130597,0.00074485206,0
derm-0027,0.009369433,0.39793384,0.44443265,0.018025106,0.12257325,0.0010772968,0.0026882063,0.009369433,0.0030090783,0.0008912161,0
derm-0028,0.0073706075,0.2683059,0.5983415,0.07419484,0.04700398,0.0007398361,0.0019776442,0.0073706075,0.0014166903,0.000649045,0
derm-0029,0.14108025,0.020301046,0.5552372,0.15269569,0.010952301,0.0010316635,0.026531735,0.14108025,0.091184124,0.0009860407,0
derm-0030,0.08714703,0.16166054,0.40302968,0.31563446,0.009485584,0.0010422108,0.0050870883,0.08714703,0.015916804,0.0009966606,0
derm-0031,0.026331175,0.046870332,0.81104785,0.03292021,0.020035334,0.001135399,0.0038131513,0.026331175,0.056752205,0.0010943136,0
derm-0032,0.0356732,0.31639487,0.38636056,0.11536264,0.10738615,0.002706283,0.012424262,0.0356732,0.021168051,0.0025240236,0
derm-0033,0.005548968,0.19594884,0.33143666,0.42549086,0.030852336,0.00049645966,0.0009202868,0.005548968,0.008844531,0.0004609865,0
derm-0034,0.032437228,0.099608324,0.39909503,0.45353395,0.0031926872,0.00047563374,0.0016638614,0.032437228,0.009532067,0.0004613563,0
derm-0035,0.01716645,0.0038815313,0.8283896,0.08735686,0.006083725,0.00033407463,0.0034603165,0.01716645,0.052964795,0.00036260716,0
derm-0036,0.2796219,0.12911609,0.09891586,0.45265254,0.010150788,0.00075773516,0.003328989,0.2796219,0.02471649,0.0007396772,0
derm-0037,0.0022194888,0.026756559,0.951934,0.007012322,0.009098026,0.00039312002,0.0010702099,0.0022194888,0.0011139706,0.00040230845,0
derm-0038,0.012357999,0.015771074,0.95468754,0.006740849,0.0037027996,0.000833477,0.0027647968,0.012357999,0.002257375,0.0008840721,0
derm-0039,0.008238645,0.11990636,0.73158497,0.12547462,0.010821239,0.0002961319,0.001158351,0.008238645,0.0022523578,0.00026730468,0
derm-0040,0.0131104505,0.19273926,0.5202087,0.24167167,0.018037627,0.0005375847,0.002648782,0.0131104505,0.010504249,0.00054171466,0
derm-0041,0.0054356665,0.0057770694,0.87490064,0.092843294,0.00571927,0.00019868377,0.0014664971,0.0054356665,0.013466196,0.00019263125,0
derm-0042,0.002574759,0.09640739,0.7377476,0.045382407,0.10875024,0.00071644346,0.0017817917,0.002574759,0.0059668636,0.0006725341,0
derm-0043,0.013858347,0.00045882244,0.0031352367,0.005144579,0.0048645115,0.00072668464,0.3364055,0.013858347,0.6347117,0.00069466484,0
derm-0044,0.022394476,0.004947214,0.01552249,0.3263065,0.16331176,0.0018639442,0.4046311,0.022394476,0.05927391,0.0017485678,0
derm-0045,0.004520007,0.00017295028,0.0007194477,0.0026567897,0.0009063973,0.0001259471,0.122296624,0.004520007,0.868467,0.00013496837,0
derm-0046,0.012335624,0.0027838561,0.019966006,0.081973985,0.091641344,0.00050583866,0.053197574,0.012335624,0.7370376,0.0005581796,0
derm-0047,0.06721648,0.009440744,0.018142562,0.0842787,0.0072160773,0.0006643903,0.003957351,0.06721648,0.80839866,0.00068514363,0
derm-0048,0.012310671,0.0034455918,0.0072724535,0.5306173,0.009188891,0.0005617008,0.28531036,0.012310671,0.15074407,0.00054891914,0
derm-0049,0.01636356,0.00029397427,0.0011985657,0.0014850235,0.0022282172,0.00029493513,0.0031818126,0.01636356,0.9746032,0.00035061585,0
derm-0050,0.03962431,0.006909841,0.013808385,0.08193316,0.03523117,0.0011485628,0.48641616,0.03962431,0.33390948,0.0010190362,0
derm-0051,0.0074844765,0.00014307255,0.0010656808,0.0037781883,0.0012941672,0.000113150534,0.1293007,0.0074844765,0.85671645,0.00010417883,0
derm-0052,0.0641688,0.0025955003,0.00513832,0.019836932,0.0060116113,0.0008256946,0.38250685,0.0641688,0.5181985,0.00071781024,0
derm-0053,0.02499031,0.003012939,0.17365222,0.08966861,0.018572418,0.0012675613,0.32119334,0.02499031,0.36640206,0.0012406058,0
derm-0054,0.0066159973,0.00015546265,0.0010903433,0.0038981994,0.0007788159,0.0001324225,0.0011146968,0.0066159973,0.98605454,0.00015958393,0
derm-0055,0.009977546,0.0030420253,0.042265233,0.011269293,0.010879777,0.00049870444,0.013416837,0.009977546,0.9081442,0.000506514,0
derm-0056,0.1642018,0.02750254,0.01168972,0.1969516,0.009790768,0.0013372618,0.0048559764,0.1642018,0.58231026,0.001360047,0
