name,pred,d7ft_0,d7ft_1,d7ft_2,d7ft_3,d7ft_4,d7ft_5,d7ft_6,d7ft_7,d7ft_8,true
derm-0001,0.11908354508326684,0.0022976522,0.7633435,0.049145162,0.0023918946,0.0028240304,0.10353019,0.022251703,0.02021699,0.03399885,0
derm-0002,0.1524109209830475,0.0008345999,0.66411376,0.012376562,0.00074145955,0.000969789,0.21315032,0.034919564,0.070908435,0.0019855513,0
derm-0003,0.4629225761831808,0.00081472646,0.04324675,0.44211125,0.00074254523,0.0008453739,0.0031219376,0.24250855,0.26421863,0.0023901807,0
derm-0004,0.9653866080375737,0.00027066702,0.012191884,0.008928352,0.00033727023,0.00025995035,0.0019749403,0.96952283,0.0041756076,0.002338539,0
derm-0005,0.632568090705525,0.0004367979,0.07043294,0.021000316,0.00061092415,0.0007551372,0.019511625,0.4326426,0.44454125,0.0100684315,0
derm-0006,0.1389844703800773,0.00027962113,0.0066178334,0.008641065,0.0002731859,0.00030921737,0.86519885,0.029572012,0.060277257,0.02883086,0
derm-0007,0.13848642475142667,0.00075572374,0.23166297,0.015787276,0.00066423404,0.00064044434,0.57506984,0.029379852,0.0011616566,0.14487793,0
derm-0008,0.5686482088039547,0.00097283995,0.10167139,0.47938025,0.0009629978,0.0008140567,0.009652601,0.35360292,0.030714102,0.02222884,0
derm-0009,0.06482003581999117,0.0009716868,0.9129738,0.0050155,0.0010674683,0.00089089846,0.0051055797,0.0065128463,0.008157585,0.05930462,0
derm-0010,0.7922905891401314,0.00018741217,0.066180445,0.19472572,0.00018079663,0.0002186391,0.006747407,0.6720343,0.052370973,0.0073542716,0
derm-0011,0.36571642691699946,0.0001439041,0.010737526,0.81592524,0.00012879023,0.00012405525,0.0018546928,0.15981981,0.009402227,0.0018636626,0
derm-0012,0.26699294694735776,0.0004361183,0.8799751,0.0028147565,0.0006077162,0.0005336467,0.018518062,0.09278836,0.0029552872,0.0013709408,0
derm-0013,0.3170996080973538,0.0013902651,0.63786435,0.019582707,0.0010655824,0.0014302261,0.18424547,0.1247789,0.021047447,0.008595002,0
derm-0014,0.1444769530996528,0.00015210692,0.93452084,0.015255547,0.00014478964,0.00019185677,0.016897779,0.03172082,0.0007198614,0.00039640785,0
derm-0015,0.23849648386455183,0.0006738423,0.78407776,0.012144396,0.0007824648,0.0009738495,0.084401175,0.07641023,0.03781641,0.0027199835,0
derm-0016,0.032117514308517725,0.000121793244,0.9815892,0.010515812,0.00013509243,0.00014987263,0.0049592503,0.0010310337,0.0005663283,0.0009316107,0
derm-0017,0.2536544886363471,0.0002590004,0.0038682327,0.013848462,0.0002588183,0.00033173044,0.0067621665,0.08495971,0.8707644,0.018947437,0
derm-0018,0.24846301286464387,0.00013101062,0.8772245,0.018343383,0.0001773195,0.00013811304,0.014975707,0.08199006,0.0043352786,0.0026846142,0
derm-0019,0.9812746158042306,9.4102135e-05,0.0045160744,0.0025039308,7.721503e-05,9.435295e-05,0.00045369822,0.9896457,0.002304389,0.00031049713,0
derm-0020,0.20401690825294944,0.00017668091,0.9191476,0.0017979406,0.00022688317,0.00023528472,0.012798364,0.05833738,0.0041089985,0.0031707988,0
derm-0021,0.23620719237955431,0.005337711,0.4977755,0.018998772,0.0042078756,0.0052397433,0.006768175,0.075151056,0.3528728,0.033648375,0
derm-0022,0.29390466453616876,0.000105223124,0.008603897,0.2903209,0.000112901675,0.00014634196,0.00064115704,0.10945941,0.5898474,0.00076283416,0
derm-0023,0.12960191884749117,0.00019493198,0.5402044,0.328407,0.0001923096,0.00020815969,0.0050304136,0.026028289,0.06857154,0.031162972,0
derm-0024,0.0460781632259093,0.0012108646,0.9239867,0.0080855135,0.0011921016,0.0011396859,0.0021301424,0.0028891044,0.0012613531,0.058104485,0
derm-0025,0.9139892987781819,0.00016254696,0.05491911,0.043472372,0.00013789692,0.00014357771,0.0007170058,0.885526,0.0028706277,0.012050849,0
derm-0026,0.04973683643347091,4.7531514e-05,0.976861,0.01820886,4.105362e-05,3.597302e-05,0.00017265767,0.0035037869,0.0005133458,0.00061581016,0
derm-0027,0.2380835708549146,0.00039001563,0.8884504,0.022199307,0.0003367938,0.000416748,0.0015733683,0.07618249,0.0040247077,0.0064262534,0
derm-0028,0.08844104400201087,9.295801e-05,0.4035895,0.52701616,9.425961e-05,0.00010639221,0.0025009003,0.012524963,0.0010651526,0.053009693,0
derm-0029,0.07029540905424252,0.00016494116,0.9745172,0.007832025,0.00021671975,0.00020838041,0.0068586725,0.0077755773,0.000695091,0.0017313266,0
derm-0030,0.09970104364750412,0.00043258167,0.9372129,0.03370758,0.0005385606,0.0004549541,0.004558396,0.015866647,0.00067188515,0.0065565216,0
derm-0031,0.06489993867182196,0.00019498405,0.5443728,0.32346392,0.00027075154,0.00034334735,0.011943402,0.0065306597,0.0053115985,0.10756854,0
derm-0032,0.038229363972292665,0.00015867232,0.9926633,0.0023428095,0.0002003317,0.00018368488,0.001033627,0.0017432703,0.0006342324,0.0010400133,0
derm-0033,0.16382156469962658,0.00037187117,0.93659526,0.013601774,0.0002874835,0.00038431323,0.0015389815,0.039712287,0.0033192455,0.004188745,0
derm-0034,0.2636177172389561,0.00086068176,0.87895805,0.002919451,0.0005493338,0.0007723001,0.0041530756,0.09078028,0.019278998,0.0017278016,0
derm-0035,0.4119156130916281,0.0011988636,0.6983188,0.0024950744,0.0014182861,0.0018581367,0.06376524,0.19694313,0.03053292,0.0034696064,0
derm-0036,0.06376254071098253,0.00013799082,0.9783983,0.012864288,0.0001223532,0.00021442941,0.0005709855,0.0062788446,0.0005158268,0.00089692185,0
derm-0037,0.12408204682257105,0.00024272283,0.91926247,0.008574615,0.00018091932,0.00029093825,0.0011452944,0.024020057,0.013210876,0.033072073,0
derm-0038,0.039374879271913514,2.1392207e-05,0.99493706,0.002151432,1.4874047e-05,2.3075081e-05,0.00022849132,0.0018949682,0.00028121474,0.0004474979,0
derm-0039,0.598469119777839,0.00022356516,0.57963,0.0028149278,0.000273459,0.00030221022,0.007320517,0.38931164,0.013531992,0.0065916614,0
derm-0040,0.03833105819509268,2.2537992e-05,0.993078,0.00027013582,2.7412185e-05,1.7343134e-05,0.00470671,0.0017565133,3.3291573e-05,8.814456e-05,0
derm-0041,0.5428955231084596,0.0009813927,0.10909675,0.31083214,0.0009551436,0.00093428197,0.02617515,0.3243607,0.21007746,0.016586961,0
derm-0042,0.04590000995292297,0.00050498394,0.97287107,0.013613637,0.0005346396,0.000575558,0.0025849794,0.0028604285,0.0035960851,0.0028586935,0
derm-0043,0.059562094541066576,0.0017982263,0.33684096,0.016034847,0.0016620534,0.0018493215,0.38298646,0.005382267,0.24929202,0.004153852,0
derm-0044,0.08157830711809405,0.0004463612,0.3582775,0.39542794,0.00053787977,0.00039500094,0.14945725,0.010631957,0.07498345,0.00984269,0
derm-0045,0.078016141465149,0.00050719245,0.10812057,0.020795919,0.00048818727,0.0004305258,0.028817588,0.009694732,0.8260492,0.0050961496,0
derm-0046,0.5509199949553703,0.0029875166,0.098947026,0.101435095,0.003533837,0.0030878973,0.018991726,0.3333166,0.42917317,0.008527119,0
derm-0047,0.2653646645691336,0.0023040192,0.056275316,0.041493665,0.0025600763,0.0025839459,0.01379317,0.09181733,0.7836902,0.00548225,0
derm-0048,0.2397443534752116,0.00040353354,0.004882477,0.41015986,0.00032904744,0.0003043654,0.0027183008,0.07710013,0.5015472,0.0025551228,0
derm-0049,0.05739136389118874,0.00044539938,0.0011404469,0.027671052,0.00047308966,0.0004669707,0.0038009002,0.004940153,0.949621,0.011440994,0
derm-0050,0.3001339816627504,0.0004452412,0.009350746,0.034986053,0.0005403951,0.00059894106,0.007906774,0.113486566,0.8253487,0.007336646,0
derm-0051,0.1357168400487513,0.0023943041,0.013021047,0.0019630955,0.0027411191,0.0023395135,0.0031538515,0.0283195,0.9446183,0.001449315,0
derm-0052,0.09890266935719878,0.00077852164,0.0049207592,0.016301509,0.0009021925,0.0010705037,0.16006002,0.015620448,0.79514503,0.005201006,0
derm-0053,0.2590676868011417,0.0020308122,0.06870171,0.006599158,0.001936506,0.0019702986,0.052684076,0.08810231,0.76604044,0.011934704,0
derm-0054,0.23593524584783795,0.0009228294,0.03950497,0.017575508,0.00079546915,0.000990476,0.003485348,0.07500204,0.86058635,0.0011370647,0
derm-0055,0.11739585521819601,0.00077448256,0.0050280048,0.020355426,0.00077575253,0.00088098313,0.002916627,0.021665594,0.9426016,0.0050015026,0
derm-0056,0.13226898559011513,0.0010844949,0.03494556,0.08917492,0.0011352544,0.0009454362,0.002558807,0.027019108,0.83738375,0.0057526906,0
derm-0057,0.03654948866295291,3.8671296e-05,0.0069537326,0.016129773,4.351084e-05,3.658877e-05,0.8632505,0.0015309359,0.11018995,0.0018263948,0
derm-0058,0.25444478249682456,0.0003064347,0.0018807184,0.1325433,0.000333705,0.00030317146,0.0042069224,0.08541557,0.76869076,0.0063194176,0
derm-0059,0.03209612792263068,6.929583e-05,0.00035881202,0.019217283,6.7773406e-05,6.0943043e-05,0.049309358,0.0010288411,0.9281244,0.0017632125,0
derm-0060,0.06600267804569307,0.0006490855,0.0021214264,0.039650667,0.0007403279,0.00084008777,0.004784394,0.0067783887,0.9411454,0.003290204,0
derm-0061,0.0941381022278483,0.001400731,0.0013757993,0.022154436,0.001219215,0.0016008728,0.0074105635,0.01418019,0.9456371,0.0050210715,0
derm-0062,0.16473520908004383,0.0008191725,0.012049904,0.09471505,0.0006842495,0.0008377528,0.04297216,0.0401057,0.80515796,0.0026579916,0
derm-0063,0.1549734630362518,0.0003783379,0.033246472,0.084544115,0.00032479898,0.0003070094,0.004007692,0.0359763,0.83727485,0.0039403844,0
derm-0064,0.26374532577476756,0.00058202416,0.0014505085,0.077664,0.0004658148,0.00047956812,0.0072690467,0.09085587,0.8088597,0.012373481,0
derm-0065,0.10182790328362246,0.00028033397,0.0018014342,0.46749935,0.00030732792,0.00046117452,0.36494893,0.01652922,0.14429656,0.0038756821,0
derm-0066,0.6312901238953725,0.00058002374,0.11437945,0.019067721,0.000515908,0.00045618348,0.28881818,0.43096972,0.14317612,0.0020367284,0
derm-0067,0.15331278229083803,0.0002615202,0.0022129945,0.00870887,0.00025207095,0.00024413467,0.042653427,0.035290167,0.9095215,0.00085529085,0
derm-0068,0.10963601445895294,0.00026119113,0.0018174492,0.017900426,0.00026374962,0.00031705308,0.023177393,0.019043475,0.9349714,0.002247926,0
derm-0069,0.5044607358187757,0.00019755849,0.007207597,0.0759971,0.00014594979,0.00020052693,0.035130177,0.28337443,0.59613204,0.0016146698,0
derm-0070,0.07355084402900887,0.00046060092,0.0017006159,0.042519886,0.00043251575,0.0005536019,0.10164541,0.008565588,0.8418811,0.002240673,0
derm-0071,0.5314516606957783,0.0017415083,0.0027850445,0.0055632247,0.0022136383,0.002341111,0.00469026,0.3118293,0.66332716,0.00550879,0
derm-0072,0.05225049676271113,0.0023915346,0.0015927241,0.011172896,0.0023564217,0.0024619307,0.0045935228,0.003953697,0.9652871,0.006190167,0
derm-0073,0.19807225767035241,0.00045315098,0.0013666236,0.0702475,0.00046438497,0.0005710996,0.0012522961,0.05541537,0.8676795,0.0025501081,0
derm-0074,0.053347745018794065,0.0020238445,0.0012102794,0.0057923016,0.0017043211,0.0020162452,0.0015424007,0.0041568913,0.9764701,0.0050836187,0
derm-0075,0.13530474509751467,0.004866435,0.0060510975,0.029696291,0.0046907878,0.005851076,0.010428669,0.028162925,0.89937806,0.010874668,0
derm-0076,0.07225204159754733,0.0006082028,0.0015646331,0.0022367535,0.00064476236,0.00059275253,0.001925006,0.0082469825,0.9821334,0.0020475634,0
derm-0077,0.18368294549109915,0.0063956343,0.004615061,0.012960227,0.006018722,0.0070795696,0.006228177,0.048581384,0.8992202,0.008901089,0
derm-0078,0.11606867788599974,0.010692829,0.0078289155,0.024126636,0.010112994,0.011199363,0.014000132,0.021208616,0.8936467,0.007183885,0
derm-0079,0.2255739146367021,0.0006279061,0.0029184746,0.04600422,0.00054028735,0.00051311625,0.0031171627,0.069412716,0.873518,0.0033481154,0
derm-0080,0.1385939388784466,0.0014569801,0.0032808927,0.35648528,0.0014488021,0.0014329513,0.006304145,0.029421296,0.5032544,0.09691525,0
derm-0081,0.9357281517545274,0.00074990216,0.0047430587,0.0034285146,0.0007971811,0.00083146896,0.002826177,0.9229245,0.061217625,0.0024815088,0
derm-0082,0.40477862282964294,0.006051704,0.0055110133,0.007729764,0.0058814306,0.0071854442,0.010337795,0.19095677,0.754278,0.0120680565,0
