name,pred,d7ft_0,d7ft_1,d7ft_2,d7ft_3,d7ft_4,d7ft_5,d7ft_6,d7ft_7,d7ft_8,true
ISIC_0034246,0.8707017878780651,0.0026352685,0.00037679242,0.028706936,0.0024124137,0.0004511106,0.0050526406,0.69442785,0.2655215,0.0004155395,1
ISIC_0034162,0.6235103797162422,0.031294595,0.0015379535,0.04759874,0.0042539495,0.00063877075,0.001563274,0.266647,0.64587855,0.00058720575,1
ISIC_0033879,0.33091226112739214,0.00037720654,0.00032479246,0.02962718,0.0020518398,0.000479041,0.0019092414,0.062195558,0.90259,0.00044511128,0
ISIC_0029779,0.17883098889670968,0.027309278,0.043541595,0.2642134,0.008805175,0.0026867199,0.019801883,0.016613323,0.6144888,0.002539953,0
ISIC_0030085,0.25074499383960425,0.017944407,0.0022752124,0.90769845,0.0021272176,0.0005245428,0.0021976535,0.034488935,0.032271545,0.0004721505,0
ISIC_0029752,0.11174788668763341,0.0023384022,0.0018161094,0.0027410898,0.003695687,0.000437714,0.001695089,0.005502069,0.9813768,0.00039709415,0
ISIC_0034048,0.6130415368026793,0.008921712,0.0010225638,0.13111204,0.005074802,0.0005413568,0.0018872352,0.25527018,0.5956487,0.0005214834,1
ISIC_0025152,0.16098628409467525,0.0008147657,0.0034170214,0.044665985,0.0034280063,0.00024928278,0.07799049,0.013131802,0.8560476,0.00025497432,0
ISIC_0033902,0.6735074324179207,0.02881146,0.0017829848,0.1091306,0.0038930476,0.00017666926,0.0037462653,0.3270104,0.5252631,0.0001855892,1
ISIC_0033546,0.4647022293420619,0.002737209,0.00063396664,0.0073457854,0.0067776516,0.00035904165,0.0047159656,0.13106205,0.8460703,0.00029797637,1
ISIC_0026391,0.4943581534287475,0.0064166295,0.0015212414,0.107365645,0.002055807,0.00080734974,0.0026739591,0.15114187,0.7272976,0.0007199687,0
ISIC_0027822,0.08278667112072896,0.02249628,0.0010383416,0.9630721,0.0020319987,0.00017626763,0.00035740863,0.0024452005,0.008220258,0.00016208617,1
ISIC_0031953,0.5099537052281262,0.15332279,0.0076410794,0.46681428,0.008655808,0.00082685513,0.0027154952,0.16254403,0.19677468,0.000705063,1
ISIC_0033871,0.35523894050621435,0.008775297,0.00084916473,0.0140841305,0.0037689786,0.00085094915,0.001651862,0.07241975,0.8968216,0.0007782147,1
ISIC_0028085,0.14373863558797048,0.105066754,0.13046898,0.53069437,0.16605091,0.0008941657,0.01016115,0.010125169,0.04570585,0.00083264866,0
ISIC_0034153,0.5141018747363328,0.06789317,0.61739606,0.0774517,0.011173214,0.0014798001,0.0058395276,0.1656801,0.051714845,0.0013715759,0
ISIC_0031160,0.7896762444648191,0.0020646867,0.0008701708,0.08744995,0.0027446344,0.0005080739,0.0043848995,0.51460904,0.3869101,0.0004584775,0
ISIC_0031474,0.4914681391832699,0.32509887,0.010906021,0.26968482,0.1595297,0.00052712637,0.009538647,0.14909461,0.075141475,0.0004787996,0
ISIC_0030851,0.3602234082076633,0.0029907853,0.0035595458,0.033220906,0.0145802945,0.0006874932,0.004048056,0.07462858,0.86569625,0.00058815436,0
ISIC_0033752,0.3193088330542889,0.17695853,0.010414503,0.69174415,0.017135102,0.0006237514,0.0014243929,0.057632696,0.043459143,0.0006077878,1
ISIC_0033865,0.23783856073415682,0.06495244,0.001764842,0.87574655,0.0038642683,0.0004705187,0.001511612,0.030818095,0.020445755,0.0004260401,0
ISIC_0031872,0.15281208112605205,0.10576047,0.41762805,0.3520092,0.022078304,0.0016356538,0.00344405,0.011662726,0.08404141,0.0017402191,0
ISIC_0034070,0.13004685856924472,0.022347642,0.0038120982,0.93173075,0.0021278537,0.0005813492,0.0016364091,0.007992504,0.029267697,0.0005037372,0
ISIC_0030845,0.8151854001227214,0.0018633076,0.00049014785,0.09340557,0.003462399,0.00056253694,0.041073725,0.566527,0.29207993,0.0005353924,0
ISIC_0033186,0.6537582416450713,0.0018252857,0.00037814467,0.2561992,0.004392508,0.0007422995,0.011046107,0.30191678,0.4228014,0.0006983118,1
ISIC_0034262,0.46535817401015056,0.09323738,0.010602493,0.55202913,0.009214732,0.0008284333,0.0037231923,0.13148457,0.19814222,0.0007379037,1
ISIC_0032313,0.7245132083394917,0.024024758,0.0031843835,0.52014035,0.002568185,0.0003337819,0.0038525313,0.400311,0.045297436,0.00028756735,1
ISIC_0032221,0.15883428281238238,0.0008661762,0.0027863362,0.010175704,0.0019797154,0.0002176459,0.0010512102,0.012737359,0.9700102,0.00017572322,0
ISIC_0024770,0.5814249804390033,0.030838255,0.01344826,0.54552144,0.024148932,0.0018452676,0.0033721023,0.22328988,0.15572816,0.0018076107,0
ISIC_0033299,0.7465759425952998,0.0013458878,0.0008354107,0.0265048,0.010189822,0.00032782642,0.15335086,0.4362224,0.37089673,0.00032626148,1
ISIC_0033583,0.1676621768145419,0.0026061728,0.0006131622,0.95044655,0.0070810714,0.00011883406,0.00054651324,0.014390281,0.024089716,0.00010791165,0
ISIC_0029674,0.40421815811722667,0.19642882,0.031973552,0.48214403,0.019109404,0.002243933,0.0037908244,0.09592076,0.16622625,0.002162464,0
ISIC_0027419,0.3937651417395287,0.20925806,0.008887676,0.67680883,0.002687728,0.00048014597,0.0009259502,0.0905588,0.009932536,0.0004602107,0
ISIC_0033310,0.48919669366308094,0.053846538,0.24400525,0.13653609,0.029389057,0.00083037186,0.21635123,0.14749962,0.17069852,0.0008433481,1
ISIC_0029902,0.3327500426005226,0.034081977,0.01327874,0.04396605,0.028906662,0.0013638086,0.0048358357,0.062936485,0.809364,0.0012664367,0
ISIC_0031127,0.618649749600428,0.009697717,0.001454508,0.4032661,0.0045543374,0.0009367522,0.0020724544,0.2613139,0.31586078,0.0008435637,0
ISIC_0032244,0.31293075419921457,0.0021097588,0.00023981066,0.931011,0.00087151706,0.0003467953,0.00071392156,0.055207998,0.009113406,0.00038569066,1
ISIC_0027948,0.644303071747248,0.0031972576,0.0038167739,0.053688068,0.003441071,0.0009663514,0.0024928264,0.2904946,0.6410244,0.0008786226,0
ISIC_0029161,0.45004465770254026,0.013566847,0.008968356,0.6631463,0.03064916,0.00043928358,0.030042564,0.12186357,0.13089333,0.00043061917,0
ISIC_0033833,0.6879855187280021,0.0034257981,0.0032278937,0.09401047,0.004708186,0.000790447,0.0026932638,0.34652385,0.54391277,0.0007074437,0
ISIC_0033708,0.38050471909959976,0.5623299,0.07583217,0.26038572,0.0037662794,0.00048133955,0.0007387807,0.08403374,0.0119581865,0.00047384063,1
ISIC_0032376,0.2208267704684621,0.00072753016,0.001563184,0.07050931,0.0016771574,0.00023584024,0.16064523,0.026293585,0.7381131,0.00023508878,0
ISIC_0033696,0.5855211262140577,0.07113456,0.022278562,0.21925263,0.048138432,0.00062962243,0.2951382,0.22724056,0.11547049,0.0007170011,1
ISIC_0034046,0.7981483748951316,0.018283207,0.0006758386,0.11162094,0.026285196,0.00029404717,0.0047656707,0.5313807,0.30644384,0.00025061978,1
ISIC_0034185,0.2917142997460922,0.0030986222,0.0009857238,0.1105228,0.004190792,0.00036832315,0.0049249614,0.04755518,0.82802194,0.00033169807,0
ISIC_0025600,0.11809565090966073,0.06305068,0.8362366,0.04902862,0.022657787,0.0011316043,0.0018773163,0.006318548,0.018598914,0.0010999757,0
ISIC_0030574,0.140153096153929,0.013758043,0.754963,0.014214533,0.0550577,0.0010021565,0.002568968,0.009544763,0.14800912,0.00088176236,0
ISIC_0033925,0.5685229375946986,0.017951204,0.0057625,0.1729053,0.010412435,0.0017381989,0.2161151,0.21120143,0.36199686,0.0019169623,1
ISIC_0033509,0.40433596002295435,0.05847616,0.0047544516,0.6569026,0.013668962,0.0013374022,0.0026871122,0.09598231,0.16494863,0.0012424554,0
ISIC_0024624,0.2950788029776021,0.014823749,0.0079516135,0.8555959,0.040004775,0.00058673293,0.0021350635,0.048727173,0.029634966,0.00053994445,1
ISIC_0033364,0.3182230027515118,0.009966228,0.0036009725,0.35468695,0.041968647,0.0004820558,0.004733737,0.05721577,0.52688575,0.0004599271,0
ISIC_0034232,0.18914048299034136,0.005881051,0.002499399,0.039588306,0.0067349346,0.0004391383,0.0025357006,0.018795893,0.92310965,0.00041593236,0
ISIC_0030086,0.45610178327152984,0.00568546,0.000745613,0.022960193,0.008848088,0.0005433601,0.009944576,0.12560892,0.825202,0.00046167086,0
ISIC_0032150,0.503368594582019,0.0064551593,0.009685664,0.10402399,0.033241685,0.0010334938,0.005874299,0.15765563,0.681081,0.0009490572,0
ISIC_0028219,0.7215575163635352,0.005141027,0.0057039666,0.12572286,0.0113647645,0.00086701754,0.004990124,0.3957029,0.44968224,0.000825092,1
ISIC_0033866,0.214578283078892,0.23496191,0.01610018,0.638907,0.029490236,0.0011487273,0.0024775376,0.02472001,0.051148422,0.0010458991,0
ISIC_0030709,0.6697997321344744,0.0026247727,0.0042007584,0.26248798,0.007866181,0.0007920863,0.005698207,0.32216805,0.39340532,0.00075667,0
ISIC_0031323,0.22411207948930725,0.0043399213,0.002679499,0.0047569256,0.0091065345,0.00053592696,0.0016378295,0.027139861,0.94932526,0.0004782605,0
ISIC_0030053,0.36159441206724174,0.32903758,0.07084593,0.13438772,0.05491,0.0011527252,0.004758526,0.07524311,0.3285128,0.0011516856,0
ISIC_0033380,0.1922498975078004,0.008366403,0.00262205,0.36969525,0.011724771,0.00043833067,0.010442588,0.019478807,0.57685894,0.00037304204,0
ISIC_0034058,0.058388827420637834,0.058936473,0.8484233,0.024135597,0.06675968,0.00013546622,0.00032507587,0.00078697206,0.00036670596,0.00013061994,0
ISIC_0034110,0.5015855208659661,0.011827965,0.0023730763,0.40524322,0.03807653,0.00080351904,0.024142673,0.15635072,0.36047778,0.0007044554,0
