name,pred,d7ft_0,d7ft_1,d7ft_2,d7ft_3,d7ft_4,d7ft_5,d7ft_6,d7ft_7,d7ft_8,true
derm-0001,0.17561990342960307,0.19712651,0.5886745,0.14959435,0.018087141,0.00060824514,0.005989894,0.022845227,0.016550852,0.000523301,0
derm-0002,0.3677334281952126,0.001885876,0.7811329,0.00927403,0.001935291,0.0002779971,0.001207438,0.10424002,0.09976148,0.0002850111,0
derm-0003,0.6149425333651148,0.0037908852,0.15258506,0.13030748,0.0028140831,0.0013383309,0.002936062,0.32060117,0.38423392,0.0013930656,0
derm-0004,0.7220251039651364,0.0029111647,0.023420485,0.4629403,0.001089468,0.00029841703,0.0013793249,0.4733478,0.03429425,0.00031879536,0
derm-0005,0.15771298623089006,0.0027593146,0.0067750732,0.031263806,0.033228207,0.0003684184,0.6146788,0.018160855,0.29241368,0.00035181965,0
derm-0006,0.19019210491138094,0.030367527,0.02454495,0.10253363,0.007130332,0.0008110196,0.5389266,0.027007854,0.26794687,0.00073127175,0
derm-0007,0.1383130469258128,0.0028932435,0.4987967,0.18409006,0.002244931,0.00019248785,0.26009402,0.01362805,0.037897952,0.00016252957,0
derm-0008,0.374918590537986,0.011243149,0.008832409,0.82456964,0.0035727264,0.0018584488,0.014408961,0.10850296,0.025293982,0.0017177716,0
derm-0009,0.11633224543900514,0.01871339,0.5776991,0.33270106,0.006823968,0.00037857346,0.0019915688,0.009191907,0.052146465,0.00035394682,0
derm-0010,0.8769555328601718,0.014580267,0.021423703,0.13213745,0.0020156528,0.00024084898,0.0010185585,0.7751928,0.053144116,0.00024661154,0
derm-0011,0.23302654073794274,0.0054304875,0.0899095,0.75036025,0.0025975113,0.0005954459,0.008018258,0.041067377,0.10140733,0.00061389635,0
derm-0012,0.7953155567590348,0.0015680812,0.34240735,0.018316645,0.000514752,0.00018810398,0.0010029133,0.60462016,0.031186273,0.00019559365,0
derm-0013,0.448627790013707,0.02795493,0.17666928,0.48143908,0.00917895,0.00080822984,0.008182879,0.15830539,0.13659257,0.00086877134,0
derm-0014,0.54834032268624,0.0038067661,0.6756381,0.046846222,0.0040605874,0.0016854544,0.0032664852,0.24607413,0.017030766,0.0015916262,0
derm-0015,0.22648387007609835,0.00069315813,0.9235489,0.0074426914,0.00070824445,0.00012131452,0.0006322285,0.03874242,0.027991995,0.000119037824,0
derm-0016,0.5997747076197912,0.0020108994,0.59163773,0.03138549,0.0023451014,0.0011070891,0.01709092,0.30236658,0.05101043,0.001045794,0
derm-0017,0.22262825818928628,0.009585279,0.041654024,0.3044712,0.011578224,0.0011141369,0.18215898,0.037402507,0.41109058,0.0009451662,0
derm-0018,0.5142429438972673,0.004771702,0.39887738,0.3576877,0.0027780987,0.00017816019,0.0014797394,0.2131102,0.02094182,0.00017521529,0
derm-0019,0.7857239286714925,0.004172454,0.06922613,0.11498784,0.0021684922,0.0031107985,0.0051690233,0.5861653,0.21148892,0.0035111145,0
derm-0020,0.4601212428559286,0.0017877839,0.789683,0.025131224,0.0011023938,0.00010743706,0.00077681267,0.16714309,0.014161889,0.00010654443,0
derm-0021,0.2665436023357209,0.01073587,0.1825573,0.116861716,0.016154531,0.0013266697,0.0057548005,0.05400415,0.611433,0.0011719285,0
derm-0022,0.42475228247893654,0.0066162944,0.06514355,0.13741234,0.0050185793,0.0013191102,0.009765224,0.1409078,0.6324508,0.0013663992,0
derm-0023,0.25155465934065374,0.15814304,0.62405586,0.09536923,0.004017871,0.00048226723,0.0028851577,0.04800447,0.06657797,0.0004642168,0
