name,pred,d7ft_0,d7ft_1,d7ft_2,d7ft_3,d7ft_4,d7ft_5,d7ft_6,d7ft_7,d7ft_8,true
ISIC_0028498,0.6685965139172392,0.010814285,0.01619949,0.2933571,0.0035772945,0.0011949316,0.0046915077,0.39164034,0.27761555,0.00090955256,0
ISIC_0027859,0.55114678299534,0.21846318,0.0026333274,0.49211016,0.0033763435,0.0002613763,0.0019400477,0.24893582,0.032032978,0.00024674388,0
ISIC_0030591,0.7340922542090227,0.14432864,0.011511828,0.032092817,0.0072355205,0.002091477,0.010294685,0.4934128,0.29706085,0.0019713729,0
ISIC_0031366,0.4350662471555078,0.003372825,0.0006999955,0.0018849544,0.0024639403,0.00270212,0.0031022776,0.14826739,0.8350175,0.0024889216,0
ISIC_0025396,0.43155764009365827,0.0026485224,0.0015905051,0.001745711,0.0013305703,0.0014091012,0.0015520687,0.14573754,0.8427264,0.0012596118,0
ISIC_0031922,0.13917225548399828,0.3059436,0.6074192,0.030097837,0.03371652,0.00020514238,0.0021900404,0.0138167115,0.006410421,0.00020054383,0
ISIC_0031377,0.6652308167319938,0.0072326395,0.023092864,0.15771142,0.0046458966,0.0013838746,0.003149066,0.3868706,0.41466948,0.0012441727,1
ISIC_0026103,0.6552571726667534,0.008317142,0.002167626,0.011630969,0.003585377,0.0026975786,0.005207445,0.37298927,0.59092486,0.0024798142,0
ISIC_0027190,0.719666757799844,0.0038042588,0.0005345059,0.012079504,0.002208783,0.0022941045,0.0026453778,0.4694971,0.504818,0.0021183877,1
ISIC_0032126,0.8878139841370368,0.032849226,0.0065509616,0.046006043,0.00427007,0.0005338602,0.0018273316,0.7991951,0.10822096,0.0005463681,0
ISIC_0031394,0.3378273998134239,0.59654754,0.019438632,0.20522478,0.01031445,0.00033497205,0.0022953467,0.08753558,0.07799118,0.00031750562,0
ISIC_0028878,0.4650075535085221,0.22988324,0.0046448675,0.520564,0.004366815,0.00070345466,0.0019993833,0.17099445,0.06619262,0.0006511327,1
ISIC_0031306,0.20956135316195598,0.0018236534,0.0009198305,0.00058680994,0.0026211801,0.0008957912,0.0012974765,0.033026945,0.9579328,0.0008954592,0
ISIC_0030817,0.7544963869318031,0.0013613327,0.00047739586,0.008761049,0.0016319262,0.0007645795,0.0007833603,0.52872825,0.4567506,0.00074154814,0
