name,pred,d7ft_0,d7ft_1,d7ft_2,d7ft_3,d7ft_4,d7ft_5,d7ft_6,d7ft_7,d7ft_8,true
ISIC_0034246,0.9472900032997131,0.00088448205,0.00026511206,0.0023436672,0.00093910797,0.0004027812,0.0019782262,0.94729,0.04555232,0.0003442604,1
ISIC_0034162,0.8583300113677979,0.0017820547,0.024130907,0.00798884,0.0009776395,0.00018420583,0.0009684134,0.85833,0.10545948,0.00017843308,1
ISIC_0033879,0.0008490880136378109,0.0004960547,0.00013584291,0.000292632,0.0006258126,0.00056872825,0.00037170335,0.000849088,0.9959333,0.0007267622,0
ISIC_0029779,0.013944873586297035,0.0027708625,0.62481946,0.30900446,0.0026693766,0.00026054168,0.02352659,0.013944874,0.022728028,0.00027580172,0
ISIC_0030085,0.3129771947860718,0.0040112883,0.009163776,0.4998795,0.001832424,0.00092610775,0.0039017727,0.3129772,0.16635878,0.00094907533,0
ISIC_0029752,0.026186656206846237,0.0029972726,0.009353759,0.1900025,0.002651005,0.0013378663,0.03816971,0.026186656,0.72817636,0.0011248523,0
ISIC_0034048,0.9078111052513123,0.0023717168,0.0014263497,0.03342706,0.00072700426,0.00015927022,0.00047209408,0.9078111,0.05348695,0.00011842764,1
ISIC_0025152,0.014285176061093807,0.0004747638,0.033270318,0.0057400684,0.0048668403,0.00040334076,0.025713744,0.014285176,0.91495466,0.00029112026,0
ISIC_0033902,0.9086201190948486,0.0003089824,0.0036339713,0.011379879,0.0022364105,0.00012977378,0.0039389795,0.9086201,0.06964655,0.00010541828,1
ISIC_0033546,0.44599759578704834,0.001145014,0.00063347473,0.0025627438,0.009811673,0.00033354375,0.0009658118,0.4459976,0.5381865,0.00036362762,1
ISIC_0026391,0.281160444021225,0.0005967855,0.001199923,0.013955291,0.0012208355,0.0007209749,0.0007735672,0.28116044,0.69982505,0.0005471767,0
ISIC_0027822,0.049913644790649414,0.0017594082,0.0031777942,0.91191256,0.0012971931,0.0003714487,0.00083143,0.049913645,0.030181136,0.0005552615,1
ISIC_0031953,0.8139594197273254,0.0015835711,0.0019694855,0.027358826,0.0014631008,0.00046452062,0.0014190136,0.8139594,0.15130681,0.0004753705,1
ISIC_0033871,0.1136958971619606,0.0016934454,0.0004944988,0.0014435232,0.001500827,0.00036145034,0.000888919,0.1136959,0.87963927,0.00028212124,1
ISIC_0028085,0.0019609800074249506,0.0036949646,0.9014665,0.030925645,0.005207562,0.00053589634,0.0049132775,0.00196098,0.050814353,0.00048088096,0
ISIC_0034153,0.25600820779800415,0.0060984716,0.65240616,0.019408777,0.007799589,0.00013314468,0.0011483218,0.2560082,0.05690131,9.608099e-05,0
ISIC_0031160,0.6651760339736938,0.0018000936,0.0012392364,0.013230855,0.0010077531,0.0005245885,0.0012787135,0.66517603,0.31528205,0.0004607595,0
ISIC_0031474,0.12242444604635239,0.12766442,0.013367103,0.16326009,0.06671869,0.000648344,0.0034775855,0.122424446,0.5019722,0.00046709582,0
ISIC_0030851,0.03402786701917648,0.0018838368,0.0012540722,0.0037954515,0.0024648437,0.0019707293,0.009345511,0.034027867,0.94339,0.0018676742,0
ISIC_0033752,0.5360270738601685,0.01777249,0.0015324719,0.4289995,0.00036952566,8.518013e-05,0.00048595868,0.5360271,0.014661174,6.666448e-05,1
ISIC_0033865,0.002912983763962984,0.39555103,0.0010275071,0.5988328,8.064028e-05,6.590239e-05,0.00079073186,0.0029129838,0.000692751,4.5678767e-05,0
ISIC_0031872,0.008935755118727684,0.011423378,0.9534353,0.012486199,0.0059888214,4.7710477e-05,0.003621365,0.008935755,0.004023876,3.7550875e-05,0
ISIC_0034070,0.019801443442702293,0.028942384,0.18370794,0.5328117,0.010181095,0.0051726447,0.0051699504,0.019801443,0.21014114,0.0040717046,0
ISIC_0030845,0.41796016693115234,0.00078256376,0.00032802043,0.0062751183,0.003281314,0.00050326483,0.001194491,0.41796017,0.5692868,0.00038816925,0
ISIC_0033186,0.10671042650938034,0.024506034,0.0020874313,0.15511084,0.007243971,0.0063053146,0.019850405,0.10671043,0.6719081,0.0062775062,1
ISIC_0034262,0.8534083366394043,0.003019656,0.0015403909,0.08808383,0.0019106553,0.00020658511,0.00031748926,0.85340834,0.051345754,0.00016719913,1
ISIC_0032313,0.7662853598594666,0.0010439504,0.0063398317,0.00763924,0.001964647,0.00042969646,0.00096171245,0.76628536,0.21498476,0.00035075907,1
ISIC_0032221,0.03432343900203705,0.0006043493,0.0012830021,0.0023204505,0.0049439454,0.00088874355,0.0015323008,0.03432344,0.95341194,0.0006917918,0
ISIC_0024770,0.008578273467719555,0.0025081884,0.00094291026,0.9860792,0.00011441499,0.00015237163,0.0006002115,0.0085782735,0.00092244,0.0001019655,0
ISIC_0033299,0.9778972864151001,0.00069660967,0.00018006268,0.003882267,0.012638256,0.00010430137,0.0003901816,0.9778973,0.0041228374,8.8241046e-05,1
ISIC_0033583,0.013340638019144535,0.0034553404,0.00035473998,0.9798498,0.0009324049,7.927539e-05,0.00029697947,0.013340638,0.0015872151,0.00010365705,0
ISIC_0029674,0.005801362916827202,0.011549635,0.004641865,0.9731673,0.00018617474,5.401096e-05,0.00031356208,0.005801363,0.0042418535,4.4251243e-05,0
ISIC_0027419,0.4408591687679291,0.0027928585,0.0010278295,0.5529878,0.00018481794,6.313702e-05,0.00013193981,0.44085917,0.0018856924,6.678174e-05,0
ISIC_0033310,0.4176233410835266,0.0015993504,0.46328485,0.020239783,0.0022099207,0.000104189916,0.009806169,0.41762334,0.085063025,6.9381626e-05,1
ISIC_0029902,0.07873111963272095,0.018400546,0.0031742475,0.0251893,0.0030263788,0.0024634937,0.0043366468,0.07873112,0.8622323,0.0024459714,0
ISIC_0031127,0.1401156634092331,0.0026061204,0.0033735482,0.44253826,0.0015696655,0.0013728652,0.0026473792,0.14011566,0.4043799,0.0013965985,0
ISIC_0032244,0.8911446928977966,0.0010366691,0.0007136937,0.098761804,0.00054067094,0.00014882942,0.0006254394,0.8911447,0.006856065,0.00017212643,1
ISIC_0027948,0.03888697922229767,0.002374397,0.0016701346,0.13133782,0.0026023993,0.0028004125,0.0021513754,0.03888698,0.81565183,0.0025246004,0
ISIC_0029161,0.027153121307492256,0.018989762,0.0069765775,0.24704024,0.53548044,0.0010083482,0.02232244,0.027153121,0.14053443,0.0004947115,0
ISIC_0033833,0.04519977793097496,0.0021608854,0.0024342095,0.005958886,0.0013616963,0.0008526744,0.0071040825,0.045199778,0.934271,0.00065685296,0
ISIC_0033708,0.05989886075258255,0.05301284,0.07651047,0.7554295,0.0022914396,0.00029563744,0.012413123,0.05989886,0.039950605,0.0001975607,1
ISIC_0032376,0.01058789249509573,0.0010049486,0.33785915,0.006480868,0.0017476729,9.563405e-05,0.0740512,0.0105878925,0.56808597,8.668859e-05,0
ISIC_0033696,0.30943721532821655,0.0018786723,0.035361886,0.0125892535,0.04091139,0.0003344996,0.53176975,0.30943722,0.06741327,0.00030404178,1
ISIC_0034046,0.0750393494963646,0.005670832,0.0067107007,0.022440588,0.8355749,0.00039753562,0.0013204819,0.07503935,0.052538097,0.0003074638,1
ISIC_0034185,0.0038540945388376713,0.0011955154,0.00019518638,0.0020652236,0.0011755303,0.0009264689,0.0016537858,0.0038540945,0.9880885,0.0008457642,0
ISIC_0025600,0.00019227569282520562,0.0003599264,0.9979856,0.0006319151,0.0001824419,9.718873e-06,0.00013850388,0.0001922757,0.0004910684,8.590065e-06,0
ISIC_0030574,0.015123307704925537,0.0007955742,0.8888169,0.0019135964,0.0027020564,0.0003285919,0.0064315675,0.015123308,0.0835706,0.00031782064,0
ISIC_0033925,0.5315039157867432,0.0043500243,0.012768975,0.37280688,0.0057680043,0.0012429268,0.017432997,0.5315039,0.052709904,0.0014163918,1
ISIC_0033509,0.10788506269454956,0.08045815,0.0029007765,0.75847566,0.0072923563,0.0010341528,0.0022660661,0.10788506,0.038303584,0.0013842201,0
