name,pred,d7ft_0,d7ft_1,d7ft_2,d7ft_3,d7ft_4,d7ft_5,d7ft_6,d7ft_7,d7ft_8,true
derm-0001,0.6179457506305086,0.0016281968,0.338224,0.045308646,0.0014278926,0.002574941,0.0008489188,0.18857245,0.29076135,0.13065365,0
derm-0002,0.4211583220851609,0.00023819476,0.49925643,0.1489786,5.4521497e-05,0.0002963655,4.2748885e-05,0.08543564,0.23518252,0.030515006,0
derm-0003,0.3780121084075888,2.2688619e-05,0.13616984,0.49796936,0.00030781794,6.7844885e-05,3.724232e-05,0.06997286,0.25828668,0.03716576,0
derm-0004,0.9847980798440081,1.1160121e-05,0.034912545,0.019672342,2.038104e-05,3.2260108e-05,0.00011356507,0.9281312,0.016119035,0.0009875995,0
derm-0005,0.48306727488159606,0.007597861,0.07049373,0.060074765,0.0018464953,0.0005626379,0.08426281,0.111311294,0.5914163,0.07243418,0
derm-0006,0.18850909618306896,0.15832223,0.0056978124,0.04133482,0.00012073927,0.00025943352,0.041988622,0.020766135,0.5952925,0.1362177,0
derm-0007,0.2738920574143302,1.13042e-05,0.026711164,0.07640916,0.030469572,8.143047e-05,0.51394194,0.039606392,0.22551373,0.08725528,0
derm-0008,0.3657662445460259,8.404832e-05,0.011479624,0.7534902,7.772444e-05,7.331658e-05,0.0003030026,0.06591975,0.122379415,0.04619275,0
derm-0009,0.08994707735882218,0.00022091034,0.8329836,0.037236463,0.00027088425,6.1579995e-05,5.3400163e-05,0.005288937,0.031104982,0.09277917,0
derm-0010,0.8780122145097228,0.00016145057,0.37822023,0.05480389,0.00016480389,0.00017017711,4.588268e-05,0.532883,0.008644876,0.02490568,0
derm-0011,0.38200364721194413,0.000111246365,0.23078497,0.37781116,0.00028797166,0.00013884803,0.00033173346,0.07132469,0.1790247,0.14018466,0
derm-0012,0.43835829935456244,6.0898445e-05,0.8932926,0.004971877,6.118579e-05,0.00045568417,6.498943e-05,0.09215669,0.0021413106,0.006794695,0
derm-0013,0.8167860593544768,0.0048063765,0.28278276,0.013440301,0.0032262427,0.006551376,0.0028654977,0.40809628,0.25221202,0.02601917,0
derm-0014,0.742734320694828,0.039127015,0.03443922,0.5912799,1.7884577e-05,0.015156877,1.595381e-05,0.30319193,0.011688697,0.0050824895,0
derm-0015,0.0972168419752852,2.7627034e-06,0.983668,0.0079323985,9.221725e-06,0.000117097705,2.7090504e-05,0.0061742524,0.002021033,4.8183036e-05,0
derm-0016,0.24263200459111556,0.0087674195,0.21660773,0.7186795,0.00035362985,0.0016130481,0.000111943344,0.032126334,0.005871166,0.015869293,0
derm-0017,0.6186765283507429,0.00010774661,0.34802002,0.014855725,0.0008120462,0.00014466779,0.0105256885,0.18909486,0.4148283,0.021610929,0
derm-0018,0.9356172662331889,5.622526e-05,0.13360791,0.0040382887,0.0015090224,0.0008301913,0.0004412587,0.7057281,0.024115777,0.1296732,0
derm-0019,0.8609651897978842,0.0002221423,0.12599222,0.15167433,0.00074600044,0.010014885,6.808911e-05,0.49342886,0.14059679,0.0772567,0
derm-0020,0.6129198951765867,2.2917111e-05,0.5114649,0.26925492,0.0006046186,0.00033598405,0.00021718038,0.18501657,0.029330848,0.0037520619,0
derm-0021,0.17271378576144494,1.3856809e-05,0.36036968,0.11746295,0.00033115095,1.1080922e-05,1.1443434e-05,0.017821569,0.4066883,0.09728997,0
derm-0022,0.32476810568369735,0.00021746346,0.062127978,0.22302781,0.00017424188,0.00027077203,0.00014528283,0.053327646,0.3479815,0.3127273,0
derm-0023,0.0867943256090717,6.3354266e-05,0.91386026,0.02661599,7.23763e-05,0.00010096953,0.00014291218,0.004920076,0.03909732,0.015126771,0
