name,pred,d7ft_0,d7ft_1,d7ft_2,d7ft_3,d7ft_4,d7ft_5,d7ft_6,d7ft_7,d7ft_8,true
IMD003,0.18870572714965542,7.300438e-05,0.00021003124,0.0076836594,0.00027977905,7.800704e-05,0.00032628147,0.020803845,0.9424456,0.02809985,0
IMD009,0.064200657656621,1.0528935e-05,0.0044685253,0.010472953,7.606177e-05,1.0267503e-05,1.298448e-05,0.0025722578,0.93868536,0.043691102,0
IMD016,0.35938615922401734,1.5489986e-06,1.777208e-06,0.00012464786,1.3028234e-05,1.2430573e-05,6.8110357e-06,0.06386311,0.90967953,0.026297241,0
IMD022,0.20630375901969467,0.01459975,0.00025124353,0.03461308,6.094835e-05,3.0830295e-06,8.551006e-06,0.024283515,0.88996905,0.03621077,0
IMD024,0.1341095049261454,0.00013098346,0.00070194236,0.07452057,9.5236246e-05,5.601028e-06,2.8808043e-05,0.011342172,0.86842376,0.04475101,0
IMD025,0.33938712285801587,9.038305e-07,1.4542086e-06,0.00012090371,0.000120705416,1.7056018e-06,5.5364367e-06,0.05765143,0.9316403,0.010456836,0
IMD035,0.2846111242273906,0.17140368,0.019314947,0.02056795,0.0016206311,0.0019399613,0.00022909712,0.04233336,0.6262365,0.11635397,0
IMD038,0.5781138146872103,1.1669797e-05,3.639962e-05,0.0012670436,0.00012730031,1.4104082e-05,1.0159759e-05,0.16204602,0.80047035,0.036016982,0
IMD042,0.27177143747598165,1.48848985e-05,7.67511e-06,0.051839586,2.0242782e-05,6.3984845e-07,7.049256e-07,0.03907688,0.9064774,0.0025619508,0
IMD044,0.2282382912404022,0.0004058821,2.6069998e-05,0.15897039,1.0158071e-06,2.057571e-07,1.450995e-06,0.028911645,0.80814534,0.0035380372,0
IMD045,0.4248373672576649,4.1088435e-05,1.0656945e-05,0.0075710244,5.4632514e-05,1.8133569e-05,2.847616e-05,0.08684511,0.8117675,0.09366341,0
IMD050,0.2331368830119927,0.00013672074,6.5743094e-05,0.0034789436,1.3236361e-05,2.4270869e-06,2.1083051e-05,0.029989753,0.9483771,0.017915126,0
IMD092,0.5397553565795806,0.00011370968,0.00927782,0.034279928,0.00046711206,0.00046935436,6.746364e-05,0.13968816,0.80626106,0.009375422,0
IMD101,0.42391209785263567,0.00018589597,1.266841e-06,0.0065876953,1.5061077e-05,4.4017606e-06,6.5218883e-06,0.086489215,0.3535248,0.55318516,0
IMD103,0.7560982724074068,3.6356385e-05,1.651692e-05,0.001041406,7.479777e-05,2.489899e-05,1.9835423e-05,0.31944737,0.60888064,0.070458256,0
IMD112,0.3680218528309715,0.000836931,0.0009017414,0.04024847,4.8294263e-05,0.0015968264,1.9962943e-05,0.06665578,0.7961554,0.093536735,0
IMD118,0.3027117163379991,1.2844857e-06,9.0770783e-07,0.0013334003,5.0785842e-05,7.7318873e-07,4.469123e-06,0.04713359,0.93328184,0.018193014,0
IMD125,0.5255576540817681,0.0010200501,7.578735e-05,0.012330408,0.00013016825,5.4361033e-05,3.9471324e-05,0.13209853,0.80423206,0.050019223,0
IMD132,0.5521800912082473,1.18173e-06,1.0332224e-05,0.0008890627,7.5876116e-05,1.3579993e-05,3.1211763e-05,0.14662206,0.8241336,0.028223095,0
IMD134,0.3460405237771371,1.485458e-05,2.037025e-05,0.0005505745,3.9729057e-05,2.9432742e-05,3.277491e-05,0.059679158,0.87830335,0.06132989,0
IMD135,0.10934128524157909,6.5713135e-07,8.198518e-05,3.6345486e-05,1.5851861e-05,3.664718e-06,4.4124263e-05,0.007752931,0.78883547,0.2032289,0
IMD144,0.14113331561500717,2.2721317e-06,1.6650389e-05,0.0010666396,8.183761e-05,1.8766561e-06,9.751017e-06,0.012443307,0.96319383,0.023184069,0
IMD146,0.3929259484645746,0.00031771263,2.2254582e-05,0.012365138,0.012829985,1.3259242e-05,2.1357078e-05,0.07510324,0.88927346,0.010053456,0
IMD147,0.4915214131911095,1.6961787e-05,5.1751525e-05,0.0077205296,8.230798e-05,3.0792475e-05,1.2629973e-05,0.11523225,0.8602542,0.016598536,0
IMD150,0.22043306220607906,2.7704843e-06,0.0001193341,0.0022181373,2.8385772e-05,0.00012667592,0.00030993033,0.027227545,0.63629264,0.33367464,0
IMD152,0.18637150048285386,1.6743263e-06,0.0007366839,0.19435932,0.00027445593,1.9418753e-06,8.2729835e-05,0.020357855,0.65197587,0.13220948,0
IMD156,0.5213206460201842,0.00010080568,0.002456211,0.04006173,0.0008748347,0.0019357743,3.7222413e-05,0.12989946,0.7986711,0.025962843,0
IMD159,0.8267076903298662,2.8787123e-05,3.3493452e-06,0.0014407397,6.155511e-05,0.00013670269,6.435007e-06,0.42543632,0.5459041,0.026982052,0
IMD161,0.6288043399473636,2.620456e-06,6.8153518e-06,0.0013319694,0.0010245669,0.00022529419,1.0193909e-05,0.19647925,0.75971913,0.041200265,0
IMD162,0.6119155734814684,0.026530877,0.0039474997,0.17340684,8.960426e-05,0.000120389974,2.5284533e-05,0.18431364,0.4423999,0.16916601,0
IMD175,0.16865697171955757,1.7188984e-05,3.8178914e-05,0.00044467128,3.494063e-05,1.8980018e-05,1.8919576e-05,0.0170924,0.9070528,0.07528182,0
IMD177,0.5698305821339956,0.0017142071,1.5280553e-05,0.0023757655,0.00015120507,4.457395e-06,1.284199e-05,0.15697326,0.7561732,0.08257992,0
IMD182,0.4698397991361318,1.2967365e-06,5.9103644e-07,2.8282515e-05,1.2577026e-05,1.8850084e-06,6.087602e-06,0.105375074,0.85493845,0.0396357,0
IMD198,0.4702706871228576,0.000105933555,0.0003897682,0.010194889,0.00012864904,0.000392148,8.038633e-05,0.105564736,0.72048056,0.16266307,0
IMD200,0.13525251682349132,7.094066e-06,0.0003141826,0.0015530892,6.805846e-05,2.2432896e-05,5.1353196e-05,0.011518935,0.9272894,0.059175428,0
IMD010,0.10566577059558323,0.00012752433,0.21941642,0.1642694,0.00081787206,0.0009700656,8.351016e-05,0.0072613335,0.46710238,0.1399514,0
IMD017,0.763810158596084,1.7936203e-05,5.084905e-07,4.3017288e-05,0.00010182134,1.4141573e-05,2.8132403e-05,0.32929754,0.65205216,0.018444773,0
IMD020,0.12479214919696813,3.014757e-06,0.00056851894,0.022742856,3.9896153e-05,7.1610934e-06,1.9555568e-05,0.009937133,0.95013636,0.016545456,0
IMD039,0.23117607866495815,1.4212434e-05,0.00012798823,0.0009769528,0.0038346087,1.2918979e-05,3.470902e-05,0.029556243,0.916269,0.049173314,0
IMD041,0.10811058211624022,8.539671e-05,2.8078914e-06,0.005763434,4.059951e-06,5.2174204e-07,9.438999e-07,0.0075870915,0.98573416,0.00082152087,0
IMD105,0.26943960717176274,1.5153796e-05,0.00014540282,0.002454788,0.0001069064,9.394071e-06,2.7409133e-05,0.038498398,0.8780142,0.08072831,0
IMD107,0.5312473773761571,3.927243e-05,1.7139593e-05,0.0006465721,4.427729e-05,7.2146206e-05,3.9288734e-05,0.13509864,0.753895,0.11014769,0
IMD108,0.15501477305610772,1.1856318e-05,6.5491404e-06,0.00055738405,1.4455897e-05,9.3637445e-06,1.1233133e-05,0.0147225205,0.9124045,0.07226224,0
IMD133,0.2777702899118813,0.00032523635,0.00018298165,0.0097023845,0.00014002595,2.7174565e-05,0.00013328406,0.040583264,0.8015976,0.14730813,0
IMD142,0.5086495995345554,9.044274e-07,2.4681146e-06,3.8621576e-05,2.7112925e-05,1.0979238e-05,6.7862734e-06,0.12349583,0.8484743,0.02794292,0
IMD143,0.10980108440950705,2.3846811e-05,0.0010883169,0.006655603,0.00024154627,0.0027430241,9.538095e-05,0.007815206,0.94741297,0.03392418,0
IMD160,0.7346382486046716,4.8634565e-06,1.1260767e-06,8.1189944e-05,5.4979326e-05,1.3995399e-05,7.5716375e-06,0.29381415,0.6693128,0.036709514,0
IMD173,0.29575330242827774,3.6723625e-06,8.067307e-07,9.2258255e-05,1.2806349e-05,5.0492085e-06,8.217516e-06,0.045258738,0.9280968,0.026521653,0
IMD176,0.6799569516162038,8.352454e-05,0.0008180947,0.0185361,3.7006143e-05,0.00012701168,1.4981958e-05,0.23838143,0.65152293,0.09047895,0
IMD196,0.15547785417508556,0.02670811,6.311141e-06,0.035270773,1.8635006e-05,1.8854591e-06,5.6342938e-06,0.014800872,0.68494886,0.23823904,0
IMD197,0.4927101551736743,5.1377606e-06,3.631559e-05,0.01581266,3.1575466e-05,6.325761e-06,2.92833e-05,0.11579176,0.6948797,0.17340729,0
IMD199,0.07511929405070526,8.533569e-07,0.00013272135,0.00029539972,2.249201e-05,6.6342095e-06,0.0001762706,0.003638833,0.94241333,0.053313464,0
IMD203,0.41903501782402147,3.6739316e-06,2.5666411e-06,0.00017737484,2.9287907e-05,0.00011878301,3.5050198e-05,0.084629,0.70370466,0.21129966,0
IMD204,0.44006063728809935,3.1338703e-05,0.00028573713,0.005212754,0.00026866837,0.00034922623,6.783002e-05,0.09284044,0.7863396,0.114604525,0
IMD206,0.3033519581395278,1.1086207e-05,0.0012274592,0.049578544,0.00029146843,3.554277e-05,1.1632588e-05,0.047307972,0.87895966,0.022576712,0
IMD207,0.2291528664493181,1.2353671e-05,2.0008312e-05,0.0022014326,2.7995988e-05,3.123923e-05,2.4412257e-06,0.029111687,0.85630447,0.11228841,0
IMD208,0.4549397748376329,9.9414516e-05,1.9039624e-05,0.0062552565,1.912529e-05,3.2859283e-05,1.6033635e-05,0.09896486,0.8759844,0.018609002,0
IMD364,0.18017563643735718,0.0011821195,0.00011479476,0.006996382,0.00014249845,2.4449241e-06,4.022092e-05,0.019191738,0.7878003,0.18452953,0
IMD365,0.5276073454362799,0.00019686355,0.00036478392,0.03513009,0.0004015531,0.0007147621,3.6251324e-05,0.13317303,0.80832523,0.02165755,0
IMD367,0.4048421508830618,0.00044719252,2.939581e-05,0.0014993091,5.781238e-05,2.7751743e-05,6.766811e-06,0.079362296,0.7612455,0.15732405,0
