name,pred,d7ft_0,d7ft_1,d7ft_2,d7ft_3,d7ft_4,d7ft_5,d7ft_6,d7ft_7,d7ft_8,true
ISIC_0028498,0.2071304935675475,0.0005520847,0.22655801,0.44744587,0.00054432306,0.0005356323,0.010608285,0.055265363,0.13536967,0.12312066,0
ISIC_0027859,0.07043302434524144,0.0003337233,0.018617896,0.64195204,0.00038013287,0.00037294053,0.0066932007,0.0075324723,0.010808949,0.31330866,0
ISIC_0030591,0.3240626528401684,0.00084332377,0.023703488,0.3501185,0.0008472184,0.0007868724,0.0076379525,0.118186586,0.14585087,0.35202524,0
ISIC_0031366,0.13449230151376645,0.0023603276,0.0025464315,0.017466052,0.0021516848,0.002089064,0.0054996423,0.02609022,0.9366102,0.0051864744,0
ISIC_0025396,0.28580438387950957,0.0031329014,0.012558845,0.004470044,0.0029464506,0.0030027158,0.0038427047,0.095419444,0.86778224,0.0068445983,0
ISIC_0031922,0.03005001290310208,7.437266e-05,0.012844692,0.18445066,8.122835e-05,7.310305e-05,0.0008361647,0.0008594713,0.009357513,0.7914227,0
ISIC_0031377,0.1221513612763433,0.0013964673,0.022481844,0.5271855,0.0013741868,0.001551,0.0070485286,0.021935612,0.3869327,0.030094221,1
ISIC_0026103,0.45794218632439154,0.0028879892,0.009227502,0.09559188,0.0028248727,0.0027323575,0.0054950635,0.21625523,0.6513064,0.013678794,0
ISIC_0027190,0.18872716282383348,0.0010415342,0.002555801,0.17901546,0.0010831581,0.0011970686,0.0027826389,0.04714283,0.7431794,0.022002172,1
ISIC_0032126,0.33329143912140813,0.000761613,0.0052702194,0.52428424,0.00069333514,0.0007535405,0.002974259,0.12400814,0.2108428,0.13041198,0
ISIC_0031394,0.27232949782124594,0.0008448583,0.10901912,0.28219596,0.0008852154,0.0008413211,0.0044593024,0.087913595,0.26207182,0.25176892,0
ISIC_0028878,0.1726299574762757,0.00082278467,0.014668907,0.35751238,0.0007610641,0.0008468059,0.001464039,0.040437527,0.4016222,0.1818643,1
ISIC_0031306,0.05442352708778025,0.0015104226,0.0020905808,0.004557151,0.0013626736,0.0013875476,0.008234585,0.00427238,0.9723302,0.0042543644,0
ISIC_0030817,0.7048010585181835,0.001956912,0.0031897891,0.016438158,0.0019761703,0.0019673286,0.0033246276,0.49337837,0.47265854,0.005110131,0
ISIC_0025651,0.3983944961012617,0.0002328909,0.10227221,0.11837124,0.00024288974,0.000219442,0.01346527,0.16890028,0.063435785,0.53286,1
ISIC_0031698,0.16542192956250218,0.0005048238,0.5069566,0.09200002,0.00042363,0.00047735436,0.10715713,0.037557688,0.14057712,0.11434563,0
ISIC_0028964,0.13081467563383664,0.00093748205,0.29013976,0.3986245,0.00090077746,0.00088550214,0.0081855925,0.024826093,0.07589766,0.19960266,0
ISIC_0032186,0.20611527717565672,0.00019120246,0.089186475,0.7503806,0.00019991478,0.00019485694,0.0017757466,0.0548047,0.035857357,0.06740925,0
ISIC_0025703,0.7411461405218276,0.0007782892,0.011621713,0.26105183,0.0008903635,0.0007408701,0.008027329,0.5476887,0.12833875,0.040862184,0
ISIC_0028354,0.3718713751316682,0.00010982163,0.029747367,0.793782,0.00012792471,9.391024e-05,0.007723772,0.14978342,0.01606325,0.0025683758,0
ISIC_0032372,0.8361329418108702,0.0005851748,0.25015482,0.020441636,0.0006515033,0.0006521342,0.004276197,0.7087137,0.0079073245,0.0066176294,1
ISIC_0027486,0.1161453971247326,0.001674556,0.0031772521,0.016685424,0.0017239538,0.0017569311,0.0023752388,0.020005556,0.9495514,0.0030495329,0
ISIC_0028548,0.3591816026058729,0.001000304,0.018278355,0.50171196,0.0009226428,0.00092377636,0.0030862482,0.14104484,0.24820836,0.08482345,1
ISIC_0031915,0.35395841041886694,0.0017222877,0.012078384,0.23243411,0.0017021071,0.0018261273,0.00735902,0.13752292,0.41645136,0.18890373,1
ISIC_0031519,0.15664163993242464,0.0003927363,0.012165063,0.30091563,0.00039367317,0.00037078973,0.002043765,0.03415391,0.069375634,0.58018863,0
ISIC_0031311,0.07485199377447511,0.0019945959,0.0035919156,0.03293411,0.0019889162,0.0020309945,0.004091689,0.008547077,0.9285324,0.016288351,0
ISIC_0031007,0.05373617948561114,0.0011905882,0.90441746,0.0057616285,0.00084371906,0.0008939895,0.0050795316,0.00414833,0.0011097487,0.07655499,0
ISIC_0031353,0.22228151298657955,0.00069560803,0.14409058,0.6079938,0.0006268199,0.00066460896,0.00961285,0.06231403,0.10842531,0.06557624,0
