name,pred,d7ft_0,d7ft_1,d7ft_2,d7ft_3,d7ft_4,d7ft_5,d7ft_6,d7ft_7,d7ft_8,true
derm-0001,0.14948435258989526,0.36722705,0.5241479,0.04631352,0.019184824,0.0019360351,0.0052410318,0.011695438,0.022311142,0.0019431332,0
derm-0002,0.2843017638774774,0.017249169,0.50892776,0.08951074,0.0074365586,0.00064277946,0.00530349,0.04908386,0.32117146,0.00067418546,0
derm-0003,0.31726258926394446,0.056235727,0.12003668,0.51144445,0.010704072,0.0011072904,0.003944734,0.062256265,0.2331162,0.0011545735,0
derm-0004,0.25992068608487934,0.0033621327,0.005320681,0.8802973,0.003437,0.00042521907,0.038194757,0.040418573,0.028127868,0.00041661967,0
derm-0005,0.12445167745799371,0.0031099764,0.04615081,0.058874752,0.0077712685,0.0039046307,0.5073154,0.0074920948,0.3619187,0.0034624585,0
derm-0006,0.13338040294201836,0.007331072,0.072254784,0.025640627,0.020624442,0.004020068,0.18601613,0.008892603,0.6711099,0.0041104513,0
derm-0007,0.15428987517601775,0.10819074,0.63836193,0.10691594,0.082565844,0.0017849436,0.016158443,0.012600111,0.031676155,0.0017459281,0
derm-0008,0.3268140867239569,0.006194738,0.004206023,0.70234984,0.0031524438,0.00031026354,0.05728909,0.066401534,0.15975082,0.0003451934,0
derm-0009,0.07760546820011416,0.14236216,0.73236084,0.05658828,0.04037572,0.001083488,0.004836326,0.0020217428,0.019409541,0.0009618757,0
derm-0010,0.2834619113406106,0.25661635,0.14952634,0.3090551,0.02516676,0.00052786054,0.0032730685,0.04877046,0.20657168,0.00049242115,0
derm-0011,0.19988972406672945,0.01360027,0.09472068,0.15591328,0.00853713,0.0006837968,0.09938904,0.022733053,0.60367143,0.0007513613,0
derm-0012,0.33279474636887507,0.03327862,0.013408369,0.80633354,0.009836695,0.00033402807,0.00368821,0.06907492,0.06372943,0.00031631198,0
derm-0013,0.2125447518766448,0.12283366,0.0762047,0.15315379,0.16253081,0.0010022727,0.07060714,0.026043806,0.38661468,0.0010091974,0
derm-0014,0.15615436127425927,0.062439945,0.025661899,0.83940756,0.0064335363,0.00093418563,0.0043136925,0.012959517,0.046893887,0.00095584785,0
derm-0015,0.12525888172155042,0.004642032,0.4720591,0.25587627,0.0072000525,0.0012687322,0.04683661,0.0076141567,0.20332436,0.0011786892,0
derm-0016,0.6462448625120503,0.21734786,0.22686759,0.09622922,0.010444124,0.0010777274,0.004158634,0.32459688,0.11827431,0.0010036178,0
derm-0017,0.16544591718939342,0.0014846002,0.006696578,0.082884684,0.005337531,0.0018435804,0.5440786,0.014820464,0.341058,0.0017959897,0
derm-0018,0.3889937405090093,0.28557473,0.074876934,0.38329312,0.040029876,0.00067683373,0.010031474,0.09730112,0.10756141,0.00065449293,0
derm-0019,0.6439152371555482,0.024983924,0.048108973,0.34529933,0.0070468844,0.0012684626,0.029048512,0.32156548,0.22132783,0.0013505486,0
derm-0020,0.4132376824242809,0.21454597,0.50797683,0.10775453,0.017397653,0.0014011195,0.0051747425,0.11134441,0.033062138,0.0013427112,0
derm-0021,0.35224319267558823,0.021731546,0.37443766,0.15611228,0.0041535622,0.00055921625,0.0018027816,0.0781945,0.36245784,0.00055067794,0
derm-0022,0.43994346594006345,0.008694488,0.008463634,0.075655915,0.014833211,0.0045750993,0.12334364,0.12824725,0.63206697,0.0041197655,0
derm-0023,0.16144819783762024,0.04156546,0.69667953,0.17156349,0.014479728,0.0027652883,0.019851247,0.014005534,0.036242735,0.0028469835,0
derm-0024,0.079749594618328,0.38322148,0.49265286,0.0975491,0.019381493,0.00090038136,0.0012821519,0.0021998775,0.0018943293,0.0009183652,0
derm-0025,0.5217861580966054,0.07900885,0.0050893826,0.71283704,0.0019406248,0.00073230354,0.0019311093,0.19069259,0.006996481,0.00077171845,0
derm-0026,0.1434241258505034,0.0720862,0.53178835,0.36008677,0.0049201683,0.0011244215,0.004037867,0.01059918,0.014174581,0.0011823834,0
derm-0027,0.19438872780889188,0.5540798,0.29651952,0.04710125,0.07116591,0.00090114557,0.0032995201,0.021361893,0.0045870147,0.0009840511,0
derm-0028,0.11021983879367107,0.22111662,0.6907571,0.05329431,0.022052454,0.0012886104,0.0023733068,0.0054906593,0.0022089793,0.0014179867,0
derm-0029,0.36104366100906227,0.01684331,0.5907499,0.22014546,0.008642095,0.0021700987,0.032353934,0.08254135,0.04426696,0.0022868766,0
derm-0030,0.30198286931525,0.1679439,0.2679696,0.46242929,0.008814663,0.0031393715,0.010804739,0.05593553,0.019821268,0.0031415913,0
derm-0031,0.19924929169597305,0.05733582,0.74900436,0.090055786,0.024674466,0.0014002942,0.0072157816,0.022571309,0.046280473,0.0014617367,0
derm-0032,0.3320024156758588,0.25366756,0.395168,0.15456255,0.043908607,0.002334425,0.019313766,0.06871726,0.06036819,0.0019596124,0
derm-0033,0.08769316253439746,0.084454775,0.2918483,0.6051516,0.008777129,0.0005527269,0.00145866,0.0029225843,0.0042574913,0.0005767566,0
derm-0034,0.33561496825148185,0.033292353,0.20714882,0.65386504,0.0050452794,0.0011344015,0.005860768,0.07035667,0.022059558,0.0012370356,0
derm-0035,0.2761693569268241,0.009968089,0.67649174,0.17016865,0.0053143594,0.0007531787,0.0077456967,0.04609434,0.082674816,0.00078899664,0
derm-0036,0.6365412288484478,0.13762753,0.023148617,0.47950563,0.005860172,0.0007286203,0.0051520593,0.31211683,0.03514683,0.00071363425,0
derm-0037,0.07694842150672596,0.029316837,0.94865686,0.012565059,0.004177502,0.00058746536,0.0010985588,0.001968615,0.0010254587,0.00060356746,0
derm-0038,0.09670328593108439,0.015258481,0.9643435,0.008546437,0.002705461,0.0007970929,0.0024954956,0.0038593628,0.0011884465,0.0008057523,0
derm-0039,0.19395596811430488,0.08770445,0.7248927,0.13470633,0.013179675,0.0015307104,0.010581757,0.021255765,0.004525072,0.001623663,0
derm-0040,0.1484429182528101,0.12403784,0.6932815,0.1517959,0.0067392155,0.0012871061,0.0033761505,0.011503502,0.006752142,0.001226593,0
derm-0041,0.13410160762768183,0.005314274,0.6410691,0.27921095,0.008536583,0.0009181589,0.014645034,0.0090105375,0.040308252,0.0009871497,0
derm-0042,0.10341080331037647,0.045656256,0.79905903,0.10115369,0.020486455,0.0010807355,0.0042053857,0.0046354965,0.022618935,0.001104077,0
