name,pred,d7ft_0,d7ft_1,d7ft_2,d7ft_3,d7ft_4,d7ft_5,d7ft_6,d7ft_7,d7ft_8,true
ISIC_0034246,0.5868124,0.0031729022,0.00028471908,0.013590852,0.0056053526,0.0007658539,0.0032990207,0.5868124,0.38574165,0.0007272863,1
ISIC_0034162,0.3552847,0.02359183,0.0017808352,0.05482432,0.0058959634,0.0008857301,0.0020284024,0.3552847,0.55490345,0.0008047749,1
ISIC_0033879,0.0665862,0.0009866105,0.00083927624,0.07727235,0.0074381377,0.00088018394,0.0038613842,0.0665862,0.8413256,0.0008103046,0
ISIC_0029779,0.02274614,0.12382462,0.02658532,0.32990056,0.017485658,0.0005139179,0.0033098795,0.02274614,0.47505745,0.0005764823,0
ISIC_0030085,0.051661223,0.008679081,0.0014679403,0.8945565,0.0058663725,0.0005388875,0.0017751226,0.051661223,0.034941737,0.00051313045,0
ISIC_0029752,0.020024825,0.0013388273,0.0018965522,0.0042518135,0.005028439,0.00055878464,0.002545721,0.020024825,0.9637663,0.00058883324,0
ISIC_0034048,0.2997361,0.03426384,0.0009803314,0.22369674,0.005934681,0.0005445885,0.0011962462,0.2997361,0.4331029,0.00054457976,1
ISIC_0025152,0.014030653,0.0016102748,0.0047861203,0.1308984,0.0074171238,0.0010935582,0.1097412,0.014030653,0.72937125,0.0010514351,0
ISIC_0033902,0.11070736,0.021174368,0.003771076,0.050712556,0.012466923,0.0016624652,0.16028933,0.11070736,0.6376223,0.0015937074,1
ISIC_0033546,0.20302229,0.0028559107,0.00016452791,0.0050994568,0.015192831,0.00023981024,0.002075138,0.20302229,0.77114075,0.00020935736,1
ISIC_0026391,0.20691107,0.007341351,0.0013855727,0.12468942,0.0031877798,0.00063950423,0.0020378353,0.20691107,0.6531462,0.00066120987,0
ISIC_0027822,0.004021448,0.042689454,0.0010454074,0.936865,0.001957489,0.00013764057,0.0003555482,0.004021448,0.01279237,0.00013581639,1
ISIC_0031953,0.18960498,0.17092673,0.008014253,0.4645605,0.007675373,0.0009433388,0.0046933307,0.18960498,0.15257084,0.0010106928,1
ISIC_0033871,0.07033353,0.0035634101,0.00081893394,0.015161174,0.004531868,0.00070885284,0.002851935,0.07033353,0.9012575,0.00077286555,1
ISIC_0028085,0.0053057536,0.11064309,0.17664455,0.5336984,0.07256964,0.0013794721,0.010406314,0.0053057536,0.08791395,0.0014388816,0
ISIC_0034153,0.20889075,0.05624031,0.61939615,0.044548836,0.0047291457,0.0012775355,0.003393247,0.20889075,0.060246486,0.0012775275,0
ISIC_0031160,0.5742888,0.0023476614,0.00069702184,0.05841455,0.0036202536,0.0006207851,0.00965619,0.5742888,0.3496745,0.00068015576,0
ISIC_0031474,0.05539293,0.42276105,0.026394147,0.13670078,0.24727444,0.001460478,0.038230043,0.05539293,0.070521615,0.0012644534,0
ISIC_0030851,0.10557564,0.001749298,0.0016832389,0.029059192,0.0077419593,0.00069489575,0.0028997099,0.10557564,0.8499374,0.00065863103,0
ISIC_0033752,0.06923655,0.32783443,0.0060695834,0.5595824,0.004561506,0.0003587968,0.00070771406,0.06923655,0.03129555,0.00035355348,1
ISIC_0033865,0.031755473,0.04317552,0.0009292755,0.8933415,0.0049845586,0.00016497262,0.00088461844,0.031755473,0.024589358,0.00017485257,0
ISIC_0031872,0.014681536,0.19442742,0.3392409,0.32199588,0.013225197,0.0019865471,0.006519401,0.014681536,0.10580566,0.0021174494,0
ISIC_0034070,0.0039361482,0.0059976666,0.0036916502,0.9701705,0.0010687928,0.00017251277,0.0006658535,0.0039361482,0.014111288,0.00018562136,0
ISIC_0030845,0.40326148,0.0034044192,0.0005439429,0.08303672,0.006774742,0.00087705284,0.02305798,0.40326148,0.47809854,0.0009451381,0
ISIC_0033186,0.31122395,0.0028895258,0.00035306715,0.113894895,0.005409518,0.0011088237,0.016098937,0.31122395,0.54791373,0.0011075614,1
ISIC_0034262,0.07180555,0.093289316,0.0044147535,0.6919375,0.005965773,0.0008501207,0.0019269952,0.07180555,0.12894252,0.00086748786,1
ISIC_0032313,0.2751689,0.010646937,0.0034705766,0.6812368,0.005371657,0.0004724022,0.0016836114,0.2751689,0.02143286,0.00051623187,1
ISIC_0032221,0.023651903,0.0006722188,0.002315611,0.012537897,0.0020298725,0.00018006712,0.0010008634,0.023651903,0.9574254,0.00018614871,0
ISIC_0024770,0.1955139,0.03291006,0.014378818,0.59297705,0.013309823,0.0018773841,0.003135958,0.1955139,0.14391719,0.0019798249,0
ISIC_0033299,0.33271796,0.0028637992,0.0006542402,0.04075928,0.015843717,0.0003240116,0.11233304,0.33271796,0.49420014,0.00030386864,1
ISIC_0033583,0.013163613,0.0033627057,0.001000856,0.9382495,0.0099871345,8.5370026e-05,0.00044742582,0.013163613,0.033618655,8.48665e-05,0
ISIC_0029674,0.12797272,0.111914836,0.013665921,0.49858284,0.009537394,0.0012827358,0.002551967,0.12797272,0.23315544,0.0013362421,0
ISIC_0027419,0.0799501,0.22656322,0.0036149346,0.680716,0.002368202,0.00032713366,0.00067462673,0.0799501,0.005442983,0.00034288235,0
ISIC_0033310,0.16662769,0.052845705,0.29054543,0.052958485,0.0148148555,0.0016164733,0.061507266,0.16662769,0.35765985,0.0014241923,1
ISIC_0029902,0.08044543,0.012422266,0.006057949,0.05172357,0.021382479,0.000677564,0.0024712158,0.08044543,0.8241342,0.0006853223,0
ISIC_0031127,0.24559127,0.0033970252,0.0014970081,0.58575267,0.0056434716,0.0009281627,0.0032200539,0.24559127,0.15297583,0.0009944818,0
ISIC_0032244,0.04840687,0.0028961382,0.000115858384,0.940018,0.00069381035,0.00015163918,0.00054212514,0.04840687,0.007010098,0.00016544155,1
ISIC_0027948,0.50529766,0.0030256547,0.0016742254,0.04468722,0.005155753,0.0024496238,0.0038710118,0.50529766,0.4318377,0.0020011442,0
ISIC_0029161,0.12828618,0.07100161,0.019688634,0.35590157,0.06023357,0.0006452729,0.13579676,0.12828618,0.22777899,0.0006674893,0
