name,pred,d7ft_0,d7ft_1,d7ft_2,d7ft_3,d7ft_4,d7ft_5,d7ft_6,d7ft_7,d7ft_8,true
ISIC_0028498,0.2554455,0.022167647,0.012562111,0.41359168,0.0043591834,0.0021522467,0.0042040045,0.2554455,0.28345555,0.0020621584,0
ISIC_0027859,0.10565338,0.16737433,0.0017251474,0.7028322,0.0025859333,0.000822712,0.0022674657,0.10565338,0.01590794,0.0008309527,0
ISIC_0030591,0.421732,0.23539023,0.0025525622,0.065107994,0.0018843998,0.0010534151,0.0025142352,0.421732,0.2688012,0.000963957,0
ISIC_0031366,0.20505416,0.002939601,0.00047322895,0.002209246,0.0018654915,0.0010564775,0.0020175877,0.20505416,0.7833335,0.0010506819,0
ISIC_0025396,0.1744044,0.00495799,0.0010702026,0.0018754142,0.0016975891,0.00082031515,0.0015617856,0.1744044,0.81275284,0.0008595711,0
ISIC_0031922,0.027523,0.40814576,0.48647657,0.054253854,0.0153167015,0.00015177931,0.0017092312,0.027523,0.006272707,0.00015031501,0
ISIC_0031377,0.34754196,0.007297875,0.043548275,0.10648252,0.005573532,0.0026150614,0.0038860857,0.34754196,0.48044214,0.0026124602,1
ISIC_0026103,0.36016753,0.0041362275,0.00084076216,0.011038047,0.002603695,0.0008924599,0.0033394755,0.36016753,0.6161341,0.0008476685,0
ISIC_0027190,0.25158247,0.0046048225,0.00041677148,0.02207711,0.004029013,0.0025742194,0.0029671958,0.25158247,0.7097079,0.002040346,1
ISIC_0032126,0.6302144,0.0672802,0.0016426713,0.11879646,0.0029445526,0.0008409954,0.0017302191,0.6302144,0.17575145,0.00079900626,0
ISIC_0031394,0.17091104,0.56180924,0.010996852,0.077556156,0.012381059,0.0003020178,0.0011583997,0.17091104,0.16461013,0.0002751343,0
ISIC_0028878,0.20044664,0.2445333,0.0012320898,0.47316885,0.00252817,0.0002747668,0.0009504878,0.20044664,0.07663641,0.00022924186,1
ISIC_0031306,0.020219013,0.0019794637,0.0006845175,0.0004810406,0.0058324896,0.001100313,0.002984094,0.020219013,0.96558446,0.0011345396,0
ISIC_0030817,0.42704406,0.0025580865,0.0004919972,0.006775327,0.002896694,0.0018321539,0.0018890199,0.42704406,0.55460685,0.0019057275,0
ISIC_0025651,0.53107285,0.33191213,0.045034047,0.011982365,0.0049575213,0.00014367448,0.0023713117,0.53107285,0.0723994,0.00012666441,1
ISIC_0031698,0.15960513,0.01923883,0.4570349,0.013260478,0.0031785485,0.0006117947,0.008316512,0.15960513,0.33815417,0.00059962715,0
ISIC_0028964,0.06439123,0.20470531,0.29264602,0.3450837,0.004854082,0.0005324554,0.005192449,0.06439123,0.082066804,0.00052795646,0
ISIC_0032186,0.51524717,0.013591967,0.0029415765,0.29203537,0.0017791226,0.0019655682,0.0021779637,0.51524717,0.16838607,0.0018752313,0
ISIC_0025703,0.50899386,0.013778085,0.005845188,0.4288896,0.0012711227,0.00019324098,0.0009246044,0.50899386,0.039913993,0.00019030989,0
ISIC_0028354,0.22376786,0.019732678,0.008121497,0.7008825,0.001518126,0.0007224257,0.0009805169,0.22376786,0.043619324,0.00065507565,0
ISIC_0032372,0.25853324,0.0055963923,0.2837027,0.15482457,0.0021005345,0.0006811351,0.028210683,0.25853324,0.26568216,0.00066849584,1
ISIC_0027486,0.28733987,0.007286099,0.002127586,0.0039025394,0.0033449493,0.002752853,0.0040153894,0.28733987,0.6864754,0.0027553735,0
ISIC_0028548,0.47341105,0.04636786,0.0050803083,0.22146006,0.0022962943,0.002182862,0.0041287425,0.47341105,0.24295557,0.0021172236,1
ISIC_0031915,0.4247081,0.011565114,0.0035202291,0.0603005,0.0021952873,0.0018017354,0.0020684234,0.4247081,0.49218962,0.001651043,1
ISIC_0031519,0.0631943,0.027931083,0.004431774,0.73826545,0.005204715,0.0009602263,0.0025915655,0.0631943,0.15647487,0.0009462202,0
ISIC_0031311,0.07860984,0.005218007,0.0007437741,0.0014934103,0.0031664122,0.0012577925,0.00191524,0.07860984,0.90636635,0.0012291761,0
