name,pred,d7ft_0,d7ft_1,d7ft_2,d7ft_3,d7ft_4,d7ft_5,d7ft_6,d7ft_7,d7ft_8,true
ISIC_0034246,0.9879448295617563,0.00054287893,0.0002285089,0.0016674722,0.0006301866,0.00030207055,0.0012602981,0.9832443,0.011721113,0.00040323293,1
ISIC_0034162,0.8405759769245206,0.0021503808,0.009024297,0.0097253565,0.0031661084,0.0015098943,0.0021864376,0.63697743,0.33383515,0.0014249482,1
ISIC_0033879,0.02834422569758086,0.00063735904,0.00014794696,9.37421e-05,0.001044513,0.00030245612,0.0015439611,0.0008142163,0.99509853,0.00031721467,0
ISIC_0029779,0.13749169842078313,0.0052102124,0.04088807,0.6798232,0.21125138,0.00016778678,0.009284797,0.024352398,0.028853586,0.00016853953,0
ISIC_0030085,0.7064433245673611,0.0070706466,0.0043199384,0.18810686,0.0021873107,0.0012192593,0.0030025688,0.42138952,0.37160257,0.0011013056,0
ISIC_0029752,0.1578360280197386,0.0038304995,0.014271718,0.16259426,0.004387821,0.0014728983,0.0106203295,0.030704178,0.77055484,0.0015634402,0
ISIC_0034048,0.8067352166112662,0.0041720504,0.0035847942,0.22523245,0.0016675295,0.000906211,0.0011829188,0.5743773,0.18784575,0.0010309799,1
ISIC_0025152,0.08243583060181342,0.000678301,0.005593641,0.004045865,0.0025281804,0.00015127608,0.022621118,0.009802623,0.95445794,0.00012102962,0
ISIC_0033902,0.9854952509463603,0.00035175635,0.0009221022,0.01163362,0.0022476292,9.796732e-05,0.0012034022,0.9777025,0.0057370616,0.00010403979,1
ISIC_0033546,0.5782479252201119,0.003020611,0.001447171,0.002910141,0.008945415,0.0006766522,0.0022168516,0.27830857,0.70178056,0.00069402764,1
ISIC_0026391,0.5860007850912677,0.0021393015,0.0036489859,0.021356016,0.0029918705,0.0013266135,0.0052076876,0.285673,0.67621434,0.0014421549,0
ISIC_0027822,0.5434225437930947,0.006246404,0.00081589265,0.6635092,0.0015724238,0.00031610526,0.0004704093,0.24693649,0.07977,0.0003630835,1
