name,pred,d7ft_0,d7ft_1,d7ft_2,d7ft_3,d7ft_4,d7ft_5,d7ft_6,d7ft_7,d7ft_8,true
ISIC_0028498,0.04601843,0.0022900277,0.24327877,0.4421815,0.0026307385,0.0024330865,0.056805413,0.04601843,0.10677483,0.09758722,0
ISIC_0027859,0.007016681,0.0007905053,0.013263996,0.7699688,0.0007368304,0.0008385942,0.0065688193,0.007016681,0.001836012,0.19897981,0
ISIC_0030591,0.03868745,0.0013831469,0.041823342,0.3652118,0.0014473541,0.0014632649,0.00800098,0.03868745,0.06557428,0.47640845,0
ISIC_0031366,0.0048029684,0.0011167716,0.0016922283,0.0041569085,0.0011558695,0.0011315871,0.0016962717,0.0048029684,0.98137206,0.002875426,0
ISIC_0025396,0.1256849,0.001367618,0.0031969973,0.0052387896,0.0014524934,0.0013258207,0.0028901766,0.1256849,0.8565351,0.0023081899,0
ISIC_0031922,0.014986249,0.0010721794,0.036302395,0.4847897,0.0013070883,0.001113202,0.007615246,0.014986249,0.048451122,0.40436277,0
ISIC_0031377,0.015205904,0.004162622,0.021940377,0.329056,0.00469971,0.004357492,0.0123055605,0.015205904,0.59221333,0.01605911,1
ISIC_0026103,0.32971194,0.0020588746,0.022909338,0.2818085,0.0021465013,0.0020413443,0.008684313,0.32971194,0.34422326,0.0064159515,0
ISIC_0027190,0.06749942,0.0053680814,0.014567289,0.5270526,0.0052489387,0.0051442613,0.014836629,0.06749942,0.32176757,0.03851528,1
ISIC_0032126,0.05826959,0.0018771585,0.013702263,0.55071914,0.0021416675,0.0020802738,0.003350944,0.05826959,0.15447491,0.21338403,0
ISIC_0031394,0.053530436,0.0027572094,0.07383737,0.07464399,0.0029604973,0.002725014,0.0071037016,0.053530436,0.7663984,0.016043356,0
ISIC_0028878,0.024374079,0.0021928078,0.07780754,0.54582036,0.0025962915,0.0022030852,0.010157719,0.024374079,0.29118344,0.043664765,1
ISIC_0031306,0.00093406806,0.0007094702,0.0010153295,0.001838821,0.00074504147,0.00078244525,0.0013396869,0.00093406806,0.99118006,0.0014551154,0
ISIC_0030817,0.5885401,0.0010975262,0.0031015906,0.015997583,0.0011962344,0.0010765237,0.0019033495,0.5885401,0.38246885,0.004618287,0
ISIC_0025651,0.2546315,0.0015633296,0.16403534,0.29288408,0.0017679408,0.0016976179,0.01032577,0.2546315,0.1659535,0.10714098,1
ISIC_0031698,0.014291425,0.002032268,0.60697645,0.05204772,0.0023712143,0.002130527,0.0547571,0.014291425,0.18145815,0.08393504,0
ISIC_0028964,0.072383545,0.0023230722,0.2899595,0.24531546,0.002364964,0.002441474,0.084886454,0.072383545,0.26581222,0.034513358,0
ISIC_0032186,0.06330532,0.0013581145,0.073844604,0.4670132,0.0015380168,0.0015485074,0.014360531,0.06330532,0.32722333,0.049808495,0
ISIC_0025703,0.29667962,0.00087598525,0.016535267,0.6449295,0.0010836439,0.00083602034,0.0070738974,0.29667962,0.020587001,0.011399066,0
ISIC_0028354,0.05612396,0.0014447615,0.050434418,0.8308658,0.0013475181,0.0011906206,0.024169317,0.05612396,0.023327304,0.011096357,0
ISIC_0032372,0.94702446,0.0004233655,0.03200658,0.012589662,0.0005089766,0.0004521134,0.003927901,0.94702446,0.0018398128,0.0012270145,1
ISIC_0027486,0.0023550089,0.001443393,0.0023266664,0.0044342885,0.0015134963,0.0015718334,0.0021483738,0.0023550089,0.9821591,0.0020478996,0
ISIC_0028548,0.040227186,0.005584711,0.05904467,0.46686873,0.005868467,0.0054129185,0.013286777,0.040227186,0.36731395,0.03639267,1
ISIC_0031915,0.042425703,0.0029923061,0.011236642,0.18508358,0.0034218503,0.0033170634,0.006932594,0.042425703,0.7186281,0.025962237,1
ISIC_0031519,0.064262204,0.0037618217,0.019458031,0.33460855,0.0035867856,0.003579272,0.06922091,0.064262204,0.29483515,0.20668729,0
ISIC_0031311,0.009638713,0.002117779,0.0026834225,0.014033561,0.0025284805,0.0021845815,0.0025372317,0.009638713,0.956092,0.008184298,0
ISIC_0031007,0.03868152,0.0021252271,0.5273742,0.24868634,0.002098949,0.0019754588,0.06398245,0.03868152,0.0008751927,0.114200704,0
ISIC_0031353,0.047648143,0.0030465294,0.06683048,0.7278338,0.0027904904,0.003146175,0.02938484,0.047648143,0.098120056,0.021199517,0
ISIC_0029080,0.065483056,0.003500546,0.11576921,0.62477034,0.0035005875,0.0036710189,0.023127504,0.065483056,0.07530375,0.08487404,0
ISIC_0026260,0.10348803,0.0045493795,0.032954186,0.32640016,0.0047537102,0.004609168,0.02992537,0.10348803,0.47184116,0.021478824,0
ISIC_0030877,0.0057832836,0.001186232,0.17433983,0.4971005,0.0013308728,0.0011212619,0.012287284,0.0057832836,0.0021609953,0.30468976,0
ISIC_0030942,0.0045716106,0.0030852368,0.004611527,0.028147692,0.0034206826,0.0032235093,0.01943236,0.0045716106,0.92829317,0.0052142846,0
ISIC_0026923,0.16382347,0.0033126075,0.077922925,0.4551967,0.004002933,0.0035354837,0.026478393,0.16382347,0.027015505,0.23871194,0
ISIC_0027219,0.07491084,0.0043012146,0.1271145,0.35550663,0.004618135,0.0043736827,0.0969753,0.07491084,0.21148232,0.12071737,0
ISIC_0031314,0.18821925,0.004258551,0.022540249,0.5491599,0.00448721,0.00467142,0.013190935,0.18821925,0.13193208,0.08154053,0
ISIC_0027451,0.31301984,0.0034760379,0.012840738,0.08180253,0.0038241807,0.0035573316,0.014142898,0.31301984,0.5496438,0.01769273,0
