name,pred,d7ft_0,d7ft_1,d7ft_2,d7ft_3,d7ft_4,d7ft_5,d7ft_6,d7ft_7,d7ft_8,true
ISIC_0034246,0.7603775306058248,0.00016154272,0.00027765037,0.0012542158,0.00054986845,0.00041709977,0.0019674918,0.30674428,0.68823814,0.00038967558,1
ISIC_0034162,0.7091890019717537,0.0035874725,0.0047034943,0.28248367,0.0021949091,0.001530044,0.0019616194,0.22356002,0.47849137,0.00148743,1
ISIC_0033879,0.5773555523369925,0.0001976003,0.0004713832,0.38641247,0.0017344173,0.00090944854,0.0021884046,0.09674566,0.5104298,0.0009109415,0
ISIC_0029779,0.18693099973997315,0.0028458524,0.023655279,0.8997567,0.0036258686,0.00080628257,0.0035318378,0.0015479677,0.063579194,0.00065115956,0
ISIC_0030085,0.7567983298062406,0.00061093346,0.0015628648,0.60283375,0.0031442714,0.0026949993,0.005542754,0.30006167,0.08105983,0.0024889677,0
ISIC_0029752,0.2752748483797033,0.00010434243,0.00041716846,0.00052842515,0.00045181988,0.0001935841,0.00031955857,0.007168998,0.9906376,0.00017848209,0
ISIC_0034048,0.9191521261550212,0.0007195796,0.00030796506,0.12795119,0.0011283163,0.00047021476,0.00065935473,0.774761,0.09354294,0.00045952317,1
ISIC_0025152,0.15437122047066448,4.132699e-05,0.0035519723,0.019678934,0.00076356396,0.00028237476,0.0042814007,0.0006117682,0.97052765,0.00026123316,0
ISIC_0033902,0.7803117858618738,0.0046472973,0.001551673,0.17161731,0.0044626985,0.0013455512,0.0027433636,0.34667942,0.46574798,0.0012046351,1
ISIC_0033546,0.9302411070105023,0.00036962525,0.00018406293,0.0017115166,0.0015133694,0.00063361885,0.0034048178,0.81762964,0.17393087,0.0006224718,1
ISIC_0026391,0.7670234106861356,0.00034516279,0.0031986174,0.010081981,0.0020562927,0.0017780537,0.0036412978,0.31953713,0.65768206,0.0016793953,0
ISIC_0027822,0.34574145180622845,0.0022985002,0.00017993824,0.9069794,0.0011277718,0.0004639425,0.00049242086,0.015942713,0.0720662,0.00044920432,1
ISIC_0031953,0.7377504173266022,0.001007855,0.005007343,0.29216036,0.0025250332,0.0012424857,0.0022401102,0.2668088,0.4278771,0.001131002,1
ISIC_0033871,0.48240693128666523,6.102515e-05,0.00028263452,0.00057474937,0.00061280606,0.00024082787,0.0004457743,0.05022464,0.9473325,0.00022486346,1
ISIC_0028085,0.2387955285422696,0.004404971,0.5778388,0.19091159,0.013056742,0.0028139648,0.0092753265,0.0042307875,0.1949213,0.002546477,0
ISIC_0034153,0.531469544095151,0.035089295,0.5627136,0.18225959,0.007282357,0.0056159655,0.026017789,0.0710815,0.104211055,0.0057287808,0
ISIC_0031160,0.6456768573521748,0.0005539662,0.0030724222,0.06372152,0.0013836737,0.0009806977,0.003761882,0.15021989,0.77534574,0.00096025254,0
ISIC_0031474,0.6209516299979555,0.0038516454,0.0048134536,0.33913946,0.010620274,0.0025565065,0.060946614,0.12835789,0.44734365,0.002370498,0
ISIC_0030851,0.2800669435343297,0.00020301454,0.011088771,0.016045472,0.0013841208,0.0005538989,0.0011548059,0.007628544,0.96140814,0.0005331024,0
ISIC_0033752,0.20612958075007567,0.12851733,0.017864937,0.8200473,0.0070047835,0.0005984607,0.00061673805,0.0023563586,0.022449372,0.00054470927,1
ISIC_0033865,0.45888873728192664,0.065679334,0.017019354,0.5976126,0.043522995,0.0010800872,0.0021352307,0.042151224,0.2297437,0.0010553432,0
ISIC_0031872,0.2580409097371157,0.06567066,0.06183994,0.8200655,0.006841282,0.0027257074,0.0034767098,0.0056613907,0.03148276,0.0022360927,0
ISIC_0034070,0.22635464970709904,0.00093072216,0.018177541,0.60424954,0.0011321761,0.00045871254,0.0007843242,0.0034384362,0.37040833,0.0004202018,0
