name,pred,d7ft_0,d7ft_1,d7ft_2,d7ft_3,d7ft_4,d7ft_5,d7ft_6,d7ft_7,d7ft_8,true
derm-0001,0.004733786,0.18927567,0.5851989,0.12732375,0.07681786,0.0005345972,0.0055422056,0.004733786,0.010108895,0.0004644234,0
derm-0002,0.09003105,0.04811684,0.38003722,0.061825573,0.0074655437,0.0027913589,0.012713211,0.09003105,0.39399996,0.0030193042,0
derm-0003,0.13597977,0.015380873,0.10643075,0.44545165,0.00695816,0.0014119904,0.00691035,0.13597977,0.28002724,0.0014492372,0
derm-0004,0.83590287,0.004417622,0.010184309,0.122213446,0.00096293696,0.00041117426,0.0015243305,0.83590287,0.023971628,0.00041160427,0
derm-0005,0.0044877455,0.004284369,0.05005321,0.005829319,0.020778459,0.0014252982,0.106832184,0.0044877455,0.8050308,0.0012785818,0
derm-0006,0.0039366744,0.025098672,0.020974336,0.09852316,0.024357151,0.0052910247,0.53056383,0.0039366744,0.28610155,0.0051536066,0
derm-0007,0.006409681,0.0030753815,0.68683356,0.112405814,0.007971163,0.0006467961,0.044729467,0.006409681,0.13729419,0.0006339657,0
derm-0008,0.5504076,0.02030254,0.011126046,0.22546592,0.0054404773,0.0006725506,0.013842513,0.5504076,0.17204404,0.00069827255,0
derm-0009,0.010991487,0.062925704,0.7328281,0.13216387,0.032273263,0.0005925139,0.006986834,0.010991487,0.020750454,0.000487933,0
derm-0010,0.36759537,0.045878872,0.03359432,0.14819477,0.007740352,0.0010308508,0.005839631,0.36759537,0.38900375,0.0011220395,0
derm-0011,0.04894593,0.030092925,0.07489207,0.5256893,0.021812636,0.0015958758,0.015397546,0.04894593,0.28008652,0.0014871543,0
derm-0012,0.5482029,0.0062072906,0.14581256,0.07090868,0.007293479,0.0011671312,0.0069779917,0.5482029,0.21213916,0.0012908903,0
derm-0013,0.57327545,0.05040412,0.03870602,0.046660762,0.023079898,0.00069910963,0.009606087,0.57327545,0.25678098,0.000787617,0
derm-0014,0.36126417,0.034598567,0.47211647,0.07354011,0.004053641,0.0007256758,0.0022361265,0.36126417,0.05074296,0.0007222991,0
derm-0015,0.038934845,0.0030982248,0.4138905,0.00670809,0.0033140366,0.0003781865,0.005572157,0.038934845,0.52768105,0.00042288663,0
derm-0016,0.15365475,0.009174263,0.24115586,0.16509312,0.0027786521,0.00095447426,0.0054938314,0.15365475,0.4206555,0.001039578,0
derm-0017,0.011615607,0.00253034,0.0011487424,0.01377054,0.0036349434,0.0002978286,0.01582588,0.011615607,0.9508934,0.00028261216,0
derm-0018,0.24618839,0.009087521,0.10262263,0.59773874,0.006254077,0.000700497,0.0035740405,0.24618839,0.03315315,0.0006810022,0
derm-0019,0.36040938,0.01147839,0.16948329,0.066710554,0.0068216743,0.0017815819,0.011563481,0.36040938,0.3698145,0.0019372434,0
derm-0020,0.3286005,0.00630144,0.5461759,0.05919507,0.0031657503,0.00038855526,0.0058818595,0.3286005,0.049909063,0.00038186813,0
derm-0021,0.0029649131,0.0074137338,0.06659102,0.1308253,0.0061468794,0.0005081283,0.0019351343,0.0029649131,0.78311586,0.0004990659,0
derm-0022,0.16453028,0.024020808,0.030256664,0.10381186,0.013225715,0.001396637,0.0051646745,0.16453028,0.6562228,0.001370559,0
derm-0023,0.02098268,0.1660633,0.29277816,0.30664736,0.033832863,0.0026553099,0.0148086045,0.02098268,0.15959437,0.0026373444,0
derm-0024,0.12812543,0.15758435,0.24399626,0.33891144,0.014316297,0.0023313225,0.011822132,0.12812543,0.10056585,0.002346852,0
derm-0025,0.9783657,0.0003743625,0.004712546,0.011924221,0.00025112295,5.586141e-05,0.00018080248,0.9783657,0.0040815487,5.385778e-05,0
derm-0026,0.0042051636,0.058240067,0.28802335,0.6407624,0.002723158,0.00040364257,0.0015852497,0.0042051636,0.0036636093,0.0003934469,0
derm-0027,0.7428547,0.011845512,0.06573809,0.007061238,0.0035280585,0.0011950749,0.008102407,0.7428547,0.15840407,0.00127087,0
derm-0028,0.065487914,0.10926777,0.6911964,0.08391305,0.036043786,0.0007852907,0.00483846,0.065487914,0.007699184,0.00076823955,0
derm-0029,0.52750486,0.0015096035,0.37066847,0.008939969,0.0009993142,0.00036897685,0.005742528,0.52750486,0.083870195,0.00039613803,0
derm-0030,0.64434403,0.009066697,0.15537167,0.09978231,0.0034007083,0.0017196973,0.010245862,0.64434403,0.074149586,0.0019194394,0
derm-0031,0.06932681,0.0033549368,0.4043065,0.031371977,0.005902451,0.0030289188,0.05334994,0.06932681,0.42649361,0.0028648805,0
derm-0032,0.7145705,0.032452036,0.112266995,0.056652095,0.0038845935,0.0012827985,0.024587754,0.7145705,0.05271953,0.0015837046,0
derm-0033,0.4403255,0.022496533,0.46127096,0.03781683,0.002763191,0.00057067967,0.0011127727,0.4403255,0.033031143,0.0006124379,0
