name,pred,d7ft_0,d7ft_1,d7ft_2,d7ft_3,d7ft_4,d7ft_5,d7ft_6,d7ft_7,d7ft_8,true
ISIC_0028498,0.31475771734257746,0.0027104781,0.15313442,0.51447296,0.002766948,0.002716338,0.020083759,0.03912304,0.16643922,0.098552816,0
ISIC_0027859,0.2752209245320562,0.004615366,0.04873381,0.6202744,0.0052465624,0.0053313556,0.018303782,0.027053032,0.02224554,0.24819623,0
ISIC_0030591,0.2718517867159363,0.0026150236,0.13661374,0.19385889,0.003161658,0.002625004,0.0064183474,0.02614664,0.051637884,0.57692283,0
ISIC_0031366,0.27873079427650577,0.0020783932,0.0017450439,0.00598649,0.0024043946,0.0021936106,0.002811938,0.028016945,0.948403,0.0063602785,0
ISIC_0025396,0.4991141671698307,0.0028911827,0.012164128,0.039119262,0.0028544373,0.00290912,0.0048739063,0.14081727,0.78857833,0.0057923743,0
ISIC_0031922,0.31171549158879075,0.0036131465,0.03566102,0.3926653,0.0047690263,0.0037857394,0.011040767,0.03809653,0.095376626,0.41499183,0
ISIC_0031377,0.21948030772760535,0.0044745924,0.025007853,0.3303069,0.0041555003,0.0046659606,0.00786939,0.01430386,0.59267503,0.01654096,1
ISIC_0026103,0.5842185041240544,0.0018095024,0.029805413,0.20738052,0.0018505792,0.0018436614,0.005876528,0.22400711,0.521383,0.0060437033,0
ISIC_0027190,0.4430566675442528,0.008576346,0.02973473,0.4313748,0.007884762,0.008382185,0.028047765,0.10035373,0.34513828,0.040507395,1
ISIC_0032126,0.4490886251800847,0.0055310414,0.02538306,0.170447,0.006502977,0.0061157695,0.0062351655,0.1042427,0.3616167,0.31392562,0
ISIC_0031394,0.38206456852690174,0.0042360947,0.041948922,0.059442222,0.0048852414,0.004081809,0.007514345,0.06651867,0.7727843,0.038588315,0
ISIC_0028878,0.21460568109379716,0.005438011,0.03382852,0.36704743,0.005991222,0.005016427,0.009296962,0.013404639,0.5091995,0.050777294,1
ISIC_0031306,0.12681771894915828,0.0010885233,0.0011570718,0.0019442526,0.0011214928,0.0010508427,0.0020570513,0.0024713748,0.98654234,0.0025670899,0
ISIC_0030817,0.8204954654682511,0.0006791506,0.0019576782,0.0050984486,0.00066768314,0.00066809263,0.0012635571,0.6495831,0.3369895,0.0030927034,0
ISIC_0025651,0.6140390253493261,0.0029365611,0.07454608,0.33140302,0.0029347904,0.0029094783,0.036827605,0.26065713,0.17489932,0.112886004,1
ISIC_0031698,0.3371146537181896,0.003043101,0.55519634,0.06843633,0.0031662465,0.0028556741,0.03881677,0.04720066,0.13379613,0.14748867,0
ISIC_0028964,0.332010344732781,0.005016013,0.45776138,0.16712222,0.0055684387,0.0053276056,0.037147727,0.045271814,0.23316668,0.043618146,0
ISIC_0032186,0.3583753352329748,0.004923704,0.09358551,0.36704978,0.005703623,0.0047244835,0.011958337,0.055800177,0.3199701,0.13628438,0
ISIC_0025703,0.6365386504585969,0.0015252971,0.021784252,0.6302418,0.0016046772,0.001288188,0.007297148,0.29126504,0.030206634,0.014786986,0
ISIC_0028354,0.22699082232641432,0.0012771444,0.10368996,0.81027526,0.0012730629,0.0012433295,0.009784466,0.01575433,0.03149604,0.025206462,0
ISIC_0032372,0.8949235294570461,0.0012437698,0.105814576,0.0076025054,0.0013925512,0.0012900409,0.035979226,0.8346977,0.007979634,0.0040001697,1
ISIC_0027486,0.14361418420302988,0.0010010183,0.0018224964,0.003021445,0.0010381957,0.0010137999,0.0014646047,0.0038339333,0.9850181,0.0017864008,0
ISIC_0028548,0.2799669191071905,0.00786891,0.035389733,0.49860206,0.008153587,0.007550664,0.011874939,0.028361237,0.35147882,0.050720073,1
ISIC_0031915,0.3233842853462454,0.004669748,0.049289305,0.044965893,0.0048679817,0.0049469504,0.0076133176,0.04212706,0.7816152,0.059904564,1
ISIC_0031519,0.397414244182745,0.0035949366,0.033071157,0.20162427,0.003961806,0.003348576,0.047509573,0.074149065,0.30056235,0.3321782,0
ISIC_0031311,0.14232211656439125,0.0009379345,0.0015147947,0.0016488923,0.0010335225,0.00093929557,0.001034218,0.0037174807,0.98423636,0.0049376,0
ISIC_0031007,0.194511598579088,0.0031639982,0.4677086,0.4272286,0.0032627438,0.0032315243,0.02319907,0.010039189,0.0014551684,0.06071114,0
ISIC_0031353,0.30313995992232684,0.004880016,0.089835875,0.7007824,0.004574126,0.0046835574,0.016265536,0.03529327,0.11540681,0.02827837,0
ISIC_0029080,0.3278084410803721,0.005419049,0.22948007,0.4190162,0.0058289254,0.005643314,0.015904382,0.043722097,0.18825512,0.08673077,0
ISIC_0026260,0.42941039951955506,0.0046335994,0.029455502,0.28393692,0.0047263275,0.004821524,0.015231897,0.091936335,0.5426685,0.022589443,0
ISIC_0030877,0.1670967896289282,0.0027441897,0.06324529,0.6661444,0.003360961,0.0031754903,0.0059506684,0.0062979455,0.014765672,0.23431544,0
ISIC_0030942,0.15616280997550286,0.0033263862,0.008281675,0.009528213,0.003082724,0.0030695589,0.007885895,0.005067904,0.9546747,0.005082974,0
ISIC_0026923,0.5530415038577257,0.005314071,0.07101642,0.23321202,0.006532711,0.0060862764,0.035722546,0.19008991,0.064193524,0.38783246,0
ISIC_0027219,0.3808487078167096,0.00582042,0.048677422,0.28294042,0.0065101306,0.006360639,0.115352586,0.06593789,0.38668367,0.08171692,0
ISIC_0031314,0.35180798959695536,0.0069202925,0.04630932,0.19829635,0.008396296,0.007484916,0.013016703,0.053044315,0.53734857,0.12918323,0
ISIC_0027451,0.6465840588787037,0.004218912,0.02610672,0.015888589,0.004855935,0.0050356463,0.008280413,0.305798,0.590754,0.039061848,0
ISIC_0028871,0.23637403710756258,0.0025367076,0.5820837,0.10777793,0.0030774896,0.0023115908,0.00727575,0.017679354,0.022749819,0.25450763,0
ISIC_0031115,0.2982545687809964,0.0026531771,0.0036797412,0.009506148,0.0026163997,0.0025537114,0.0034136702,0.033754855,0.9303897,0.011432535,0
