name,pred,d7ft_0,d7ft_1,d7ft_2,d7ft_3,d7ft_4,d7ft_5,d7ft_6,d7ft_7,d7ft_8,true
ISIC_0034246,0.6127252,0.0035671543,0.0099730985,0.023419574,0.0041823024,0.0036883547,0.10996357,0.6127252,0.22938316,0.0030975735,1
ISIC_0034162,0.008544295,0.0032001287,0.022942504,0.48297772,0.0026493361,0.0028229759,0.0099785,0.008544295,0.43358555,0.03329906,1
ISIC_0033879,0.00045551776,0.0005534717,0.000659351,0.0013947979,0.0005011211,0.0005040479,0.0009465217,0.00045551776,0.9940123,0.0009727293,0
ISIC_0029779,0.0018727459,0.0015457019,0.26854923,0.14664008,0.0013441418,0.0014438683,0.5646922,0.0018727459,0.007818958,0.006093156,0
ISIC_0030085,0.013701567,0.0022624647,0.050338924,0.11699726,0.0021198534,0.0021412103,0.041160937,0.013701567,0.7636394,0.0076384507,0
ISIC_0029752,0.0032335352,0.002911508,0.006653718,0.09564593,0.0027407117,0.0028466033,0.07571885,0.0032335352,0.79629534,0.013953856,0
ISIC_0034048,0.053380992,0.008030503,0.13380319,0.08635125,0.007824038,0.008264224,0.017305186,0.053380992,0.53840536,0.14663522,1
ISIC_0025152,0.008150692,0.003368968,0.009125264,0.021047158,0.003278651,0.0031803565,0.0962379,0.008150692,0.8458568,0.009754383,0
ISIC_0033902,0.12485578,0.001497088,0.0063864267,0.1540568,0.0013955673,0.0015466566,0.07512546,0.12485578,0.62929124,0.005844956,1
ISIC_0033546,0.028574174,0.0021038295,0.009180843,0.03243735,0.0020127562,0.0020334627,0.023572408,0.028574174,0.8607829,0.039302308,1
ISIC_0026391,0.0013563725,0.0010275204,0.0019564743,0.008177874,0.0010050231,0.0011009768,0.0055316533,0.0013563725,0.978158,0.0016860642,0
ISIC_0027822,0.006402076,0.0011992218,0.0040968237,0.4927383,0.0010382403,0.0010433951,0.0044137794,0.006402076,0.4802866,0.008781768,1
ISIC_0031953,0.0042192847,0.001633432,0.005222343,0.014264292,0.0015953936,0.0015961434,0.0039139595,0.0042192847,0.9636661,0.0038890156,1
ISIC_0033871,0.0022090883,0.0027323316,0.002705117,0.0029541599,0.0027044755,0.0026304626,0.0054867645,0.0022090883,0.97481805,0.0037594747,1
ISIC_0028085,0.012486739,0.013899425,0.09163952,0.23502533,0.0137851555,0.013879958,0.15759341,0.012486739,0.23625985,0.2254306,0
ISIC_0034153,0.039480254,0.00073791255,0.4073523,0.31243262,0.0008112589,0.00073568994,0.028695626,0.039480254,0.0012890436,0.2084653,0
ISIC_0031160,0.06383054,0.001008461,0.0017613688,0.004002828,0.0009232829,0.0009683367,0.0041459533,0.06383054,0.9214489,0.0019102814,0
ISIC_0031474,0.40619728,0.0033434518,0.03585452,0.19379963,0.003185285,0.0032766021,0.238832,0.40619728,0.09196107,0.023550222,0
ISIC_0030851,0.018024212,0.01117812,0.17058055,0.06662845,0.010945768,0.011485764,0.21742229,0.018024212,0.46771255,0.02602231,0
ISIC_0033752,0.07269722,0.003183345,0.12981632,0.3783029,0.0032460687,0.0031830196,0.025572067,0.07269722,0.20044379,0.18355529,1
ISIC_0033865,0.10860442,0.0057296413,0.08154721,0.2093083,0.006303686,0.0061044907,0.024628915,0.10860442,0.35311317,0.2046602,0
ISIC_0031872,0.009636263,0.0057963566,0.23937845,0.41309595,0.005034856,0.005519749,0.22037187,0.009636263,0.056058694,0.045107793,0
ISIC_0034070,0.044765703,0.0016369686,0.01056806,0.55078614,0.0015100348,0.001523142,0.006735793,0.044765703,0.37712336,0.005350867,0
ISIC_0030845,0.09122459,0.0044696005,0.0033436052,0.013713779,0.004355999,0.0045313146,0.013314194,0.09122459,0.8604193,0.004627537,0
ISIC_0033186,0.9487777,0.00072061206,0.0007914195,0.0042137825,0.00079567044,0.00072737975,0.0024088274,0.9487777,0.040676028,0.0008885854,1
ISIC_0034262,0.008820913,0.0024530147,0.12583332,0.08990057,0.0023006846,0.002536589,0.024244541,0.008820913,0.731372,0.012538361,1
ISIC_0032313,0.18861033,0.0026155214,0.045430195,0.030098973,0.002732027,0.0024431725,0.009672662,0.18861033,0.7096256,0.008771497,1
ISIC_0032221,0.0016633583,0.0014160465,0.005524307,0.009182093,0.0014363201,0.001382072,0.01163567,0.0016633583,0.96460545,0.0031545775,0
ISIC_0024770,0.026775716,0.005070136,0.14185639,0.5902246,0.004906722,0.00460582,0.010307851,0.026775716,0.121109165,0.09514363,0
ISIC_0033299,0.8676221,0.00053915934,0.007343687,0.09512769,0.0005419992,0.00048546898,0.024261562,0.8676221,0.0014308923,0.0026474341,1
ISIC_0033583,0.013132035,0.0038507474,0.023634367,0.52141035,0.0037193508,0.0038979684,0.010470414,0.013132035,0.3196118,0.10027299,0
ISIC_0029674,0.014635055,0.010812996,0.06794434,0.4182882,0.01046648,0.009971907,0.029082049,0.014635055,0.36433753,0.074461475,0
ISIC_0027419,0.41764006,0.005503392,0.13600896,0.2194165,0.0058648284,0.0052428986,0.01630311,0.41764006,0.15360652,0.040413734,0
ISIC_0033310,0.112916864,0.00047935676,0.5590278,0.025851464,0.00045459913,0.00037924372,0.28652117,0.112916864,0.0015447837,0.012824676,1
ISIC_0029902,0.012391267,0.00786677,0.09529876,0.15694274,0.00800293,0.0077189016,0.048744123,0.012391267,0.5911762,0.07185838,0
ISIC_0031127,0.14403616,0.00304646,0.017982934,0.35293803,0.0031878096,0.0032019727,0.005591314,0.14403616,0.45826003,0.011755382,0
ISIC_0032244,0.3262753,0.0022341267,0.050771963,0.45052978,0.0020862303,0.0021997371,0.020345276,0.3262753,0.12806885,0.01748877,1
ISIC_0027948,0.0013145567,0.0012106553,0.0029110238,0.0019209076,0.0011873724,0.0012643625,0.10789093,0.0013145567,0.8801839,0.0021161258,0
ISIC_0029161,0.17613672,0.0017541483,0.023164993,0.24461697,0.0014164804,0.0015715956,0.5101765,0.17613672,0.03189135,0.009271277,0
ISIC_0033833,0.01472834,0.0042350325,0.052280795,0.07471421,0.003991755,0.003913506,0.5178334,0.01472834,0.31182837,0.01647459,0
ISIC_0033708,0.018386645,0.00078822096,0.0670894,0.87105054,0.00085079,0.0007743811,0.01397188,0.018386645,0.007922848,0.019165453,1
ISIC_0032376,0.033961624,0.0022345043,0.08631077,0.30177146,0.0020110677,0.001896699,0.50487685,0.033961624,0.05784103,0.009095938,0
ISIC_0033696,0.41058636,0.0021866006,0.065632984,0.12366878,0.002016422,0.0020546035,0.38074365,0.41058636,0.0011267216,0.011983835,1
ISIC_0034046,0.39701095,0.0010917177,0.0034176793,0.020856094,0.0011627552,0.0010685754,0.050257444,0.39701095,0.5160119,0.00912298,1
ISIC_0034185,0.021465011,0.0013800681,0.0007808591,0.0026570528,0.0013512389,0.0012978483,0.0044780145,0.021465011,0.96475124,0.0018386059,0
ISIC_0025600,0.01218609,0.0022966478,0.38611084,0.19810244,0.0021049574,0.0021385972,0.29226646,0.01218609,0.080965534,0.023828497,0
ISIC_0030574,0.030730922,0.001951441,0.64284796,0.15783633,0.0016544679,0.0019162543,0.020077063,0.030730922,0.078339815,0.064645834,0
ISIC_0033925,0.13023116,0.0009687074,0.16924497,0.3322026,0.0007103193,0.0007171264,0.3504235,0.13023116,0.0035927517,0.0119089065,1
ISIC_0033509,0.03285273,0.0043410845,0.040807758,0.3660542,0.004397588,0.0043483437,0.022442523,0.03285273,0.47925392,0.045501854,0
ISIC_0024624,0.11205143,0.0035073478,0.11769962,0.38190585,0.0032652107,0.0031992947,0.1505963,0.11205143,0.15860097,0.069173954,1
ISIC_0033364,0.10929066,0.007241013,0.1597076,0.05171438,0.007778071,0.0069120727,0.08943767,0.10929066,0.4211351,0.1467834,0
ISIC_0034232,0.003671702,0.0036851154,0.0155866025,0.025774961,0.0031581668,0.0031781935,0.08433584,0.003671702,0.84707135,0.0135380775,0
ISIC_0030086,0.006854544,0.0027611093,0.0038247295,0.29143912,0.0027758442,0.0028815705,0.029969487,0.006854544,0.60379237,0.055701204,0
ISIC_0032150,0.0052228933,0.0034516018,0.02353517,0.075919785,0.0034853553,0.0035798408,0.017156363,0.0052228933,0.8410538,0.02659525,0
ISIC_0028219,0.011978648,0.0022113062,0.031154422,0.008910828,0.0020414467,0.0018903123,0.0143713085,0.011978648,0.92130655,0.0061352826,1
ISIC_0033866,0.025220681,0.0014802613,0.011105635,0.60107964,0.0013727018,0.001292826,0.008592698,0.025220681,0.3074598,0.042395648,0
ISIC_0030709,0.022009576,0.004590981,0.128198,0.05246688,0.0039139395,0.0041054254,0.027945323,0.022009576,0.74315,0.013619854,0
ISIC_0031323,0.0057888846,0.00792716,0.08503753,0.05744018,0.0075191343,0.0072682346,0.02812296,0.0057888846,0.66173315,0.1391628,0
ISIC_0030053,0.04065272,0.0068119466,0.16486368,0.24222091,0.0067158155,0.0070200725,0.018686589,0.04065272,0.42152953,0.09149869,0
ISIC_0033380,0.005138838,0.0023134851,0.013142276,0.18462083,0.002219465,0.002431382,0.5181716,0.005138838,0.26076496,0.011197206,0
ISIC_0034058,0.14017408,0.0025984196,0.33160362,0.40233293,0.0029079686,0.0027396628,0.010041674,0.14017408,0.045137316,0.062464375,0
ISIC_0034110,0.0045005432,0.00082697684,0.005199152,0.016125347,0.0006733737,0.0007603012,0.96392643,0.0045005432,0.0020436647,0.0059440807,0
ISIC_0031748,0.0051427665,0.0010597393,0.006341965,0.25098747,0.0009264659,0.00095727213,0.0030580335,0.0051427665,0.72821236,0.0033137605,0
ISIC_0031479,0.96914923,0.000458566,0.008464483,0.006957222,0.0004916467,0.00043078032,0.001274794,0.96914923,0.011638217,0.0011350525,1
ISIC_0028755,0.02202708,0.0037262805,0.03277825,0.027230835,0.0035962574,0.0037804004,0.0053295894,0.02202708,0.84950846,0.052022863,0
ISIC_0033461,0.0035654348,0.0036482606,0.008008859,0.049469944,0.0040705875,0.0035678258,0.012100612,0.0035654348,0.90249264,0.013075813,0
ISIC_0034083,0.028658345,0.001223567,0.003923339,0.008668346,0.0012351874,0.0012571536,0.05704176,0.028658345,0.8956885,0.002304002,0
ISIC_0034142,0.09616655,0.0015851645,0.13462414,0.7022751,0.0017156001,0.0014638313,0.0119506,0.09616655,0.00750455,0.04271448,0
ISIC_0033610,0.018667635,0.007306953,0.102373354,0.42441383,0.0061549437,0.006276533,0.032512527,0.018667635,0.37129912,0.030995253,0
ISIC_0033339,0.004719773,0.0009908803,0.019912196,0.023071919,0.0008093699,0.0008788626,0.31058383,0.004719773,0.6343063,0.0047269794,0
ISIC_0033183,0.092544444,0.0009204812,0.1334276,0.46027622,0.000976067,0.000881562,0.24274707,0.092544444,0.004782709,0.063443765,1
ISIC_0033942,0.27453747,0.003669845,0.122475855,0.39417788,0.0036702927,0.0032312386,0.01863465,0.27453747,0.06830935,0.11129343,1
ISIC_0029945,0.023710804,0.003388172,0.2745065,0.22374225,0.0034638096,0.0036180217,0.015081166,0.023710804,0.40995097,0.042538334,0
ISIC_0030824,0.3275674,0.0012507421,0.098140314,0.27485946,0.0011949539,0.0012796358,0.031415276,0.3275674,0.25895032,0.005341861,1
ISIC_0033784,0.04317575,0.0016826269,0.042886805,0.7154221,0.0015709935,0.0014614313,0.038927,0.04317575,0.03101424,0.12385919,0
ISIC_0034318,0.006124822,0.00053666905,0.0025375837,0.49965855,0.00043740548,0.00048818448,0.4808087,0.006124822,0.0057298187,0.0036782722,0
ISIC_0033695,0.0010607131,0.0007150848,0.0057479516,0.40972114,0.00053815485,0.0006483901,0.01453448,0.0010607131,0.04577623,0.5212578,0
ISIC_0029559,0.0061946376,0.006222657,0.06996839,0.20521127,0.006238196,0.006420718,0.031520262,0.0061946376,0.5884144,0.07980945,0
ISIC_0033685,0.1736195,0.0006291392,0.021112422,0.7376628,0.00062980986,0.00055746996,0.010776998,0.1736195,0.046618145,0.008393829,0
