name,pred,d7ft_0,d7ft_1,d7ft_2,d7ft_3,d7ft_4,d7ft_5,d7ft_6,d7ft_7,d7ft_8,true
derm-0001,0.3107055023424542,0.0008552979,0.026455477,0.6016886,0.00091636705,0.0013342188,0.092673585,0.041954234,0.11026266,0.123859555,0
derm-0002,0.39519888122903757,0.0007650046,0.17893994,0.05515822,0.0007020561,0.0010387925,0.6584022,0.08307503,0.0126094865,0.009309255,0
derm-0003,0.13606743124605508,0.0005225154,0.040800087,0.0008550384,0.00053841266,0.00061946816,0.0024481397,0.0031248876,0.94755566,0.0035358318,0
derm-0004,0.9010994650105626,9.584201e-05,0.094504565,0.010324667,0.00011200506,9.3432915e-05,0.0008226155,0.8937234,4.4249664e-05,0.0002791857,0
derm-0005,0.605392699458444,0.003267307,0.11207652,0.01173797,0.0035066607,0.0042518964,0.08550241,0.29009867,0.45653296,0.033025607,0
derm-0006,0.4765949921576356,0.010203363,0.0962615,0.05243673,0.009646864,0.009971726,0.5187907,0.1424123,0.030570932,0.12970586,0
derm-0007,0.31006652518699046,0.001993241,0.04365396,0.009171931,0.0020823865,0.001567615,0.57532257,0.041709132,0.001460423,0.32303873,0
derm-0008,0.8723956391554505,0.001445546,0.12420642,0.011020493,0.0017398578,0.0012943364,0.003428033,0.83413243,0.0026897409,0.020043155,0
derm-0009,0.08552018419561841,0.00019197751,0.98826796,0.0021049548,0.0001600128,0.00018646073,0.0014377942,0.00037747406,0.0030258645,0.004247413,0
derm-0010,0.8007521012275903,0.002036098,0.0704246,0.18715663,0.0018679278,0.0021620549,0.01476986,0.6698204,0.040986326,0.010776078,0
derm-0011,0.8221655752263262,0.0009533465,0.118844084,0.07118851,0.0009891284,0.0007838273,0.008018446,0.71968216,0.07335203,0.006188509,0
derm-0012,0.23106388712720968,0.00017756151,0.958798,0.012318181,0.00024088513,0.00017703428,0.008981025,0.017782528,0.00021040553,0.0013144331,0
derm-0013,0.5699262373220192,0.0018455037,0.1782056,0.04173027,0.0017063783,0.0022641253,0.15429051,0.24175744,0.3601528,0.018047322,0
derm-0014,0.3707016356854983,0.00092743733,0.005335964,0.8825246,0.001140836,0.0012095429,0.029924966,0.069250874,0.0018214614,0.007864265,0
derm-0015,0.6213640134009533,0.000513745,0.5754766,0.035329908,0.00050870836,0.00061890605,0.039487995,0.31397063,0.02076248,0.013331071,0
derm-0016,0.5569213992493584,0.0016771138,0.049888544,0.4336654,0.0023818796,0.0021663934,0.25921807,0.2255846,0.008363781,0.017054243,0
derm-0017,0.5378722946389456,0.00080298755,0.0016303606,0.002007033,0.0006419465,0.0008356201,0.005030406,0.20332827,0.7831595,0.0025638351,0
derm-0018,0.17417375307059646,5.1296356e-05,0.9768444,0.008432773,7.4164156e-05,6.775569e-05,0.006139147,0.0073847687,0.000323025,0.0006827892,0
derm-0019,0.8445081359260113,0.00087648595,0.21841776,0.0022318657,0.00071738,0.0007508296,0.0013086083,0.77147114,0.0025814876,0.0016444479,0
derm-0020,0.662258294022873,0.00032380028,0.6006562,0.00047004514,0.00038446495,0.00032945836,0.005819518,0.38126767,0.004506896,0.006242011,0
derm-0021,0.6773238799276344,0.008420607,0.26191568,0.059539713,0.008181229,0.009702083,0.0119759105,0.40831897,0.13574211,0.096203685,0
derm-0022,0.6563886831447237,0.0015571375,0.012335081,0.04476389,0.0015348137,0.00172168,0.0047980146,0.37105733,0.55760145,0.0046306024,0
derm-0023,0.46315388353123094,0.0019653798,0.009424064,0.08208469,0.0018873163,0.002114813,0.005963481,0.1310457,0.74980444,0.01571011,0
derm-0024,0.10589282646996612,0.0006594643,0.20497546,0.0151491705,0.00065672986,0.00058983907,0.0010572841,0.00111919,0.0047392477,0.7710536,0
derm-0025,0.8773706880060017,0.00026992572,0.053196035,0.09299941,0.00023231002,0.00025968568,0.0021548646,0.8449055,0.00015268735,0.0058295345,0
derm-0026,0.08038487396970544,0.00022865435,0.9271585,0.058087558,0.00024402693,0.00018608544,0.0021885938,0.00026006313,0.00026708285,0.011379444,0
derm-0027,0.4852466767976247,0.00027997923,0.8367407,0.002554159,0.00028734034,0.0002335587,0.0032642216,0.15008885,9.1358736e-05,0.0064598583,0
derm-0028,0.2790095688902601,0.00016072467,0.66948307,0.29123217,0.00016297062,0.0001376262,0.0021611801,0.0308442,2.4098867e-05,0.0057940455,0
derm-0029,0.11233282384044095,6.7232824e-05,0.9832351,0.0008868405,6.933688e-05,8.717427e-05,0.013007617,0.0014524962,0.00015843452,0.0010357148,0
derm-0030,0.15770413876404848,4.284394e-05,0.96016634,0.02866595,5.4043947e-05,4.303925e-05,0.0052323453,0.0052948925,3.300172e-05,0.00046756637,0
