name,pred,d7ft_0,d7ft_1,d7ft_2,d7ft_3,d7ft_4,d7ft_5,d7ft_6,d7ft_7,d7ft_8,true
derm-0001,0.09091271460056305,0.0036995707,0.03130907,0.30507368,0.0034528086,0.0032582197,0.017331548,0.090912715,0.50580823,0.039154243,0
derm-0002,0.24116720259189606,0.0007900905,0.11996651,0.15198396,0.0009316672,0.0008830533,0.463233,0.2411672,0.0160563,0.004988245,0
derm-0003,0.04576500877737999,0.010248895,0.21558137,0.02619208,0.007883341,0.009717707,0.010326253,0.04576501,0.6599219,0.0143635,0
derm-0004,0.7407129406929016,0.0029770606,0.10200271,0.113663666,0.0022379565,0.003166158,0.015451852,0.74071294,0.010253443,0.009534219,0
derm-0005,0.4520096480846405,0.004942229,0.06901613,0.01494268,0.0040049446,0.0053780316,0.022014402,0.45200965,0.40861604,0.01907589,0
derm-0006,0.43954724073410034,0.0011107003,0.010023171,0.01676625,0.0010188236,0.001133851,0.056902632,0.43954724,0.4505544,0.02294294,0
derm-0007,0.03933751955628395,0.00044863884,0.46163434,0.003068915,0.00035108795,0.00037492617,0.45807236,0.03933752,0.0003299736,0.036382277,0
derm-0008,0.4396889805793762,0.0013482221,0.46843144,0.033164732,0.0009616395,0.0014698682,0.006113319,0.43968898,0.0007641491,0.048057638,0
derm-0009,0.0002274533617310226,8.0187376e-05,0.9863897,0.0003622592,6.331298e-05,4.6553974e-05,0.0007687888,0.00022745336,0.0019566298,0.010105118,0
derm-0010,0.24175697565078735,0.00318779,0.52169126,0.1277985,0.003010538,0.0034754819,0.039741747,0.24175698,0.04429778,0.01503993,0
derm-0011,0.4832276999950409,0.0009734988,0.47331887,0.025073478,0.00078085565,0.000859692,0.0054373834,0.4832277,0.0031152633,0.0072132447,0
derm-0012,0.44580313563346863,0.0002996895,0.47443673,0.045875043,0.00032688514,0.00022345188,0.019844398,0.44580314,0.011097048,0.0020935526,0
derm-0013,0.8021662831306458,0.004375247,0.07714055,0.05520441,0.0044136904,0.0043705073,0.014769975,0.8021663,0.027176451,0.010382842,0
derm-0014,0.029573000967502594,7.4416996e-05,0.006867583,0.9509684,6.693635e-05,7.581014e-05,0.011527011,0.029573001,7.5358614e-05,0.0007714841,0
derm-0015,0.262673556804657,0.00036107673,0.50977033,0.09350821,0.0005429562,0.00036157874,0.13100478,0.26267356,0.00046956717,0.0013079856,0
derm-0016,0.016334235668182373,0.0013373722,0.70067185,0.18271038,0.0010595125,0.0012670018,0.08994566,0.016334236,0.0002522473,0.006421755,0
derm-0017,0.8236490488052368,0.00060707267,0.0010146231,0.0049083293,0.0005532474,0.00046864548,0.0026946252,0.82364905,0.16496217,0.0011422235,0
derm-0018,0.08141151070594788,0.00028787862,0.88331294,0.006946968,0.00026082684,0.0003643958,0.015729314,0.08141151,0.0041225287,0.007563705,0
derm-0019,0.9079840183258057,0.00069387077,0.075631246,0.0026580147,0.0007681631,0.000741769,0.0012648575,0.907984,0.00847942,0.001778738,0
derm-0020,0.11448635905981064,0.0028844418,0.7314513,0.008137217,0.0024381191,0.0030527972,0.00937555,0.11448636,0.10709429,0.021079997,0
derm-0021,0.008701481856405735,0.0016808126,0.026090829,0.014076511,0.0017785397,0.0016445487,0.003164753,0.008701482,0.8810866,0.061775904,0
derm-0022,0.06467682868242264,0.0006315922,0.002257046,0.0049672597,0.0005590877,0.00071274047,0.0015383946,0.06467683,0.9230817,0.0015752862,0
derm-0023,0.02935032919049263,0.00215058,0.09591755,0.075418,0.0017642205,0.0021345322,0.008416201,0.02935033,0.70221734,0.082631305,0
derm-0024,0.09294479340314865,0.0008023678,0.60950375,0.11297242,0.00077648874,0.0008999838,0.0050782016,0.09294479,0.1289968,0.04802522,0
derm-0025,0.6110532283782959,0.0010934232,0.35495648,0.02144,0.0008494414,0.00071144506,0.0035883086,0.6110532,6.540981e-06,0.0063011567,0
derm-0026,0.009776460006833076,0.00029466086,0.5222637,0.42238268,0.0002213989,0.00022615926,0.0013550484,0.00977646,0.00027270825,0.04320713,0
derm-0027,0.606511652469635,0.0013451813,0.33550254,0.020042235,0.0012188075,0.0014522428,0.02148869,0.60651165,0.005071846,0.007366801,0
derm-0028,0.07044152915477753,0.00045748818,0.6571566,0.25439113,0.00040549575,0.00038062633,0.0061448403,0.07044153,0.00061855506,0.010003684,0
derm-0029,0.047454021871089935,0.000184411,0.76971203,0.17970645,0.00013403474,0.00016379339,0.002076005,0.047454022,2.1866961e-05,0.00054745167,0
derm-0030,0.04893726110458374,0.00084016536,0.37966216,0.556239,0.0007785079,0.0011274505,0.006820306,0.04893726,0.0006470298,0.004948153,0
derm-0031,0.00030090537620708346,0.00024394515,0.8737027,0.11239853,0.0001534877,0.00016238814,0.011523337,0.00030090538,0.00024135428,0.0012733557,0
derm-0032,0.15926527976989746,0.0004818855,0.2955952,0.52329427,0.00042635502,0.0007713051,0.0141175445,0.15926528,0.0002777944,0.0057703666,0
derm-0033,0.24809974431991577,0.001361139,0.25860584,0.1861515,0.0014554069,0.0018701594,0.0034589614,0.24809974,0.2534349,0.04556232,0
derm-0034,0.9132455587387085,0.0002413177,0.0035193944,0.0009014593,0.00025380054,0.00024291743,0.00075350946,0.91324556,0.07900512,0.001836895,0
derm-0035,0.8704174160957336,0.00089147774,0.06830641,0.016447764,0.0008889518,0.0007291859,0.0039371382,0.8704174,0.036403947,0.001977699,0
