name,pred,d7ft_0,d7ft_1,d7ft_2,d7ft_3,d7ft_4,d7ft_5,d7ft_6,d7ft_7,d7ft_8,true
ISIC_0034246,0.5997430612535217,0.0064345333,0.010848828,0.040418237,0.0064692744,0.0061617694,0.16171433,0.22073142,0.54098135,0.006240331,1
ISIC_0034162,0.19387190308754276,0.0023739717,0.04517014,0.5159178,0.0024080868,0.002366023,0.018124653,0.006543235,0.17576593,0.23133011,1
ISIC_0033879,0.10476877083018384,0.0005134505,0.000563558,0.0013378173,0.0004669338,0.00047681006,0.00083686766,0.0005000346,0.99440044,0.00090396154,0
ISIC_0029779,0.12856594804726199,0.00059756014,0.19846031,0.051424153,0.00057494524,0.00055734714,0.7428195,0.0013570652,0.0011766626,0.0030325565,0
ISIC_0030085,0.2762014208980378,0.004515901,0.101824775,0.21707729,0.0040897015,0.00436369,0.22153802,0.020332335,0.41266203,0.013596276,0
ISIC_0029752,0.15806830778830946,0.0031222964,0.007310902,0.0838887,0.0031656106,0.0031005174,0.076285675,0.0031491541,0.79697615,0.023000997,0
ISIC_0034048,0.46922614762975323,0.007577331,0.0662772,0.13398783,0.0073825866,0.007492389,0.027035316,0.10088166,0.26967493,0.37969074,1
ISIC_0025152,0.2039253035106871,0.004152687,0.009243723,0.013546531,0.0041361223,0.0042923815,0.10742887,0.007757665,0.84218043,0.0072616073,0
ISIC_0033902,0.620199693436464,0.0023837273,0.012554809,0.22689585,0.0024018348,0.0024958334,0.15651163,0.2467947,0.34029397,0.009667625,1
ISIC_0033546,0.30623587901300764,0.0023727736,0.034172073,0.08020916,0.0023327617,0.00243682,0.06537392,0.02781542,0.50989187,0.27539536,1
ISIC_0026391,0.139274871676543,0.0016077406,0.0030181229,0.008084263,0.0015296362,0.0018080131,0.034545224,0.0019093363,0.94501513,0.00248247,0
ISIC_0027822,0.14711732616599751,0.0011916138,0.0058071013,0.39770347,0.0011938886,0.0013973275,0.010834732,0.002383782,0.5368269,0.042661224,1
ISIC_0031953,0.31865024089741284,0.0014663477,0.0024754046,0.02256103,0.0014188992,0.0015174904,0.004016462,0.03135116,0.9307992,0.004393987,1
ISIC_0033871,0.13945369707884364,0.0017596789,0.0017113386,0.0022030117,0.0015793737,0.0017345556,0.004268212,0.0019194856,0.9826016,0.0022229282,1
ISIC_0028085,0.27174907521939967,0.016660795,0.090343915,0.12895152,0.013973758,0.015043125,0.12287728,0.019344864,0.4358585,0.15694633,0
ISIC_0034153,0.5645997928494956,0.0026334072,0.30703714,0.22021475,0.0021791868,0.0026259462,0.019594966,0.18109429,0.020775342,0.24384491,0
ISIC_0031160,0.29218155764679726,0.0010241448,0.0035236615,0.009139799,0.00096684723,0.001024552,0.0055786306,0.024131171,0.95278263,0.0018287018,0
ISIC_0031474,0.5915817761355643,0.0054201055,0.05012706,0.3642249,0.0054605543,0.0054948917,0.15745741,0.2109663,0.17813198,0.022716815,0
ISIC_0030851,0.19151495932180035,0.006793351,0.032792743,0.097922765,0.0059167705,0.006153242,0.32956892,0.0062757083,0.49238926,0.022187246,0
ISIC_0033752,0.49205168399905136,0.0012329866,0.099594854,0.37670827,0.0010992887,0.001261995,0.012679408,0.116916,0.05539716,0.33511004,1
ISIC_0033865,0.44839457706074026,0.0022270628,0.02791034,0.30555698,0.0021611804,0.002455375,0.017839676,0.08773326,0.29885146,0.25526473,0
ISIC_0031872,0.23563822092742442,0.0028975585,0.14732073,0.34076846,0.0026664508,0.0028676155,0.37632826,0.012405253,0.043694906,0.071050756,0
ISIC_0034070,0.4473247463731612,0.0011868033,0.025091082,0.71332175,0.0011686332,0.0013107192,0.009465962,0.08709403,0.15640566,0.0049553853,0
ISIC_0030845,0.6130085354339521,0.0035406519,0.0066744485,0.0081655355,0.0034151294,0.0035917514,0.02328897,0.23736799,0.70902604,0.0049294494,0
ISIC_0033186,0.9267251879065749,0.001962641,0.0018917666,0.012726172,0.0018178677,0.0021369355,0.0032443833,0.91253394,0.062149137,0.0015371039,1
ISIC_0034262,0.2295847498362828,0.002718704,0.040070876,0.068395354,0.0024737047,0.002695736,0.13207571,0.011418528,0.72194695,0.01820447,1
ISIC_0032313,0.6673574077748838,0.0049080234,0.12086993,0.15931088,0.0043785796,0.0048389076,0.011374534,0.3162257,0.36424825,0.013845297,1
ISIC_0032221,0.1406265766080065,0.0018611411,0.0033741207,0.009269058,0.0016886647,0.0017070327,0.025329906,0.0019868203,0.95062983,0.004153358,0
ISIC_0024770,0.39335168272545723,0.00476478,0.123320006,0.4265537,0.0045186686,0.0044293473,0.0208275,0.05897472,0.024834093,0.3317773,0
ISIC_0033299,0.8440575140171074,0.001164168,0.032646347,0.2111254,0.0011690834,0.0010770253,0.013913693,0.7037654,0.029094994,0.0060438323,1
ISIC_0033583,0.17416073554437592,0.0013296556,0.016138846,0.54861706,0.0012052896,0.0012646253,0.010534919,0.0045005707,0.09625918,0.32014984,0
ISIC_0029674,0.31927031463453426,0.007164517,0.06645568,0.20700352,0.006590037,0.0072141374,0.058386553,0.03153492,0.37699687,0.23865376,0
ISIC_0027419,0.5509599892192221,0.0018649116,0.10312303,0.535956,0.0017898541,0.0017683378,0.009232143,0.16732354,0.0885958,0.09034632,0
ISIC_0033310,0.6733675177350152,0.00055960653,0.528424,0.034558807,0.00054854323,0.00046995888,0.09765827,0.32607624,0.00063521083,0.011069297,1
ISIC_0029902,0.22248952582673698,0.0041068285,0.041939285,0.059424438,0.0036355876,0.0038229467,0.08992183,0.010323027,0.4138596,0.3729664,0
ISIC_0031127,0.5607074002651168,0.0020839942,0.0071602515,0.4890429,0.0021602702,0.0021997965,0.007238629,0.17707686,0.30747896,0.0055582174,0
ISIC_0032244,0.6005575066994705,0.0024120153,0.0374524,0.59565276,0.0021672314,0.0021286649,0.010482416,0.2217253,0.11822932,0.0097499145,1
ISIC_0027948,0.13217110879891222,0.002245005,0.004377421,0.0036914737,0.0020300706,0.0019955183,0.111464046,0.0015309182,0.8619667,0.010698824,0
ISIC_0029161,0.4505764711529838,0.0013952887,0.070337564,0.25027362,0.0012154907,0.0013252902,0.45318276,0.08904759,0.11500468,0.01821768,0
ISIC_0033833,0.2605348203760492,0.0036510767,0.019117925,0.021714577,0.0034727454,0.003448773,0.47495022,0.016989658,0.4299968,0.026658153,0
ISIC_0033708,0.16462454984696967,0.00026311708,0.03046841,0.9305715,0.0002916737,0.00030871513,0.014874992,0.0036665145,0.010113186,0.009441777,1
ISIC_0032376,0.2690001016206392,0.004124125,0.079275355,0.39304215,0.0038232089,0.004809043,0.37052554,0.018750196,0.1170552,0.008595239,0
ISIC_0033696,0.7984431033524544,0.002424068,0.08106096,0.08745978,0.0023923644,0.0023657503,0.21614423,0.58630174,0.011982123,0.009869005,1
ISIC_0034046,0.777473458665577,0.0012697921,0.005574154,0.023589946,0.001201493,0.0013221585,0.017984832,0.5355314,0.39878476,0.014741522,1
ISIC_0034185,0.25866964042880564,0.0009273804,0.0007456964,0.0026090124,0.00077213574,0.0008215404,0.0046720356,0.016615886,0.97167265,0.0011636462,0
ISIC_0025600,0.14707020817356364,0.00090271386,0.4434641,0.34324345,0.0006451683,0.00071827596,0.17020719,0.0023807504,0.019610154,0.018828338,0
ISIC_0030574,0.26531055049113783,0.0015208976,0.5509053,0.09474803,0.0014847019,0.0016029964,0.1414979,0.01796985,0.07733709,0.11293321,0
ISIC_0033925,0.6016899094763086,0.00085330615,0.101996295,0.4187164,0.0008496117,0.00082504394,0.23003094,0.2231131,0.01763972,0.0059756422,1
ISIC_0033509,0.31568875949138314,0.0018493604,0.11652704,0.62120575,0.0019251084,0.00198112,0.024178185,0.030483022,0.1650133,0.036837187,0
ISIC_0024624,0.4433962091257315,0.0032399676,0.09796529,0.2904434,0.0027936455,0.002981506,0.071596555,0.08477586,0.20166747,0.24453624,1
ISIC_0033364,0.5229247288332859,0.008081379,0.20052512,0.12376982,0.007134971,0.0073235147,0.033145204,0.14159481,0.34628388,0.1321413,0
ISIC_0034232,0.2337949072742678,0.0041711326,0.027431449,0.033974007,0.0040907925,0.004334289,0.24172954,0.012099649,0.6420146,0.030154565,0
ISIC_0030086,0.24098588257256348,0.0013292787,0.0027744826,0.21440856,0.0011627302,0.0012497472,0.009107741,0.013317647,0.74386394,0.012785971,0
ISIC_0032150,0.15784011134284534,0.0022951502,0.025568236,0.03877088,0.0021671383,0.0026629244,0.03632866,0.0031319545,0.59107375,0.29800138,0
ISIC_0028219,0.1737892260018673,0.002541619,0.0241862,0.03198219,0.0024183607,0.0026057328,0.019351516,0.0044662366,0.9034743,0.00897397,1
ISIC_0033866,0.23277266920449036,0.0004957881,0.0053545586,0.678817,0.00044022858,0.0004756129,0.0035040036,0.011932119,0.1394419,0.15953887,0
ISIC_0030709,0.35366756415009304,0.0058010644,0.12799124,0.13919143,0.0054449956,0.0067021246,0.11501726,0.04286122,0.5405176,0.016473098,0
ISIC_0031323,0.14038030018629344,0.0031574022,0.019599875,0.053897064,0.003266062,0.0033089418,0.021477744,0.001972571,0.46591917,0.42740116,0
ISIC_0030053,0.330878629649505,0.007920921,0.11657858,0.31535468,0.0074856407,0.008199139,0.028058117,0.035104692,0.27646896,0.20482929,0
ISIC_0033380,0.2180739797698621,0.0032294763,0.04149213,0.1843965,0.0029965562,0.0031991561,0.26392147,0.009673877,0.48161942,0.009471498,0
ISIC_0034058,0.27126426402738324,0.0010862827,0.40905014,0.35741362,0.0008264589,0.0008477971,0.013840148,0.01923916,0.01689825,0.18079805,0
ISIC_0034110,0.11959094778487649,0.00026505152,0.004546194,0.018282553,0.0003088495,0.0002989314,0.9714225,0.000975898,0.0023471338,0.001552946,0
ISIC_0031748,0.20116998271357095,0.0014436197,0.019060275,0.2735999,0.0014383633,0.0015057045,0.0048619206,0.007412889,0.6855741,0.005103072,0
ISIC_0031479,0.947649959667318,0.0007746348,0.0054478114,0.019482529,0.0007551891,0.00085377455,0.0012803298,0.954117,0.01590154,0.0013871324,1
ISIC_0028755,0.484850750566504,0.005344857,0.037935868,0.08697714,0.005335327,0.005572719,0.010064507,0.11166469,0.70504504,0.0320598,0
ISIC_0033461,0.17431422609930997,0.004754888,0.019177401,0.10451585,0.004047906,0.0049325693,0.03130786,0.0045148,0.81377745,0.012971281,0
ISIC_0034083,0.21031603193589804,0.002096314,0.005286449,0.020733003,0.0019360882,0.0021918188,0.28743562,0.008592668,0.6667277,0.0050003356,0
ISIC_0034142,0.2843506130726616,0.00037826397,0.057833314,0.88094085,0.00033175247,0.0003681947,0.0039905957,0.022219056,0.0015413755,0.032396596,0
ISIC_0033610,0.18494036416094356,0.003504049,0.21957545,0.63874435,0.002843521,0.003346083,0.022452189,0.005563259,0.09184658,0.012124557,0
ISIC_0033339,0.15867856559547844,0.0008089048,0.005341944,0.016308846,0.0007357314,0.0007945263,0.47835585,0.0031954155,0.48849827,0.0059606223,0
