name,pred,d7ft_0,d7ft_1,d7ft_2,d7ft_3,d7ft_4,d7ft_5,d7ft_6,d7ft_7,d7ft_8,true
derm-0001,0.050358344,0.4047772,0.02088236,0.3728024,0.049720638,0.0038721554,0.010799231,0.050358344,0.08317328,0.003614372,0
derm-0002,0.0016550046,0.00081962487,0.011131572,0.5273868,0.0048267283,0.0017868882,0.014150092,0.0016550046,0.43646142,0.0017819159,0
derm-0003,0.03742812,0.0016713254,0.0029964412,0.76495755,0.0025168534,0.0016172655,0.0024519295,0.03742812,0.18493365,0.0014269715,0
derm-0004,0.09948694,0.0004179937,0.00034242112,0.8388384,0.002044502,0.00077541795,0.0027826342,0.09948694,0.054457832,0.00085391523,0
derm-0005,0.0029168238,0.0007143044,0.0013326788,0.040789064,0.0040761097,0.0020928276,0.06804966,0.0029168238,0.877531,0.0024975257,0
derm-0006,0.0021111441,0.00024947416,0.0006043793,0.0017201406,0.009572014,0.00060746475,0.0036068563,0.0021111441,0.98097104,0.0005576298,0
derm-0007,0.0026560954,0.00094482134,0.08827512,0.06573963,0.01639745,0.0005641251,0.008263128,0.0026560954,0.81660414,0.0005555376,0
derm-0008,0.03548988,0.0012419958,0.0011529893,0.8670438,0.009342861,0.004205221,0.021904081,0.03548988,0.05612964,0.0034895602,0
derm-0009,0.03679445,0.07567078,0.004335958,0.2156461,0.03553098,0.0031249905,0.02036254,0.03679445,0.6053284,0.0032057562,0
derm-0010,0.021003535,0.002324579,0.0016177719,0.41432855,0.007902162,0.0006622674,0.0035004884,0.021003535,0.54807466,0.0005860668,0
derm-0011,0.0034909395,0.00051931007,0.0004759966,0.18829986,0.0012195267,0.00038222465,0.012712953,0.0034909395,0.79245687,0.00044235136,0
derm-0012,0.253946,0.00080366846,0.008417483,0.48827073,0.010893698,0.0019427029,0.0036719346,0.253946,0.2302291,0.0018247415,0
derm-0013,0.03515415,0.0009219371,0.0017592993,0.23268154,0.009428455,0.0018816339,0.024048623,0.03515415,0.69231695,0.0018074932,0
derm-0014,0.012104192,0.0042848666,0.0013673723,0.9808245,0.0007151855,0.00013336376,0.00027333695,0.012104192,0.00017425978,0.00012306534,0
derm-0015,0.004213857,0.0003404694,0.111877166,0.4129742,0.0041136895,0.00078815175,0.00831609,0.004213857,0.45656037,0.0008159564,0
derm-0016,0.17406951,0.082971126,0.004929637,0.31817687,0.0062289992,0.0017900746,0.00895068,0.17406951,0.40109172,0.0017913476,0
derm-0017,0.31633347,0.0005169732,0.00031999688,0.17472275,0.0055618756,0.0011314633,0.017075522,0.31633347,0.48322043,0.0011176054,0
derm-0018,0.10452906,0.06700297,0.004274479,0.778472,0.0145282075,0.002413293,0.004389509,0.10452906,0.022119217,0.002271338,0
derm-0019,0.024008598,0.0005504514,0.0032260716,0.060842056,0.0030955,0.0020567689,0.032647748,0.024008598,0.8708383,0.0027344709,0
derm-0020,0.24375854,0.010432589,0.117344595,0.32314086,0.022149066,0.006760079,0.015450153,0.24375854,0.25375304,0.007211095,0
derm-0021,0.03971271,0.00041757213,0.064586364,0.11557215,0.0029634167,0.0013389349,0.0034124204,0.03971271,0.77048624,0.0015102095,0
derm-0022,0.0362435,0.00066951185,0.0009322649,0.0406364,0.0044880114,0.0013569355,0.008180991,0.0362435,0.9060039,0.0014885243,0
derm-0023,0.0055670245,0.0042674993,0.012589851,0.31528005,0.012493989,0.0030086644,0.02279755,0.0055670245,0.62070405,0.0032914896,0
derm-0024,0.008519314,0.04384646,0.05595796,0.6000349,0.02016004,0.0028820084,0.007801687,0.008519314,0.2580914,0.0027062993,0
derm-0025,0.36016873,0.005979768,9.7291246e-05,0.6315853,0.0013980515,0.00018262112,0.00032074758,0.36016873,9.975508e-05,0.00016773884,0
derm-0026,0.0142894015,0.1291585,0.03722253,0.74989456,0.023160685,0.0017091172,0.002426302,0.0142894015,0.04069635,0.0014425075,0
derm-0027,0.57021254,0.21619184,0.06335145,0.03708409,0.027517801,0.0047784597,0.0090085855,0.57021254,0.06736679,0.0044884956,0
derm-0028,0.06935025,0.32995367,0.025047055,0.40137774,0.04712839,0.006083799,0.03131628,0.06935025,0.08382478,0.005918038,0
derm-0029,0.26323292,0.0008530792,0.558395,0.15324408,0.0042146496,0.0018793801,0.0048970417,0.26323292,0.011452055,0.0018317368,0
derm-0030,0.51631206,0.038220562,0.024362868,0.38612768,0.008744617,0.006587931,0.0090058325,0.51631206,0.005011194,0.0056273127,0
derm-0031,0.077853285,0.022092618,0.66644657,0.089908205,0.007415714,0.0031803236,0.007091146,0.077853285,0.123105906,0.002906346,0
derm-0032,0.14581896,0.028072326,0.035601836,0.7353806,0.02412976,0.0028212767,0.012037656,0.14581896,0.013465787,0.0026717146,0
derm-0033,0.044492777,0.1368277,0.0053193723,0.78684986,0.01890694,0.0007679982,0.0013147562,0.044492777,0.004781182,0.00073956884,0
derm-0034,0.053410348,0.040062137,0.002674774,0.87073416,0.0063389777,0.0008628607,0.0018300655,0.053410348,0.023289746,0.00079703,0
derm-0035,0.25106543,0.006425807,0.020062676,0.32868117,0.0073218844,0.0012254876,0.0030779298,0.25106543,0.38092825,0.0012113674,0
derm-0036,0.109024696,0.17309816,0.043778926,0.65295506,0.006677367,0.0031841546,0.006739374,0.109024696,0.0019457128,0.0025965734,0
derm-0037,0.018578783,0.24134973,0.6747121,0.04641631,0.0073712454,0.0020480088,0.006836017,0.018578783,0.0010029665,0.0016847331,0
derm-0038,0.16851625,0.024505163,0.42887598,0.35032174,0.011581681,0.0039196876,0.007220571,0.16851625,0.001340652,0.003718404,0
derm-0039,0.017110264,0.0034267553,0.030597622,0.9315085,0.0041248957,0.00063317886,0.0015636085,0.017110264,0.010463384,0.0005718288,0
derm-0040,0.10342741,0.0028746014,0.001099244,0.8791005,0.003499227,0.0014800192,0.003313948,0.10342741,0.0038108767,0.001394234,0
derm-0041,0.020019993,0.0018767491,0.29609013,0.5868382,0.00621722,0.001713428,0.008009417,0.020019993,0.07748813,0.0017466912,0
derm-0042,0.04180142,0.012317998,0.06580219,0.48723504,0.050627243,0.0023486975,0.007400567,0.04180142,0.3302731,0.0021937967,0
derm-0043,0.0014549419,0.00026937985,0.0003103648,0.009020629,0.002110014,0.00049537205,0.0070846826,0.0014549419,0.9786708,0.0005838891,0
derm-0044,0.007780175,0.0013114887,0.0028283885,0.54663616,0.009889531,0.0010979228,0.035427496,0.007780175,0.39383128,0.0011977236,0
derm-0045,0.0351707,0.0003545761,0.0005815692,0.014364905,0.0034479888,0.0017836131,0.05493818,0.0351707,0.8874121,0.0019463495,0
derm-0046,0.009895885,0.001071141,0.0021027012,0.27582604,0.010951173,0.0026041637,0.016071305,0.009895885,0.67880964,0.002668034,0
derm-0047,0.014076975,0.00047161715,0.00027037784,0.015853789,0.0017491969,0.0007132837,0.0038793364,0.014076975,0.96222574,0.0007597043,0
derm-0048,0.008593965,0.001225074,0.001639556,0.13624667,0.0044738,0.0031134333,0.14655863,0.008593965,0.6948445,0.0033044496,0
derm-0049,0.0021579294,0.0004289129,0.00017714499,0.0026448644,0.001302856,0.0003203619,0.0049789823,0.0021579294,0.9876172,0.00037180175,0
derm-0050,0.011818989,0.000862375,0.0014448237,0.13812713,0.009442101,0.0028656293,0.018622769,0.011818989,0.81348974,0.0033266067,0
derm-0051,0.004607091,0.00022276342,0.00041780932,0.0098984605,0.0012472643,0.00090609037,0.021994019,0.004607091,0.95955104,0.0011555436,0
derm-0052,0.0029430774,0.00021043046,0.00044820688,0.008521798,0.0017100171,0.0007357951,0.024306795,0.0029430774,0.95996565,0.0011583198,0
derm-0053,0.008360632,0.0010379868,0.011198819,0.18630461,0.008711479,0.001903685,0.014628837,0.008360632,0.7656744,0.0021795817,0
derm-0054,0.0014477995,7.541322e-05,9.222412e-05,0.002999624,0.00038540157,0.00014952314,0.0016540493,0.0014477995,0.99300575,0.0001901593,0
derm-0055,0.0030304121,0.0010483534,0.0016289436,0.061289933,0.0050379364,0.0021531784,0.014422076,0.0030304121,0.9085332,0.0028559077,0
derm-0056,0.051978093,0.0047416235,0.00330873,0.14801322,0.008045829,0.0015220579,0.00796487,0.051978093,0.77262455,0.0018010077,0
derm-0057,0.0043694717,0.0016255772,0.0045590857,0.21671341,0.012317422,0.0021113807,0.017771542,0.0043694717,0.73823714,0.0022949378,0
derm-0058,0.010054422,0.00092463876,0.0011755624,0.3611342,0.006563919,0.002881085,0.034923982,0.010054422,0.57917786,0.003164272,0
derm-0059,0.0010221185,0.0004127846,0.001161769,0.04606667,0.0013776971,0.00074899424,0.018321952,0.0010221185,0.9296784,0.0012097493,0
derm-0060,0.0012539559,6.620184e-05,8.546599e-05,0.0005110343,0.00034328445,0.00022511858,0.0009969462,0.0012539559,0.99628145,0.00023653715,0
derm-0061,0.018618539,0.00016184631,0.0044155484,0.08103259,0.0016600825,0.00077630876,0.025074258,0.018618539,0.867325,0.00093583105,0
derm-0062,0.10303787,0.0054736417,0.17724405,0.5551929,0.005739917,0.0020905023,0.0065221163,0.10303787,0.14276583,0.0019331776,0
derm-0063,0.018909007,0.00058281457,0.0007842227,0.35733387,0.003521721,0.0017406133,0.0032232516,0.018909007,0.6123149,0.0015895026,0
derm-0064,0.0722502,0.0016438345,0.0028862045,0.2360204,0.011445058,0.006110403,0.1416285,0.0722502,0.5207713,0.00724414,0
derm-0065,0.004423781,0.0011005484,0.0017818399,0.037972078,0.0025160273,0.00077899464,0.0066179703,0.004423781,0.94379866,0.001010104,0
derm-0066,0.0088287685,0.00047473755,0.0008464071,0.40194264,0.009614441,0.0023446146,0.03415048,0.0088287685,0.5396947,0.002103144,0
derm-0067,0.00054941647,0.000113238886,0.0010609059,0.012752518,0.00067160913,0.00015346248,0.004047992,0.00054941647,0.9804905,0.00016024415,0
