name,pred,d7ft_0,d7ft_1,d7ft_2,d7ft_3,d7ft_4,d7ft_5,d7ft_6,d7ft_7,d7ft_8,true
derm-0001,0.6129198886460068,0.41381884,0.031972148,0.2186945,0.05087647,0.0057932953,0.01091849,0.1110055,0.15074222,0.006178548,0
derm-0002,0.25144635173682,0.0014536734,0.030926824,0.18845472,0.012809644,0.0013289064,0.008422812,0.005346689,0.7497835,0.0014733734,0
derm-0003,0.5047760973502409,0.0015614884,0.00785221,0.49146476,0.0024289906,0.0012075388,0.0040081595,0.05498237,0.43511853,0.0013760048,0
derm-0004,0.6904868048108306,0.0026758902,0.0012669108,0.49754807,0.0091496,0.0012700612,0.0099674435,0.17921375,0.29755172,0.0013565395,0
derm-0005,0.199645452162671,0.0012461242,0.007468184,0.027985532,0.0058595054,0.0036977471,0.103078224,0.0022665223,0.8442653,0.0041328236,0
derm-0006,0.2665337315597257,0.0010541676,0.006468522,0.002801698,0.01079794,0.003635938,0.019085733,0.006552785,0.9458408,0.003762578,0
derm-0007,0.2514303890892857,0.002767076,0.19087552,0.029422674,0.023686076,0.003469941,0.026305204,0.0053454917,0.71436197,0.003766159,0
derm-0008,0.3459380123130224,0.0011258533,0.00096680224,0.71471953,0.0036457272,0.0012508524,0.0057876715,0.015692566,0.25551102,0.0013000075,0
derm-0009,0.33175175775421334,0.060332503,0.024547774,0.15983763,0.061592996,0.0041103945,0.0141307255,0.013675357,0.6576628,0.0041098436,0
derm-0010,0.45088626175545166,0.0041367738,0.012513952,0.27347696,0.028838549,0.0013327218,0.0037626845,0.03749716,0.6369219,0.0015192124,0
derm-0011,0.31266203196506703,0.0008770277,0.0017210277,0.039201226,0.0045859693,0.0012461981,0.03776705,0.011241955,0.90210766,0.0012518241,0
derm-0012,0.7235653626252231,0.0010392969,0.078565694,0.41904804,0.0070174695,0.0019345618,0.005871381,0.21949898,0.2649289,0.0020957727,0
derm-0013,0.3005478630748066,0.0016660237,0.0064525194,0.15827951,0.010739586,0.0021383504,0.0330249,0.009854428,0.77560586,0.0022388368,0
derm-0014,0.2580390447835704,0.0067393295,0.019804899,0.96589184,0.000625856,0.00018703319,0.00029992472,0.00585526,0.0003920192,0.0002037379,0
derm-0015,0.2704418522125766,0.0014162591,0.30205965,0.29962003,0.007124542,0.003967293,0.06563603,0.0068900655,0.30867282,0.0046133543,0
derm-0016,0.6405749177706586,0.06443986,0.038378023,0.31534892,0.0065163127,0.0020254902,0.0073330253,0.13182926,0.43203712,0.0020919219,0
derm-0017,0.4233623659712628,0.0008200135,0.0016842993,0.23682418,0.009264919,0.00147158,0.024988731,0.030425116,0.6928993,0.0016219998,0
derm-0018,0.6908672310676123,0.0448367,0.061266907,0.56466275,0.02028309,0.004260084,0.011080262,0.17963225,0.10950545,0.004472572,0
derm-0019,0.5187258204935389,0.0013684578,0.075296484,0.062114496,0.010076568,0.0053697634,0.09513271,0.060438734,0.6845466,0.0056562233,0
derm-0020,0.7219831681246461,0.0041807014,0.40010014,0.24992743,0.013293326,0.007047406,0.019347468,0.21737953,0.079903506,0.0088204965,0
derm-0021,0.235747577144027,0.00029421935,0.09852403,0.012283077,0.00085486844,0.0005874753,0.0021081443,0.004246487,0.8804086,0.0006930645,0
derm-0022,0.3213142304940394,0.0013553671,0.0046005356,0.02743279,0.011272434,0.0028006625,0.14527357,0.012306321,0.7918171,0.0031412297,0
derm-0023,0.36245034873415466,0.011222658,0.14213757,0.101571515,0.018454628,0.0074110753,0.038939856,0.01828185,0.654005,0.007975938,0
derm-0024,0.3332457288588169,0.040411845,0.2138201,0.1796066,0.03346991,0.007836258,0.022281237,0.01387915,0.4804127,0.008282124,0
derm-0025,0.8248187375211031,0.007464324,0.00023927235,0.5779338,0.0016823085,0.00068524835,0.00078181346,0.41005874,0.00046000743,0.0006943635,0
derm-0026,0.4265560027693455,0.07264463,0.11942579,0.41377434,0.03933756,0.0054723187,0.009619661,0.031189641,0.30245325,0.006082799,0
derm-0027,0.9156490881264735,0.03410287,0.03059494,0.11264204,0.02863564,0.0048314547,0.010286132,0.712717,0.061215114,0.004974825,0
derm-0028,0.6043917563106556,0.26269767,0.09231577,0.20763619,0.12711243,0.01934838,0.04131117,0.105229996,0.12368675,0.020661643,0
derm-0029,0.6527542606772733,0.0030842756,0.762243,0.04984527,0.0063755396,0.0037925788,0.013025716,0.14212674,0.015877413,0.003629512,0
derm-0030,0.8276798862186099,0.025625218,0.15630053,0.37868083,0.0053964253,0.0029025206,0.007392119,0.41740775,0.0036748603,0.0026197955,0
derm-0031,0.4104806181047637,0.010289802,0.52809924,0.05967727,0.0050120256,0.002435247,0.008992511,0.027480874,0.35566697,0.0023461296,0
derm-0032,0.7229295275949744,0.023761991,0.058772326,0.6317107,0.014607215,0.004430813,0.013819361,0.21864474,0.030125573,0.0041273697,0
derm-0033,0.5085251724797976,0.05810243,0.04893635,0.7832222,0.009767629,0.0021989944,0.003719513,0.05640713,0.03534026,0.0023055037,0
derm-0034,0.4053950547318965,0.023034906,0.002384179,0.8506104,0.0043048393,0.0010191641,0.0020353857,0.026377967,0.089107834,0.0011253784,0
derm-0035,0.789402394233105,0.0030491585,0.062383402,0.395364,0.0033378545,0.0013595463,0.0027644036,0.32921338,0.2010285,0.0014997798,0
derm-0036,0.6613407329617024,0.110927664,0.016114548,0.70816225,0.0044810157,0.0016875163,0.0046288525,0.14984588,0.0024227442,0.0017296104,0
derm-0037,0.4093683498788574,0.3164647,0.525508,0.105646014,0.0075129303,0.0026605611,0.008966051,0.027236847,0.0033059814,0.0026988368,0
derm-0038,0.7569873248723946,0.009823838,0.58353037,0.10730064,0.005844792,0.0052205967,0.012220039,0.26952395,0.0015521169,0.0049837013,0
derm-0039,0.5456447489263115,0.00801859,0.07955283,0.7776675,0.005475298,0.002462789,0.0068916753,0.07225545,0.04504295,0.0026329907,0
derm-0040,0.6499908957708715,0.02115008,0.039134365,0.70965874,0.014350275,0.004527247,0.017323727,0.13972497,0.048989628,0.0051410208,0
derm-0041,0.42004903615564054,0.0026923777,0.62121063,0.16092259,0.012131616,0.0055190176,0.023038404,0.029646695,0.13917774,0.005660931,0
derm-0042,0.42747730901551356,0.0038498489,0.21102488,0.15972804,0.023001794,0.0059254286,0.017243953,0.03141282,0.5419131,0.0059000878,0
derm-0043,0.21993087687951662,0.00061143254,0.000641213,0.013840646,0.007002073,0.0015592468,0.050313603,0.0032884032,0.9210621,0.001681279,0
derm-0044,0.3168366557654539,0.0046988814,0.007421554,0.3408346,0.034645364,0.0021994037,0.04242031,0.011747695,0.55344284,0.0025893915,0
derm-0045,0.19535953669747366,0.00021596684,0.00038764856,0.0047325664,0.0012051106,0.00033729637,0.034465674,0.0020788698,0.95621586,0.0003610307,0
derm-0046,0.2964130101445989,0.0015267351,0.0033009693,0.111662604,0.027528912,0.0038071927,0.04933522,0.009407324,0.7890211,0.0044101193,0
derm-0047,0.41943792045715705,0.00066835334,0.0006437706,0.015628207,0.0029305718,0.0014898479,0.013421242,0.029504744,0.9342806,0.0014325068,0
derm-0048,0.21997806991089375,0.0009542373,0.0029853664,0.084399,0.00477597,0.002728287,0.10983705,0.0032910462,0.788002,0.0030271695,0
derm-0049,0.17531225802311648,6.6167304e-05,5.546439e-05,0.00037207172,0.000551725,0.00010692266,0.0034422264,0.0013245613,0.9939793,0.000101669306,0
derm-0050,0.3188305671190668,0.00088518806,0.0019077329,0.04689823,0.0072280574,0.0023430001,0.06806601,0.01199437,0.8582527,0.002424664,0
derm-0051,0.2165693469596307,0.00015827674,0.000337603,0.0043698787,0.0014875771,0.00060361036,0.021387368,0.0031033847,0.96790373,0.00064860727,0
derm-0052,0.18759026239381277,0.0003664909,0.0012502171,0.005313673,0.0028472457,0.00089243305,0.067562535,0.0017627918,0.9190714,0.000933287,0
derm-0053,0.25251909600918027,0.001700381,0.013974181,0.15909664,0.019260544,0.0039095352,0.06641753,0.0054275263,0.72606266,0.0041509997,0
derm-0054,0.16771709563771345,9.697247e-05,0.00017482146,0.0026537026,0.0006475113,0.0001592526,0.0034278561,0.0010896297,0.99157256,0.00017765029,0
derm-0055,0.23040245072893661,0.0011465795,0.004576867,0.011558959,0.0061390246,0.0021207924,0.012480742,0.0039062737,0.95599216,0.0020787464,0
derm-0056,0.6345262130768942,0.0075735115,0.013329336,0.16428784,0.017799156,0.0049532726,0.017736318,0.12698309,0.64209485,0.005242618,0
derm-0057,0.27980222164473784,0.0027747967,0.01840089,0.13923043,0.027658103,0.0036634249,0.055034764,0.007741061,0.7415225,0.003973952,0
derm-0058,0.35405403922278206,0.0012429928,0.0018390205,0.26592466,0.0066897846,0.0032481153,0.049847603,0.0169317,0.6508835,0.0033926542,0
derm-0059,0.1668294373010048,0.00022980741,0.000653673,0.012501351,0.0015546422,0.0005791951,0.0048880223,0.0010639228,0.97782576,0.00070365856,0
derm-0060,0.19823366415433463,9.804431e-05,0.00038085773,0.0101186745,0.00063076086,0.0003494968,0.0064785737,0.002203651,0.9793901,0.00034983357,0
derm-0061,0.2841951395826642,0.0005545966,0.013954014,0.20773685,0.0039982884,0.0040347073,0.16290888,0.008161943,0.59459543,0.004055314,0
derm-0062,0.6284817039382574,0.0017114057,0.16516809,0.27933663,0.0053164917,0.0031630718,0.012269702,0.122308806,0.40744516,0.0032806867,0
derm-0063,0.46157592076521675,0.00044687558,0.0012729296,0.21722858,0.0023179275,0.0010096827,0.0027335812,0.040556792,0.7334461,0.000987437,0
derm-0064,0.43340747139100627,0.0014348554,0.0030138723,0.17315973,0.007929153,0.0038447024,0.10232116,0.032877993,0.67109525,0.0043233735,0
derm-0065,0.22004686376847174,0.0004384884,0.000959651,0.0101957815,0.0027819078,0.0007727983,0.0057631875,0.0032949012,0.97500277,0.00079037866,0
derm-0066,0.32705676247055104,0.00040545766,0.003202197,0.09770415,0.006274567,0.001541057,0.09336566,0.013047792,0.7828391,0.0016199242,0
derm-0067,0.2641213408616817,0.0007475474,0.013730377,0.023005484,0.004435166,0.0019307139,0.11046177,0.006349781,0.83761305,0.0017261583,0
derm-0068,0.3364403276155288,0.0010083778,0.019870538,0.054457504,0.0041653556,0.0038300666,0.12600583,0.014321657,0.77284735,0.003493305,0
derm-0069,0.20856057121184973,0.00039965656,0.0024673275,0.058428086,0.0067900256,0.0014560822,0.11932438,0.0026879665,0.8069493,0.0014970602,0
derm-0070,0.17511251015053056,0.0005652839,0.0033398215,0.06134344,0.007510996,0.001449977,0.020381236,0.0013180352,0.9025553,0.0015358863,0
derm-0071,0.8073657101683206,0.0013224303,0.001246671,0.56296223,0.004782609,0.002583409,0.005067779,0.36796504,0.051473256,0.0025965397,0
derm-0072,0.35961175161170555,0.00015993959,0.00013087556,0.07403424,0.0011053131,0.00025753144,0.0010599087,0.017817471,0.905165,0.00026984254,0
derm-0073,0.5127370479553067,0.00084648764,0.001857484,0.76441664,0.0027319363,0.0011375636,0.0035835602,0.058043893,0.16627084,0.0011115734,0
derm-0074,0.31216641198979433,0.0004017648,0.00038523556,0.0051842025,0.0029790124,0.00056467945,0.006446442,0.011182867,0.97229034,0.00056551845,0
derm-0075,0.2674515046642818,0.00093644403,0.00040942818,0.16799587,0.007210705,0.000721772,0.0017400229,0.0066310526,0.813529,0.00082576193,0
derm-0076,0.17639249172937999,0.0006831356,0.0010113524,0.013343908,0.0052534807,0.0020061962,0.013266056,0.0013601838,0.9605134,0.0025624044,0
derm-0077,0.3399959643631214,0.0019397931,0.0071206554,0.15806952,0.020045007,0.004492105,0.05131207,0.014825091,0.7369773,0.0052184747,0
derm-0078,0.37676717621426314,0.0011253249,0.0034155787,0.048740372,0.008608974,0.0023173464,0.013547823,0.020751761,0.89893913,0.00255356,0
derm-0079,0.41485272344401136,0.001863841,0.010511658,0.2850898,0.0148941055,0.0029650682,0.059286196,0.028455576,0.59385747,0.0030763247,0
derm-0080,0.5898008982179541,0.0035655417,0.008364813,0.12692337,0.026760696,0.010535648,0.05608628,0.09598276,0.6596975,0.012083427,0
derm-0081,0.5616355794291937,0.0011887423,0.00045501578,0.4573743,0.0048379446,0.0011090809,0.002533267,0.08017113,0.45114413,0.0011863738,0
derm-0082,0.32362579346436915,0.0004229202,0.0016147776,0.06276739,0.003820882,0.00052765425,0.003306508,0.012601373,0.91439116,0.00054738426,0
derm-0083,0.7634437077830398,0.006934175,0.005735583,0.44395182,0.024029521,0.008551427,0.032978293,0.28045723,0.1887285,0.008633482,0
derm-0084,0.7653092839549871,0.0019625556,0.0017361628,0.0749625,0.011369485,0.0064513646,0.024781605,0.2837003,0.58897686,0.0060591795,0
derm-0085,0.30226660281155043,0.0016080866,0.007892609,0.29563954,0.006284058,0.0030123345,0.02403946,0.010044186,0.64824295,0.0032366042,0
derm-0086,0.24668417814769417,0.00040532797,0.00014512613,0.014317415,0.0017862102,0.00025259104,0.0013258889,0.0049966923,0.97650975,0.00026095775,0
derm-0087,0.2079785704967984,8.8758505e-05,0.00018866411,0.009399409,0.0010836759,0.00018347203,0.0011234486,0.0026591506,0.98508596,0.00018752752,0
derm-0088,0.16502422424449234,0.00016332162,0.0019799366,0.0062924447,0.001661851,0.00030682125,0.0017071232,0.0010127554,0.9865653,0.00031029762,0
derm-0089,0.7445645807528478,0.0016892961,0.0010952774,0.17522839,0.00939135,0.0032664759,0.015605672,0.24969773,0.54084456,0.00318135,0
derm-0090,0.17737372743331972,6.938814e-05,0.00089099625,0.0054283193,0.0011179694,0.00014989376,0.0017363437,0.0013930252,0.9890553,0.00015890622,0
derm-0091,0.46254761638996145,0.003151608,0.036268085,0.35997397,0.033144712,0.003977802,0.02455422,0.0408442,0.4941183,0.0039671483,0
derm-0092,0.27494806820268564,0.00036216684,0.0022600198,0.0066943252,0.002711766,0.0011975691,0.023620533,0.0072920583,0.9546162,0.0012454515,0
derm-0093,0.3570311674373442,0.0052262913,0.0026001004,0.18322973,0.021170942,0.002395656,0.007356291,0.017402358,0.7580537,0.0025650447,0
derm-0094,0.25004526259623505,0.00063326646,0.0010254289,0.079838894,0.0026460362,0.00064934854,0.008789058,0.005242219,0.9005001,0.00067557854,0
derm-0095,0.1725960253431204,0.00017801307,0.00032523583,0.0036716573,0.0031474729,0.00037477,0.0028667678,0.0012374371,0.98779106,0.00040761317,0
derm-0096,0.668755518250824,0.0009586659,0.0013136906,0.45265993,0.00731947,0.0012304713,0.011962408,0.1568368,0.3664248,0.0012937455,0
derm-0097,0.34571511874686406,0.0006018645,0.0008100236,0.081430934,0.0041139256,0.001068497,0.012449558,0.015659427,0.8826081,0.0012576928,0
derm-0098,0.3525236448823944,0.0012538282,0.003988624,0.10261654,0.026303396,0.003562865,0.046441417,0.016693158,0.79527223,0.0038678744,0
derm-0099,0.49049368812892613,0.0024976905,0.015844284,0.27885562,0.011952473,0.006541749,0.026373789,0.049820896,0.6012443,0.0068691703,0
derm-0100,0.5412692831656973,0.007953778,0.00070479297,0.15927279,0.0067348564,0.0015601489,0.009917981,0.070211016,0.7420672,0.0015775155,0
derm-0101,0.7011098774307144,0.00039231402,0.00032099735,0.0075593926,0.0027180745,0.0006520496,0.0015819836,0.19127214,0.7948522,0.0006506809,0
derm-0102,0.49814299699434267,0.0022690017,0.0010196642,0.10924643,0.0070427875,0.0012882643,0.0068232343,0.0525338,0.8184375,0.0013391842,0
