name,pred,d7ft_0,d7ft_1,d7ft_2,d7ft_3,d7ft_4,d7ft_5,d7ft_6,d7ft_7,d7ft_8,true
ISIC_0034246,0.17552187,0.00028295818,0.00028765906,0.00065899716,0.0011151333,0.0009670507,0.00458333,0.17552187,0.81558245,0.0010004694,1
ISIC_0034162,0.28769857,0.056308538,0.008434227,0.0932944,0.004427291,0.0023318725,0.002691485,0.28769857,0.54266274,0.0021508907,1
ISIC_0033879,0.022868115,0.0004267865,0.0010420734,0.32527325,0.0028454463,0.0014126423,0.0034059247,0.022868115,0.6413149,0.0014108497,0
ISIC_0029779,0.0016533505,0.0022536141,0.010591496,0.8769531,0.0025089018,0.0011834352,0.0065428615,0.0016533505,0.09721153,0.0011016239,0
ISIC_0030085,0.120425425,0.0010059879,0.0023140651,0.65960014,0.003941221,0.0035701485,0.0070579373,0.120425425,0.19854924,0.0035359766,0
ISIC_0029752,0.0012545675,0.00011493917,0.00024516878,0.00011306268,0.000371098,0.000120660836,0.00025607634,0.0012545675,0.9974061,0.00011829791,0
ISIC_0034048,0.71736634,0.001407092,0.00030004932,0.0051587666,0.0030876624,0.0012255976,0.0015489641,0.71736634,0.26876667,0.0011388251,1
ISIC_0025152,0.003697913,0.00038257893,0.021147106,0.041066762,0.0027903642,0.0016847443,0.03868584,0.003697913,0.88882774,0.0017170542,0
ISIC_0033902,0.39183134,0.019756079,0.00086017244,0.08278682,0.003352141,0.0010672803,0.002265847,0.39183134,0.4970246,0.0010558314,1
ISIC_0033546,0.38805535,0.00023932844,0.00016409867,0.0024235675,0.001927219,0.00075982854,0.0042699105,0.38805535,0.60147804,0.000682608,1
ISIC_0026391,0.049450517,0.00023361354,0.0011221977,0.006259045,0.0017282272,0.000816134,0.0017273122,0.049450517,0.9378504,0.00081248983,0
ISIC_0027822,0.0055628796,0.0012701685,0.00019574269,0.8827428,0.00096683466,0.00036353324,0.00054402946,0.0055628796,0.10798291,0.0003712582,1
ISIC_0031953,0.25667208,0.0013347749,0.0027471918,0.14710084,0.0033107505,0.0016385987,0.0024017233,0.25667208,0.5830838,0.0017102394,1
ISIC_0033871,0.014258901,9.793182e-05,0.00017623218,0.00024490803,0.0007981493,0.00027035308,0.00047162242,0.014258901,0.9833965,0.0002855332,1
ISIC_0028085,0.014708105,0.02182274,0.6444928,0.17241299,0.017524863,0.005936222,0.018781325,0.014708105,0.09834592,0.005974982,0
ISIC_0034153,0.034997474,0.1235159,0.2591925,0.08690237,0.009641602,0.0043191137,0.017280256,0.034997474,0.45998588,0.0041648145,0
ISIC_0031160,0.20105885,0.0008064856,0.0029126022,0.022947052,0.0014813928,0.00062077504,0.0023745247,0.20105885,0.76718754,0.0006107265,0
ISIC_0031474,0.19724946,0.0044215266,0.009615275,0.29260406,0.0072152945,0.003923297,0.17369764,0.19724946,0.30739695,0.0038764451,0
ISIC_0030851,0.01066961,0.000895794,0.012741568,0.0074675255,0.0034247842,0.0013610522,0.0030090737,0.01066961,0.9591753,0.0012553044,0
ISIC_0033752,0.02310641,0.20623393,0.0023095368,0.6994584,0.0062627234,0.0009537087,0.0011335931,0.02310641,0.05953299,0.0010088321,1
ISIC_0033865,0.009828425,0.041661877,0.0069018877,0.7310591,0.06434424,0.0031045992,0.0047290022,0.009828425,0.13525227,0.0031187728,0
ISIC_0031872,0.05738247,0.018098352,0.017483322,0.82003784,0.0062390207,0.0029667148,0.004649941,0.05738247,0.070095874,0.003046569,0
ISIC_0034070,0.004128022,0.00031010967,0.0102768475,0.74290866,0.00111179,0.0003419925,0.0013235508,0.004128022,0.23924749,0.0003516817,0
ISIC_0030845,0.15708183,0.000998,0.00018404223,0.0032693346,0.00074810715,0.0004711223,0.0009293365,0.15708183,0.8358347,0.00048364254,0
ISIC_0033186,0.3082552,0.0013291193,0.0010742358,0.03292657,0.0035929128,0.0028618793,0.093798935,0.3082552,0.55330014,0.002861048,1
ISIC_0034262,0.048069898,0.0028548457,0.0010753034,0.27457553,0.005879289,0.0023302452,0.0047898605,0.048069898,0.6580446,0.002380478,1
ISIC_0032313,0.7813306,0.008428509,0.028921777,0.11649765,0.0032798566,0.0030835099,0.008292204,0.7813306,0.046970423,0.0031954297,1
ISIC_0032221,0.012790032,0.00010231789,0.00054256705,0.0043764357,0.00072441547,0.00034390073,0.0010862654,0.012790032,0.979694,0.0003402912,0
ISIC_0024770,0.16477643,0.0051362403,0.0027060444,0.24211244,0.007894461,0.0026798395,0.0035834934,0.16477643,0.5682096,0.0029014067,0
ISIC_0033299,0.23822418,0.00066660275,0.0011057254,0.51920503,0.0040752417,0.0015706391,0.011194418,0.23822418,0.22236753,0.0015907105,1
ISIC_0033583,0.0060562324,7.813978e-05,6.580092e-05,0.990273,0.00033662896,0.00014729495,0.00020902313,0.0060562324,0.002695212,0.0001387282,0
ISIC_0029674,0.07493721,0.010565831,0.0037696676,0.35630897,0.009910924,0.0047589326,0.006736041,0.07493721,0.52797014,0.0050421613,0
ISIC_0027419,0.019237513,0.53732985,0.008500046,0.37578413,0.0034887828,0.0013315994,0.0017647541,0.019237513,0.051152457,0.0014108836,0
ISIC_0033310,0.11393442,0.16732709,0.028497055,0.45682344,0.0061354972,0.00078642985,0.002875852,0.11393442,0.2228518,0.00076844543,1
ISIC_0029902,0.04468047,0.0008640724,0.00082284043,0.0030932755,0.0046275817,0.0018354213,0.004234761,0.04468047,0.9379967,0.0018451158,0
ISIC_0031127,0.21918581,0.0017633572,0.009044908,0.36458957,0.0024578383,0.0012797912,0.003479527,0.21918581,0.39684844,0.00135078,0
ISIC_0032244,0.29722628,0.00041652945,0.000108885186,0.69998384,0.00062242255,0.0004334812,0.00042391816,0.29722628,0.00038112796,0.0004034906,1
ISIC_0027948,0.14951317,0.0006045714,0.00183793,0.0021152988,0.0031361033,0.0034937684,0.00869705,0.14951317,0.82711726,0.0034848638,0
ISIC_0029161,0.1024429,0.0041424963,0.0028025666,0.82575285,0.0058913906,0.002360386,0.015744377,0.1024429,0.038305007,0.0025581622,0
ISIC_0033833,0.038634475,0.0011241371,0.0008982061,0.014492367,0.0027272794,0.0015775616,0.064270705,0.038634475,0.8747959,0.0014792796,0
ISIC_0033708,0.038565863,0.64745444,0.031200795,0.25189635,0.0033947488,0.0012366626,0.00143194,0.038565863,0.023657193,0.001162087,1
ISIC_0032376,0.0019470908,0.002488446,0.00069412397,0.13063481,0.0026280687,0.00063810527,0.033587873,0.0019470908,0.8267603,0.0006210813,0
ISIC_0033696,0.01948004,0.0012704937,0.0048100613,0.5232842,0.009743278,0.003145419,0.28287128,0.01948004,0.15203336,0.003361941,1
ISIC_0034046,0.24938908,0.0013565011,0.0021485123,0.30815253,0.004711227,0.0020800862,0.089573875,0.24938908,0.34072208,0.0018660916,1
ISIC_0034185,0.055096116,0.0008909033,0.0038361654,0.19293861,0.004511993,0.0024038467,0.024339605,0.055096116,0.7134227,0.0025600651,0
ISIC_0025600,0.032584578,0.01524235,0.33890796,0.40164992,0.011004885,0.0076525374,0.026258854,0.032584578,0.15907352,0.007625468,0
ISIC_0030574,0.0010518993,0.0030915,0.24327953,0.0035622616,0.0130100725,0.0009617693,0.002688809,0.0010518993,0.7313256,0.0010285847,0
ISIC_0033925,0.013283814,0.00040172096,0.0013142036,0.92696774,0.0012445417,0.0006241805,0.01686023,0.013283814,0.038610216,0.0006934542,1
ISIC_0033509,0.032698732,0.0040046345,0.0028800247,0.6114828,0.009363044,0.0017567774,0.0025103234,0.032698732,0.33347815,0.0018255453,0
