name,pred,d7ft_0,d7ft_1,d7ft_2,d7ft_3,d7ft_4,d7ft_5,d7ft_6,d7ft_7,d7ft_8,true
ISIC_0028498,0.055934377,0.010456574,0.011803131,0.23386578,0.0037184667,0.0009866065,0.004098046,0.055934377,0.6781548,0.0009821997,0
ISIC_0027859,0.14026096,0.047544774,0.009093831,0.49908987,0.0074278223,0.0011389216,0.0072055133,0.14026096,0.28690165,0.0013366541,0
ISIC_0030591,0.09137806,0.08605397,0.047357015,0.044005062,0.029624192,0.003043864,0.012887694,0.09137806,0.6826684,0.0029819228,0
ISIC_0031366,0.03199483,0.00041475846,0.0001681526,0.0005890937,0.00056405127,0.00023698679,0.0007918276,0.03199483,0.96501225,0.00022817958,0
ISIC_0025396,0.04387258,0.0003891778,0.00029531735,0.000113965514,0.00048479508,0.0003090109,0.0007321408,0.04387258,0.95351,0.00029302516,0
ISIC_0031922,0.061156135,0.11167853,0.49459544,0.168722,0.08526035,0.0027570499,0.010399624,0.061156135,0.06258965,0.0028412596,0
ISIC_0031377,0.23081575,0.0019408737,0.002116368,0.01192674,0.002411086,0.0009896226,0.0013052205,0.23081575,0.7475619,0.00093248574,1
ISIC_0026103,0.11604817,0.0009247994,0.0004201192,0.0006638504,0.0006907279,0.00047814753,0.0011704795,0.11604817,0.8790954,0.00050828274,0
ISIC_0027190,0.25423315,0.0010743696,0.00047254257,0.004737509,0.00084280124,0.0006070495,0.001216743,0.25423315,0.73631096,0.0005049419,1
ISIC_0032126,0.43166062,0.0566629,0.02030206,0.02512188,0.011820278,0.0017426094,0.003370445,0.43166062,0.44738647,0.001932814,0
ISIC_0031394,0.17780977,0.08316642,0.14838256,0.4142703,0.028832098,0.0032392915,0.006812957,0.17780977,0.13420403,0.0032825158,0
ISIC_0028878,0.14814062,0.023593195,0.0045967004,0.3779307,0.07478067,0.0011190944,0.0022065628,0.14814062,0.36659083,0.0010415872,1
ISIC_0031306,0.0029261361,0.0005205907,0.001235377,0.00019660972,0.0015631219,0.0002930808,0.0014025898,0.0029261361,0.9915838,0.00027862992,0
ISIC_0030817,0.048984338,0.0006520773,0.00011176764,0.000960156,0.0006166148,0.00026482096,0.00035015232,0.048984338,0.9478119,0.00024821857,0
ISIC_0025651,0.876349,0.0033350864,0.0076809735,0.0027276312,0.0034623013,0.00017918226,0.004959302,0.876349,0.101124324,0.00018233791,1
ISIC_0031698,0.0033898577,0.0022042391,0.6754434,0.00084645563,0.0012409075,0.00035111854,0.008402295,0.0033898577,0.3077663,0.00035558615,0
